# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 62, 0.766667, 0.648776, 0.695652, 1.000000, 0.820513, 0.632433, 0.634310
2, 2, 133, 0.783333, 0.637315, 0.731707, 0.937500, 0.821918, 0.638978, 0.641604
2, 3, 34, 0.766667, 0.640025, 0.704545, 0.968750, 0.815789, 0.599338, 0.600554
2, 4, 30, 0.766667, 0.652944, 0.695652, 1.000000, 0.820513, 0.603012, 0.604790
2, 5, 39, 0.750000, 0.639882, 0.947368, 0.562500, 0.705882, 0.591838, 0.594800
3, 1, 11, 0.766667, 0.656240, 0.900000, 0.600000, 0.720000, 0.616873, 0.619446
3, 2, 139, 0.800000, 0.600411, 1.000000, 0.600000, 0.750000, 0.603200, 0.604746
3, 3, 73, 0.816667, 0.593428, 0.913043, 0.700000, 0.792453, 0.595583, 0.597773
3, 4, 87, 0.850000, 0.584712, 0.920000, 0.766667, 0.836364, 0.587775, 0.588216
3, 5, 104, 0.833333, 0.577182, 0.916667, 0.733333, 0.814815, 0.582067, 0.586746
4, 1, 26, 0.750000, 0.660603, 0.928571, 0.481481, 0.634146, 0.616953, 0.623476
4, 2, 70, 0.800000, 0.612352, 0.941176, 0.592593, 0.727273, 0.588222, 0.590165
4, 3, 111, 0.800000, 0.616191, 0.941176, 0.592593, 0.727273, 0.591922, 0.592148
4, 4, 143, 0.833333, 0.612527, 1.000000, 0.629630, 0.772727, 0.584573, 0.590365
4, 5, 191, 0.816667, 0.610470, 0.900000, 0.666667, 0.765957, 0.575064, 0.576566
5, 1, 135, 0.683333, 0.665240, 0.708333, 0.586207, 0.641509, 0.635885, 0.635969
5, 2, 167, 0.833333, 0.650931, 1.000000, 0.655172, 0.791667, 0.618641, 0.618641
5, 3, 64, 0.816667, 0.625144, 0.846154, 0.758621, 0.800000, 0.587863, 0.599084
5, 4, 108, 0.816667, 0.624968, 0.846154, 0.758621, 0.800000, 0.584636, 0.598602
5, 5, 64, 0.816667, 0.605941, 0.875000, 0.724138, 0.792453, 0.580244, 0.585878
