# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 198, 0.650000, 0.699427, 0.622222, 0.875000, 0.727273, 0.686019, 0.688948
2, 2, 139, 0.733333, 0.637111, 0.833333, 0.625000, 0.714286, 0.636762, 0.638137
2, 3, 114, 0.700000, 0.645995, 0.818182, 0.562500, 0.666667, 0.598620, 0.603224
2, 4, 60, 0.733333, 0.643141, 1.000000, 0.500000, 0.666667, 0.603578, 0.607177
2, 5, 38, 0.716667, 0.650167, 1.000000, 0.468750, 0.638298, 0.595275, 0.606537
3, 1, 44, 0.733333, 0.664682, 0.888889, 0.533333, 0.666667, 0.660848, 0.661631
3, 2, 70, 0.816667, 0.596617, 0.913043, 0.700000, 0.792453, 0.610232, 0.614864
3, 3, 70, 0.816667, 0.584389, 0.851852, 0.766667, 0.807018, 0.598231, 0.599536
3, 4, 186, 0.850000, 0.576725, 0.920000, 0.766667, 0.836364, 0.587194, 0.588073
3, 5, 122, 0.833333, 0.571763, 0.916667, 0.733333, 0.814815, 0.578578, 0.578578
4, 1, 16, 0.750000, 0.651937, 0.928571, 0.481481, 0.634146, 0.649553, 0.659522
4, 2, 37, 0.816667, 0.629667, 0.944444, 0.629630, 0.755556, 0.603376, 0.607243
4, 3, 17, 0.800000, 0.615677, 0.941176, 0.592593, 0.727273, 0.586380, 0.586409
4, 4, 184, 0.816667, 0.623343, 0.863636, 0.703704, 0.775510, 0.583520, 0.585021
4, 5, 37, 0.816667, 0.609525, 0.944444, 0.629630, 0.755556, 0.576742, 0.579297
5, 1, 9, 0.550000, 0.728478, 0.522727, 0.793103, 0.630137, 0.690866, 0.691110
5, 2, 137, 0.683333, 0.674377, 0.812500, 0.448276, 0.577778, 0.637612, 0.639499
5, 3, 47, 0.750000, 0.648571, 0.769231, 0.689655, 0.727273, 0.601196, 0.602196
5, 4, 32, 0.750000, 0.642007, 0.791667, 0.655172, 0.716981, 0.585870, 0.586646
5, 5, 120, 0.783333, 0.619896, 0.900000, 0.620690, 0.734694, 0.582884, 0.585633
