# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 78, 0.650000, 0.699374, 0.627907, 0.843750, 0.720000, 0.686014, 0.688706
2, 2, 48, 0.750000, 0.649116, 0.680851, 1.000000, 0.810127, 0.622226, 0.623959
2, 3, 72, 0.750000, 0.650256, 0.688889, 0.968750, 0.805195, 0.615540, 0.617685
2, 4, 124, 0.766667, 0.627666, 1.000000, 0.562500, 0.720000, 0.602879, 0.606192
2, 5, 175, 0.766667, 0.626371, 1.000000, 0.562500, 0.720000, 0.600572, 0.601462
3, 1, 33, 0.733333, 0.664377, 0.888889, 0.533333, 0.666667, 0.660896, 0.661094
3, 2, 98, 0.833333, 0.596521, 0.916667, 0.733333, 0.814815, 0.609590, 0.612387
3, 3, 44, 0.800000, 0.621781, 0.875000, 0.700000, 0.777778, 0.601645, 0.602160
3, 4, 77, 0.800000, 0.585452, 0.909091, 0.666667, 0.769231, 0.592572, 0.596372
3, 5, 151, 0.833333, 0.568103, 0.916667, 0.733333, 0.814815, 0.583098, 0.583438
4, 1, 16, 0.750000, 0.651081, 0.928571, 0.481481, 0.634146, 0.649732, 0.656888
4, 2, 40, 0.816667, 0.630174, 1.000000, 0.592593, 0.744186, 0.603285, 0.606569
4, 3, 34, 0.800000, 0.634103, 1.000000, 0.555556, 0.714286, 0.591187, 0.593007
4, 4, 70, 0.800000, 0.606524, 0.941176, 0.592593, 0.727273, 0.589484, 0.592205
4, 5, 46, 0.833333, 0.616943, 0.904762, 0.703704, 0.791667, 0.579931, 0.584250
5, 1, 160, 0.550000, 0.731132, 0.522727, 0.793103, 0.630137, 0.690359, 0.692829
5, 2, 192, 0.566667, 0.698131, 0.578947, 0.379310, 0.458333, 0.645890, 0.645922
5, 3, 73, 0.766667, 0.647158, 0.826087, 0.655172, 0.730769, 0.601093, 0.601324
5, 4, 155, 0.783333, 0.623095, 0.785714, 0.758621, 0.771930, 0.584706, 0.586149
5, 5, 163, 0.816667, 0.625871, 0.846154, 0.758621, 0.800000, 0.582279, 0.583785
