# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 95, 0.683333, 0.648661, 0.666667, 0.812500, 0.732394, 0.632429, 0.632456
2, 2, 83, 0.766667, 0.649913, 0.695652, 1.000000, 0.820513, 0.630660, 0.633610
2, 3, 164, 0.800000, 0.646775, 0.727273, 1.000000, 0.842105, 0.629485, 0.631485
2, 4, 184, 0.866667, 0.643010, 0.833333, 0.937500, 0.882353, 0.629373, 0.631243
2, 5, 4, 0.950000, 0.658770, 0.914286, 1.000000, 0.955224, 0.630260, 0.633519
3, 1, 46, 0.766667, 0.636268, 0.944444, 0.566667, 0.708333, 0.616847, 0.617384
3, 2, 47, 0.783333, 0.609247, 0.947368, 0.600000, 0.734694, 0.613666, 0.618167
3, 3, 28, 0.783333, 0.615354, 0.904762, 0.633333, 0.745098, 0.613091, 0.614696
3, 4, 41, 0.783333, 0.607611, 0.904762, 0.633333, 0.745098, 0.612501, 0.615427
3, 5, 86, 0.783333, 0.606324, 0.904762, 0.633333, 0.745098, 0.613056, 0.615904
4, 1, 17, 0.750000, 0.658757, 0.928571, 0.481481, 0.634146, 0.616926, 0.620217
4, 2, 160, 0.800000, 0.628938, 0.941176, 0.592593, 0.727273, 0.609237, 0.615350
4, 3, 56, 0.766667, 0.628885, 0.882353, 0.555556, 0.681818, 0.609514, 0.610846
4, 4, 12, 0.783333, 0.639847, 1.000000, 0.518519, 0.682927, 0.609394, 0.611869
4, 5, 162, 0.783333, 0.628578, 0.888889, 0.592593, 0.711111, 0.609783, 0.614369
5, 1, 199, 0.683333, 0.685601, 0.857143, 0.413793, 0.558140, 0.635499, 0.641860
5, 2, 101, 0.700000, 0.653132, 0.761905, 0.551724, 0.640000, 0.620010, 0.621882
5, 3, 100, 0.733333, 0.655184, 0.809524, 0.586207, 0.680000, 0.618538, 0.619650
5, 4, 195, 0.700000, 0.649306, 0.789474, 0.517241, 0.625000, 0.618036, 0.627825
5, 5, 93, 0.733333, 0.654325, 0.809524, 0.586207, 0.680000, 0.618217, 0.618574
