# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 93, 0.600000, 0.701873, 0.590909, 0.812500, 0.684211, 0.686208, 0.686478
2, 2, 159, 0.633333, 0.670415, 0.666667, 0.625000, 0.645161, 0.665387, 0.667263
2, 3, 143, 0.766667, 0.637210, 1.000000, 0.562500, 0.720000, 0.603525, 0.604793
2, 4, 108, 0.733333, 0.632233, 1.000000, 0.500000, 0.666667, 0.601351, 0.602041
2, 5, 140, 0.733333, 0.637963, 1.000000, 0.500000, 0.666667, 0.595681, 0.599136
3, 1, 36, 0.733333, 0.664447, 0.888889, 0.533333, 0.666667, 0.660854, 0.662013
3, 2, 15, 0.783333, 0.646975, 0.947368, 0.600000, 0.734694, 0.644229, 0.648659
3, 3, 44, 0.783333, 0.589183, 0.904762, 0.633333, 0.745098, 0.590918, 0.593578
3, 4, 130, 0.816667, 0.576774, 0.913043, 0.700000, 0.792453, 0.588570, 0.588820
3, 5, 129, 0.816667, 0.570237, 0.880000, 0.733333, 0.800000, 0.587238, 0.595123
4, 1, 152, 0.750000, 0.647353, 0.875000, 0.518519, 0.651163, 0.649682, 0.649682
4, 2, 24, 0.783333, 0.645120, 0.937500, 0.555556, 0.697674, 0.608180, 0.608344
4, 3, 108, 0.816667, 0.613202, 1.000000, 0.592593, 0.744186, 0.598273, 0.604164
4, 4, 107, 0.800000, 0.623166, 0.857143, 0.666667, 0.750000, 0.592399, 0.595772
4, 5, 96, 0.816667, 0.609337, 1.000000, 0.592593, 0.744186, 0.583605, 0.584494
5, 1, 12, 0.533333, 0.727661, 0.511111, 0.793103, 0.621622, 0.690844, 0.700347
5, 2, 73, 0.650000, 0.673683, 0.833333, 0.344828, 0.487805, 0.610559, 0.610559
5, 3, 85, 0.650000, 0.677253, 0.666667, 0.551724, 0.603774, 0.609673, 0.611212
5, 4, 64, 0.716667, 0.665847, 0.833333, 0.517241, 0.638298, 0.607864, 0.607864
5, 5, 187, 0.816667, 0.618079, 0.909091, 0.689655, 0.784314, 0.581111, 0.584288
