# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 62, 0.633333, 0.700735, 0.613636, 0.843750, 0.710526, 0.686013, 0.689258
2, 2, 124, 0.666667, 0.678167, 0.615385, 1.000000, 0.761905, 0.672276, 0.676377
2, 3, 107, 0.683333, 0.638769, 0.782609, 0.562500, 0.654545, 0.609928, 0.612976
2, 4, 67, 0.700000, 0.645889, 0.937500, 0.468750, 0.625000, 0.604425, 0.608832
2, 5, 160, 0.750000, 0.637107, 0.947368, 0.562500, 0.705882, 0.597783, 0.598001
3, 1, 44, 0.733333, 0.664271, 0.888889, 0.533333, 0.666667, 0.660899, 0.663761
3, 2, 92, 0.783333, 0.605373, 0.904762, 0.633333, 0.745098, 0.614031, 0.617092
3, 3, 27, 0.800000, 0.610076, 0.950000, 0.633333, 0.760000, 0.600964, 0.601683
3, 4, 150, 0.800000, 0.585209, 0.950000, 0.633333, 0.760000, 0.593384, 0.598099
3, 5, 125, 0.850000, 0.571170, 0.920000, 0.766667, 0.836364, 0.585355, 0.598316
4, 1, 16, 0.750000, 0.651075, 0.928571, 0.481481, 0.634146, 0.649564, 0.650074
4, 2, 11, 0.783333, 0.637384, 1.000000, 0.518519, 0.682927, 0.609188, 0.610291
4, 3, 17, 0.800000, 0.629712, 1.000000, 0.555556, 0.714286, 0.607388, 0.607843
4, 4, 89, 0.816667, 0.610173, 0.944444, 0.629630, 0.755556, 0.582683, 0.583282
4, 5, 6, 0.800000, 0.623408, 1.000000, 0.555556, 0.714286, 0.583252, 0.584467
5, 1, 10, 0.550000, 0.728733, 0.522727, 0.793103, 0.630137, 0.689671, 0.689900
5, 2, 91, 0.616667, 0.689840, 0.666667, 0.413793, 0.510638, 0.634323, 0.635236
5, 3, 131, 0.766667, 0.630600, 0.826087, 0.655172, 0.730769, 0.589483, 0.591498
5, 4, 59, 0.750000, 0.641088, 0.850000, 0.586207, 0.693878, 0.588784, 0.594226
5, 5, 151, 0.783333, 0.618833, 0.833333, 0.689655, 0.754717, 0.586298, 0.586375
