# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 72, 0.633333, 0.701246, 0.608696, 0.875000, 0.717949, 0.686205, 0.687306
2, 2, 157, 0.750000, 0.645569, 1.000000, 0.531250, 0.693878, 0.622558, 0.622677
2, 3, 113, 0.716667, 0.644760, 0.857143, 0.562500, 0.679245, 0.598739, 0.614551
2, 4, 197, 0.716667, 0.645698, 1.000000, 0.468750, 0.638298, 0.602359, 0.610677
2, 5, 40, 0.700000, 0.647808, 0.937500, 0.468750, 0.625000, 0.593715, 0.606530
3, 1, 55, 0.733333, 0.664442, 0.888889, 0.533333, 0.666667, 0.660977, 0.661212
3, 2, 102, 0.833333, 0.597034, 0.916667, 0.733333, 0.814815, 0.609782, 0.615845
3, 3, 65, 0.850000, 0.583293, 0.920000, 0.766667, 0.836364, 0.597487, 0.598691
3, 4, 35, 0.833333, 0.588832, 0.916667, 0.733333, 0.814815, 0.584487, 0.593444
3, 5, 36, 0.833333, 0.581431, 0.916667, 0.733333, 0.814815, 0.578282, 0.579151
4, 1, 135, 0.750000, 0.647578, 0.875000, 0.518519, 0.651163, 0.649628, 0.649717
4, 2, 17, 0.783333, 0.629383, 0.937500, 0.555556, 0.697674, 0.603145, 0.606250
4, 3, 170, 0.816667, 0.623491, 0.863636, 0.703704, 0.775510, 0.585904, 0.586693
4, 4, 22, 0.800000, 0.625977, 0.894737, 0.629630, 0.739130, 0.581080, 0.581163
4, 5, 96, 0.833333, 0.611447, 0.904762, 0.703704, 0.791667, 0.575491, 0.575491
5, 1, 9, 0.550000, 0.728460, 0.522727, 0.793103, 0.630137, 0.689924, 0.690187
5, 2, 157, 0.566667, 0.711738, 0.548387, 0.586207, 0.566667, 0.646387, 0.646387
5, 3, 90, 0.733333, 0.648779, 0.740741, 0.689655, 0.714286, 0.600257, 0.600635
5, 4, 118, 0.766667, 0.630089, 0.800000, 0.689655, 0.740741, 0.585227, 0.589243
5, 5, 165, 0.833333, 0.622339, 0.880000, 0.758621, 0.814815, 0.581956, 0.589652
