# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 148, 0.633333, 0.701413, 0.608696, 0.875000, 0.717949, 0.686068, 0.686109
2, 2, 139, 0.666667, 0.680255, 0.620000, 0.968750, 0.756098, 0.674011, 0.674011
2, 3, 168, 0.683333, 0.645839, 0.782609, 0.562500, 0.654545, 0.629297, 0.631843
2, 4, 95, 0.783333, 0.650580, 0.720930, 0.968750, 0.826667, 0.629363, 0.630160
2, 5, 98, 0.783333, 0.649703, 0.720930, 0.968750, 0.826667, 0.629691, 0.633476
3, 1, 18, 0.733333, 0.664124, 0.888889, 0.533333, 0.666667, 0.660839, 0.661116
3, 2, 50, 0.783333, 0.629206, 0.904762, 0.633333, 0.745098, 0.613973, 0.622119
3, 3, 35, 0.783333, 0.623456, 0.904762, 0.633333, 0.745098, 0.613037, 0.613063
3, 4, 43, 0.783333, 0.611879, 0.904762, 0.633333, 0.745098, 0.613400, 0.613400
3, 5, 28, 0.783333, 0.618646, 0.904762, 0.633333, 0.745098, 0.613005, 0.616807
4, 1, 57, 0.750000, 0.646310, 0.875000, 0.518519, 0.651163, 0.649550, 0.650016
4, 2, 148, 0.800000, 0.626907, 0.941176, 0.592593, 0.727273, 0.609462, 0.611637
4, 3, 17, 0.783333, 0.633665, 1.000000, 0.518519, 0.682927, 0.609461, 0.610825
4, 4, 8, 0.783333, 0.636098, 1.000000, 0.518519, 0.682927, 0.609605, 0.609844
4, 5, 7, 0.783333, 0.630320, 1.000000, 0.518519, 0.682927, 0.609313, 0.614536
5, 1, 102, 0.550000, 0.731320, 0.522727, 0.793103, 0.630137, 0.689881, 0.693710
5, 2, 92, 0.583333, 0.685112, 0.590909, 0.448276, 0.509804, 0.633699, 0.634833
5, 3, 171, 0.716667, 0.651689, 0.772727, 0.586207, 0.666667, 0.618111, 0.619104
5, 4, 84, 0.733333, 0.653883, 0.809524, 0.586207, 0.680000, 0.618071, 0.624705
5, 5, 134, 0.733333, 0.654125, 0.809524, 0.586207, 0.680000, 0.617990, 0.619666
