# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 117, 0.716667, 0.659316, 0.941176, 0.500000, 0.653061, 0.648139, 0.648139
2, 2, 175, 0.766667, 0.629184, 1.000000, 0.562500, 0.720000, 0.603457, 0.608605
2, 3, 167, 0.750000, 0.650405, 1.000000, 0.531250, 0.693878, 0.602101, 0.606715
2, 4, 51, 0.766667, 0.631838, 0.800000, 0.750000, 0.774194, 0.597981, 0.605770
2, 5, 119, 0.766667, 0.632233, 1.000000, 0.562500, 0.720000, 0.591234, 0.607523
3, 1, 105, 0.750000, 0.627746, 0.727273, 0.800000, 0.761905, 0.634361, 0.634361
3, 2, 153, 0.783333, 0.599530, 0.947368, 0.600000, 0.734694, 0.609743, 0.609743
3, 3, 63, 0.816667, 0.574790, 0.880000, 0.733333, 0.800000, 0.588386, 0.590676
3, 4, 76, 0.833333, 0.588105, 0.916667, 0.733333, 0.814815, 0.586204, 0.587136
3, 5, 101, 0.850000, 0.562665, 0.920000, 0.766667, 0.836364, 0.573678, 0.577450
4, 1, 138, 0.783333, 0.648041, 0.937500, 0.555556, 0.697674, 0.623649, 0.627436
4, 2, 56, 0.766667, 0.633601, 0.882353, 0.555556, 0.681818, 0.607288, 0.607288
4, 3, 58, 0.766667, 0.626131, 0.882353, 0.555556, 0.681818, 0.610497, 0.615023
4, 4, 186, 0.833333, 0.621392, 0.904762, 0.703704, 0.791667, 0.588608, 0.588918
4, 5, 52, 0.833333, 0.620213, 0.904762, 0.703704, 0.791667, 0.575109, 0.582425
5, 1, 12, 0.650000, 0.691068, 0.642857, 0.620690, 0.631579, 0.655559, 0.656909
5, 2, 19, 0.683333, 0.660752, 0.750000, 0.517241, 0.612245, 0.606954, 0.613031
5, 3, 34, 0.816667, 0.623465, 0.909091, 0.689655, 0.784314, 0.590581, 0.592013
5, 4, 184, 0.783333, 0.626295, 0.807692, 0.724138, 0.763636, 0.593547, 0.599582
5, 5, 108, 0.850000, 0.621389, 0.916667, 0.758621, 0.830189, 0.584471, 0.587915
