# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 76, 0.650000, 0.701235, 0.622222, 0.875000, 0.727273, 0.686013, 0.686890
2, 2, 51, 0.616667, 0.674435, 0.591837, 0.906250, 0.716049, 0.665292, 0.668308
2, 3, 131, 0.650000, 0.660726, 0.761905, 0.500000, 0.603774, 0.631696, 0.637900
2, 4, 54, 0.700000, 0.663292, 0.645833, 0.968750, 0.775000, 0.629722, 0.635354
2, 5, 93, 0.833333, 0.634453, 0.761905, 1.000000, 0.864865, 0.616391, 0.616516
3, 1, 55, 0.733333, 0.664440, 0.888889, 0.533333, 0.666667, 0.660959, 0.661248
3, 2, 147, 0.766667, 0.617092, 0.785714, 0.733333, 0.758621, 0.620679, 0.624886
3, 3, 73, 0.783333, 0.583664, 0.904762, 0.633333, 0.745098, 0.590908, 0.595294
3, 4, 104, 0.833333, 0.578462, 0.916667, 0.733333, 0.814815, 0.587328, 0.587487
3, 5, 132, 0.816667, 0.579896, 0.880000, 0.733333, 0.800000, 0.587669, 0.587923
4, 1, 30, 0.766667, 0.647666, 1.000000, 0.481481, 0.650000, 0.649619, 0.651481
4, 2, 80, 0.766667, 0.639433, 0.882353, 0.555556, 0.681818, 0.608289, 0.610513
4, 3, 51, 0.800000, 0.630753, 1.000000, 0.555556, 0.714286, 0.596376, 0.596376
4, 4, 74, 0.800000, 0.617874, 0.941176, 0.592593, 0.727273, 0.591093, 0.596173
4, 5, 136, 0.833333, 0.618914, 0.947368, 0.666667, 0.782609, 0.589409, 0.600019
5, 1, 63, 0.550000, 0.731704, 0.521739, 0.827586, 0.640000, 0.690442, 0.690972
5, 2, 141, 0.650000, 0.676460, 0.722222, 0.448276, 0.553191, 0.610096, 0.611510
5, 3, 44, 0.700000, 0.652340, 0.789474, 0.517241, 0.625000, 0.608983, 0.609417
5, 4, 68, 0.716667, 0.666236, 0.833333, 0.517241, 0.638298, 0.609021, 0.617489
5, 5, 19, 0.716667, 0.658101, 0.928571, 0.448276, 0.604651, 0.606923, 0.611283
