# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 143, 0.766667, 0.648638, 0.695652, 1.000000, 0.820513, 0.632429, 0.634052
2, 2, 27, 0.800000, 0.666439, 0.738095, 0.968750, 0.837838, 0.670306, 0.671344
2, 3, 7, 0.683333, 0.663407, 1.000000, 0.406250, 0.577778, 0.623884, 0.625787
2, 4, 137, 0.683333, 0.655060, 0.842105, 0.500000, 0.627451, 0.619971, 0.622842
2, 5, 17, 0.766667, 0.647898, 0.695652, 1.000000, 0.820513, 0.622290, 0.625313
3, 1, 96, 0.700000, 0.653063, 0.630435, 0.966667, 0.763158, 0.659846, 0.660842
3, 2, 54, 0.766667, 0.630353, 0.944444, 0.566667, 0.708333, 0.619638, 0.620482
3, 3, 83, 0.766667, 0.603742, 0.900000, 0.600000, 0.720000, 0.613126, 0.614747
3, 4, 66, 0.833333, 0.585270, 0.916667, 0.733333, 0.814815, 0.597315, 0.597887
3, 5, 100, 0.816667, 0.585029, 0.851852, 0.766667, 0.807018, 0.598237, 0.599762
4, 1, 179, 0.616667, 0.678398, 0.558824, 0.703704, 0.622951, 0.675272, 0.675291
4, 2, 130, 0.750000, 0.645674, 0.875000, 0.518519, 0.651163, 0.625793, 0.626879
4, 3, 184, 0.750000, 0.646301, 0.833333, 0.555556, 0.666667, 0.625773, 0.629702
4, 4, 28, 0.766667, 0.649306, 0.933333, 0.518519, 0.666667, 0.624774, 0.625624
4, 5, 12, 0.750000, 0.659376, 1.000000, 0.444444, 0.615385, 0.610494, 0.613074
5, 1, 98, 0.666667, 0.663678, 0.655172, 0.655172, 0.655172, 0.644503, 0.645152
5, 2, 166, 0.700000, 0.660357, 0.703704, 0.655172, 0.678571, 0.621709, 0.621816
5, 3, 180, 0.816667, 0.643360, 0.846154, 0.758621, 0.800000, 0.605569, 0.605569
5, 4, 107, 0.783333, 0.637055, 0.807692, 0.724138, 0.763636, 0.603761, 0.606508
5, 5, 128, 0.800000, 0.633987, 0.814815, 0.758621, 0.785714, 0.604146, 0.607926
