# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 18, 0.650000, 0.698969, 0.622222, 0.875000, 0.727273, 0.686073, 0.687202
2, 2, 138, 0.666667, 0.699088, 0.636364, 0.875000, 0.736842, 0.686073, 0.686092
2, 3, 33, 0.650000, 0.698790, 0.622222, 0.875000, 0.727273, 0.686073, 0.688988
2, 4, 14, 0.650000, 0.698833, 0.622222, 0.875000, 0.727273, 0.686073, 0.686517
2, 5, 15, 0.650000, 0.699096, 0.627907, 0.843750, 0.720000, 0.686073, 0.686247
3, 1, 33, 0.633333, 0.676677, 0.833333, 0.333333, 0.476190, 0.684501, 0.684562
3, 2, 84, 0.633333, 0.676675, 0.833333, 0.333333, 0.476190, 0.684501, 0.690415
3, 3, 43, 0.633333, 0.676911, 0.833333, 0.333333, 0.476190, 0.684501, 0.684560
3, 4, 42, 0.633333, 0.676685, 0.833333, 0.333333, 0.476190, 0.684501, 0.686499
3, 5, 126, 0.633333, 0.676898, 0.833333, 0.333333, 0.476190, 0.684502, 0.687144
4, 1, 25, 0.600000, 0.679908, 0.548387, 0.629630, 0.586207, 0.688225, 0.688313
4, 2, 31, 0.600000, 0.675412, 0.588235, 0.370370, 0.454545, 0.688225, 0.689048
4, 3, 98, 0.666667, 0.673355, 1.000000, 0.259259, 0.411765, 0.688225, 0.691106
4, 4, 34, 0.666667, 0.673381, 1.000000, 0.259259, 0.411765, 0.688225, 0.693028
4, 5, 69, 0.666667, 0.673356, 1.000000, 0.259259, 0.411765, 0.688225, 0.688906
5, 1, 26, 0.516667, 0.723188, 0.500000, 0.689655, 0.579710, 0.697068, 0.697380
5, 2, 22, 0.516667, 0.723615, 0.500000, 0.724138, 0.591549, 0.697068, 0.699067
5, 3, 72, 0.516667, 0.723068, 0.500000, 0.689655, 0.579710, 0.697068, 0.697421
5, 4, 22, 0.516667, 0.723662, 0.500000, 0.724138, 0.591549, 0.697068, 0.697326
5, 5, 70, 0.516667, 0.723358, 0.500000, 0.689655, 0.579710, 0.697068, 0.697636
