# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 17, 0.950000, 0.656927, 1.000000, 0.906250, 0.950820, 0.637994, 0.638066
2, 2, 9, 0.750000, 0.652203, 0.688889, 0.968750, 0.805195, 0.614742, 0.614742
2, 3, 193, 0.716667, 0.647970, 0.857143, 0.562500, 0.679245, 0.613661, 0.617032
2, 4, 17, 0.716667, 0.667863, 1.000000, 0.468750, 0.638298, 0.614093, 0.616191
2, 5, 7, 0.700000, 0.653664, 1.000000, 0.437500, 0.608696, 0.612622, 0.614749
3, 1, 68, 0.750000, 0.665889, 1.000000, 0.500000, 0.666667, 0.666909, 0.667416
3, 2, 98, 0.800000, 0.602927, 0.781250, 0.833333, 0.806452, 0.626259, 0.627448
3, 3, 109, 0.766667, 0.615820, 0.766667, 0.766667, 0.766667, 0.630266, 0.632914
3, 4, 31, 0.750000, 0.624533, 0.857143, 0.600000, 0.705882, 0.626797, 0.645894
3, 5, 73, 0.750000, 0.606444, 0.692308, 0.900000, 0.782609, 0.619979, 0.633801
4, 1, 16, 0.850000, 0.652736, 1.000000, 0.666667, 0.800000, 0.642788, 0.645826
4, 2, 49, 0.750000, 0.660189, 1.000000, 0.444444, 0.615385, 0.637939, 0.639259
4, 3, 161, 0.833333, 0.646009, 0.947368, 0.666667, 0.782609, 0.634020, 0.637314
4, 4, 168, 0.833333, 0.647162, 0.904762, 0.703704, 0.791667, 0.630520, 0.632790
4, 5, 60, 0.833333, 0.649924, 0.947368, 0.666667, 0.782609, 0.629607, 0.634876
5, 1, 23, 0.616667, 0.682345, 1.000000, 0.206897, 0.342857, 0.658980, 0.659791
5, 2, 14, 0.716667, 0.669713, 1.000000, 0.413793, 0.585366, 0.660712, 0.662616
5, 3, 35, 0.716667, 0.661022, 0.800000, 0.551724, 0.653061, 0.630426, 0.639703
5, 4, 156, 0.716667, 0.647111, 0.800000, 0.551724, 0.653061, 0.628147, 0.631876
5, 5, 192, 0.683333, 0.653829, 0.727273, 0.551724, 0.627451, 0.627007, 0.629942
