# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 15, 0.966667, 0.658433, 0.941176, 1.000000, 0.969697, 0.632430, 0.637609
2, 2, 35, 0.800000, 0.641698, 0.777778, 0.875000, 0.823529, 0.631998, 0.632137
2, 3, 66, 0.766667, 0.649122, 0.695652, 1.000000, 0.820513, 0.632096, 0.632606
2, 4, 86, 0.750000, 0.652867, 0.697674, 0.937500, 0.800000, 0.632248, 0.636165
2, 5, 129, 0.750000, 0.651466, 0.680851, 1.000000, 0.810127, 0.632235, 0.632529
3, 1, 41, 0.666667, 0.653597, 0.777778, 0.466667, 0.583333, 0.659845, 0.660156
3, 2, 110, 0.733333, 0.655505, 0.666667, 0.933333, 0.777778, 0.660182, 0.665089
3, 3, 10, 0.716667, 0.675667, 0.740741, 0.666667, 0.701754, 0.659169, 0.660886
3, 4, 152, 0.700000, 0.649030, 0.700000, 0.700000, 0.700000, 0.659338, 0.671307
3, 5, 125, 0.733333, 0.653026, 0.659091, 0.966667, 0.783784, 0.658942, 0.659903
4, 1, 4, 0.750000, 0.686730, 1.000000, 0.444444, 0.615385, 0.675101, 0.676112
4, 2, 173, 0.666667, 0.675507, 0.888889, 0.296296, 0.444444, 0.675145, 0.677574
4, 3, 21, 0.716667, 0.671088, 1.000000, 0.370370, 0.540541, 0.675354, 0.677677
4, 4, 58, 0.700000, 0.665226, 1.000000, 0.333333, 0.500000, 0.676905, 0.678241
4, 5, 111, 0.700000, 0.672851, 0.909091, 0.370370, 0.526316, 0.675054, 0.675787
5, 1, 74, 0.666667, 0.663624, 0.655172, 0.655172, 0.655172, 0.644502, 0.644724
5, 2, 46, 0.733333, 0.649069, 0.709677, 0.758621, 0.733333, 0.627766, 0.632070
5, 3, 8, 0.700000, 0.667528, 0.666667, 0.758621, 0.709677, 0.627686, 0.627999
5, 4, 104, 0.683333, 0.641301, 0.666667, 0.689655, 0.677966, 0.627677, 0.628983
5, 5, 14, 0.700000, 0.644449, 0.677419, 0.724138, 0.700000, 0.627877, 0.628895
