# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 70, 0.666667, 0.699081, 0.636364, 0.875000, 0.736842, 0.686073, 0.686098
2, 2, 98, 0.666667, 0.699080, 0.636364, 0.875000, 0.736842, 0.686073, 0.686602
2, 3, 13, 0.650000, 0.699095, 0.627907, 0.843750, 0.720000, 0.686073, 0.686074
2, 4, 14, 0.633333, 0.699207, 0.619048, 0.812500, 0.702703, 0.686073, 0.686073
2, 5, 56, 0.666667, 0.699073, 0.636364, 0.875000, 0.736842, 0.686074, 0.686135
3, 1, 19, 0.633333, 0.676816, 0.833333, 0.333333, 0.476190, 0.684501, 0.684941
3, 2, 31, 0.633333, 0.676887, 0.833333, 0.333333, 0.476190, 0.684501, 0.684792
3, 3, 23, 0.633333, 0.677088, 0.833333, 0.333333, 0.476190, 0.684501, 0.684571
3, 4, 19, 0.633333, 0.676741, 0.833333, 0.333333, 0.476190, 0.684501, 0.684502
3, 5, 22, 0.633333, 0.676685, 0.833333, 0.333333, 0.476190, 0.684501, 0.685750
4, 1, 22, 0.600000, 0.675552, 0.588235, 0.370370, 0.454545, 0.688225, 0.688573
4, 2, 23, 0.600000, 0.675449, 0.588235, 0.370370, 0.454545, 0.688225, 0.688247
4, 3, 101, 0.666667, 0.673366, 1.000000, 0.259259, 0.411765, 0.688225, 0.691344
4, 4, 28, 0.600000, 0.680155, 0.548387, 0.629630, 0.586207, 0.688225, 0.688283
4, 5, 186, 0.616667, 0.673537, 0.642857, 0.333333, 0.439024, 0.688225, 0.688479
5, 1, 18, 0.516667, 0.723240, 0.500000, 0.689655, 0.579710, 0.697068, 0.697565
5, 2, 16, 0.516667, 0.723163, 0.500000, 0.689655, 0.579710, 0.697068, 0.697687
5, 3, 13, 0.516667, 0.723131, 0.500000, 0.689655, 0.579710, 0.697068, 0.700332
5, 4, 94, 0.516667, 0.723155, 0.500000, 0.689655, 0.579710, 0.697068, 0.701176
5, 5, 15, 0.516667, 0.723421, 0.500000, 0.689655, 0.579710, 0.697068, 0.697763
