# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 136, 0.616667, 0.701365, 0.591837, 0.906250, 0.716049, 0.686025, 0.686960
2, 2, 185, 0.650000, 0.651625, 0.648649, 0.750000, 0.695652, 0.632083, 0.634245
2, 3, 110, 0.700000, 0.653009, 0.937500, 0.468750, 0.625000, 0.611062, 0.611062
2, 4, 42, 0.716667, 0.657921, 0.653061, 1.000000, 0.790123, 0.599375, 0.599375
2, 5, 63, 0.700000, 0.640509, 0.818182, 0.562500, 0.666667, 0.596239, 0.599989
3, 1, 38, 0.733333, 0.664483, 0.888889, 0.533333, 0.666667, 0.660874, 0.660877
3, 2, 84, 0.783333, 0.616524, 0.904762, 0.633333, 0.745098, 0.613904, 0.614415
3, 3, 149, 0.800000, 0.594327, 1.000000, 0.600000, 0.750000, 0.600921, 0.602595
3, 4, 52, 0.816667, 0.588564, 0.880000, 0.733333, 0.800000, 0.592470, 0.592470
3, 5, 31, 0.833333, 0.590125, 0.916667, 0.733333, 0.814815, 0.576837, 0.576837
4, 1, 35, 0.766667, 0.646835, 1.000000, 0.481481, 0.650000, 0.649572, 0.651760
4, 2, 21, 0.783333, 0.633563, 1.000000, 0.518519, 0.682927, 0.609258, 0.613346
4, 3, 43, 0.800000, 0.619138, 1.000000, 0.555556, 0.714286, 0.588143, 0.590426
4, 4, 87, 0.816667, 0.608633, 0.944444, 0.629630, 0.755556, 0.579789, 0.584612
4, 5, 134, 0.816667, 0.621308, 0.863636, 0.703704, 0.775510, 0.580993, 0.581560
5, 1, 146, 0.550000, 0.727669, 0.522727, 0.793103, 0.630137, 0.690507, 0.690507
5, 2, 105, 0.683333, 0.666759, 0.857143, 0.413793, 0.558140, 0.635678, 0.637426
5, 3, 40, 0.750000, 0.635364, 0.888889, 0.551724, 0.680851, 0.589456, 0.593047
5, 4, 176, 0.800000, 0.634688, 0.904762, 0.655172, 0.760000, 0.589077, 0.589874
5, 5, 107, 0.800000, 0.618134, 0.814815, 0.758621, 0.785714, 0.582612, 0.584507
