# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 115, 0.650000, 0.699491, 0.622222, 0.875000, 0.727273, 0.686033, 0.691228
2, 2, 91, 0.650000, 0.656822, 0.866667, 0.406250, 0.553191, 0.632077, 0.632270
2, 3, 67, 0.950000, 0.646082, 0.914286, 1.000000, 0.955224, 0.638211, 0.640462
2, 4, 181, 0.733333, 0.635615, 0.900000, 0.562500, 0.692308, 0.597914, 0.598402
2, 5, 172, 0.716667, 0.645003, 1.000000, 0.468750, 0.638298, 0.594175, 0.595325
3, 1, 40, 0.733333, 0.664205, 0.888889, 0.533333, 0.666667, 0.660904, 0.663971
3, 2, 90, 0.783333, 0.616937, 0.904762, 0.633333, 0.745098, 0.613851, 0.616742
3, 3, 84, 0.783333, 0.611622, 0.904762, 0.633333, 0.745098, 0.608731, 0.615052
3, 4, 31, 0.816667, 0.631794, 0.913043, 0.700000, 0.792453, 0.588491, 0.591731
3, 5, 65, 0.833333, 0.605312, 0.916667, 0.733333, 0.814815, 0.586547, 0.587215
4, 1, 92, 0.733333, 0.647208, 0.789474, 0.555556, 0.652174, 0.649678, 0.651728
4, 2, 125, 0.783333, 0.628763, 0.888889, 0.592593, 0.711111, 0.609198, 0.610244
4, 3, 120, 0.816667, 0.618539, 0.944444, 0.629630, 0.755556, 0.588802, 0.588802
4, 4, 179, 0.816667, 0.610107, 1.000000, 0.592593, 0.744186, 0.585202, 0.586223
4, 5, 40, 0.833333, 0.609656, 1.000000, 0.629630, 0.772727, 0.580504, 0.587712
5, 1, 16, 0.500000, 0.724248, 0.486486, 0.620690, 0.545455, 0.690686, 0.690960
5, 2, 185, 0.666667, 0.676246, 0.736842, 0.482759, 0.583333, 0.637500, 0.637500
5, 3, 139, 0.733333, 0.650322, 1.000000, 0.448276, 0.619048, 0.611980, 0.614438
5, 4, 158, 0.783333, 0.621334, 1.000000, 0.551724, 0.711111, 0.593825, 0.594100
5, 5, 185, 0.783333, 0.636851, 0.863636, 0.655172, 0.745098, 0.586281, 0.586631
