# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 2, 0.783333, 0.677837, 0.711111, 1.000000, 0.831169, 0.636849, 0.637411
2, 2, 7, 0.733333, 0.647977, 0.750000, 0.750000, 0.750000, 0.616147, 0.617418
2, 3, 4, 0.766667, 0.649771, 1.000000, 0.562500, 0.720000, 0.593972, 0.598715
2, 4, 133, 0.716667, 0.635553, 0.941176, 0.500000, 0.653061, 0.596243, 0.598121
2, 5, 13, 0.750000, 0.639302, 1.000000, 0.531250, 0.693878, 0.593957, 0.607389
3, 1, 95, 0.800000, 0.593623, 0.909091, 0.666667, 0.769231, 0.613574, 0.621057
3, 2, 86, 0.833333, 0.575854, 0.916667, 0.733333, 0.814815, 0.595510, 0.600640
3, 3, 19, 0.850000, 0.604326, 0.920000, 0.766667, 0.836364, 0.588247, 0.593088
3, 4, 200, 0.850000, 0.567418, 0.920000, 0.766667, 0.836364, 0.578700, 0.584529
3, 5, 49, 0.833333, 0.581042, 0.916667, 0.733333, 0.814815, 0.577198, 0.580535
4, 1, 1, 0.800000, 0.675343, 1.000000, 0.555556, 0.714286, 0.610477, 0.612460
4, 2, 145, 0.833333, 0.617388, 0.904762, 0.703704, 0.791667, 0.592165, 0.594289
4, 3, 79, 0.833333, 0.626213, 0.904762, 0.703704, 0.791667, 0.588815, 0.598437
4, 4, 169, 0.833333, 0.614700, 0.904762, 0.703704, 0.791667, 0.582392, 0.590136
4, 5, 112, 0.833333, 0.612452, 0.904762, 0.703704, 0.791667, 0.580283, 0.584951
5, 1, 162, 0.700000, 0.662588, 0.739130, 0.586207, 0.653846, 0.633876, 0.636264
5, 2, 69, 0.700000, 0.667053, 0.720000, 0.620690, 0.666667, 0.602256, 0.602521
5, 3, 186, 0.833333, 0.615984, 0.913043, 0.724138, 0.807692, 0.589241, 0.594454
5, 4, 164, 0.833333, 0.623417, 0.952381, 0.689655, 0.800000, 0.586233, 0.591183
5, 5, 102, 0.816667, 0.627368, 0.950000, 0.655172, 0.775510, 0.583341, 0.585269
