# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 79, 0.650000, 0.699732, 0.622222, 0.875000, 0.727273, 0.686035, 0.686423
2, 2, 130, 0.733333, 0.652839, 0.666667, 1.000000, 0.800000, 0.632059, 0.634616
2, 3, 63, 0.766667, 0.664026, 0.764706, 0.812500, 0.787879, 0.629683, 0.631296
2, 4, 72, 0.800000, 0.655220, 0.738095, 0.968750, 0.837838, 0.629393, 0.642647
2, 5, 153, 0.850000, 0.644102, 0.780488, 1.000000, 0.876712, 0.629416, 0.629812
3, 1, 31, 0.733333, 0.664204, 0.888889, 0.533333, 0.666667, 0.660900, 0.662183
3, 2, 64, 0.783333, 0.624720, 0.904762, 0.633333, 0.745098, 0.614040, 0.616369
3, 3, 48, 0.783333, 0.617327, 0.904762, 0.633333, 0.745098, 0.612943, 0.621614
3, 4, 66, 0.783333, 0.611146, 0.904762, 0.633333, 0.745098, 0.612975, 0.616766
3, 5, 18, 0.783333, 0.635661, 0.904762, 0.633333, 0.745098, 0.613063, 0.616020
4, 1, 16, 0.750000, 0.650387, 0.928571, 0.481481, 0.634146, 0.649565, 0.650483
4, 2, 148, 0.783333, 0.628483, 0.888889, 0.592593, 0.711111, 0.609474, 0.610725
4, 3, 94, 0.766667, 0.632242, 0.842105, 0.592593, 0.695652, 0.609829, 0.610710
4, 4, 29, 0.783333, 0.630220, 1.000000, 0.518519, 0.682927, 0.610204, 0.615104
4, 5, 31, 0.783333, 0.629140, 1.000000, 0.518519, 0.682927, 0.609996, 0.609996
5, 1, 70, 0.533333, 0.730132, 0.511628, 0.758621, 0.611111, 0.690702, 0.693579
5, 2, 166, 0.683333, 0.664121, 0.750000, 0.517241, 0.612245, 0.638874, 0.638982
5, 3, 192, 0.716667, 0.651291, 0.772727, 0.586207, 0.666667, 0.618209, 0.621770
5, 4, 200, 0.733333, 0.649333, 0.809524, 0.586207, 0.680000, 0.618383, 0.621563
5, 5, 171, 0.733333, 0.653617, 0.809524, 0.586207, 0.680000, 0.618603, 0.630986
