# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 116, 0.650000, 0.699616, 0.627907, 0.843750, 0.720000, 0.686061, 0.686595
2, 2, 165, 0.816667, 0.644370, 0.744186, 1.000000, 0.853333, 0.629994, 0.635623
2, 3, 113, 0.766667, 0.629966, 1.000000, 0.562500, 0.720000, 0.600435, 0.603203
2, 4, 34, 0.733333, 0.670046, 0.690476, 0.906250, 0.783784, 0.600499, 0.606504
2, 5, 20, 0.766667, 0.668730, 0.714286, 0.937500, 0.810811, 0.596137, 0.600453
3, 1, 18, 0.733333, 0.664440, 0.888889, 0.533333, 0.666667, 0.660993, 0.660993
3, 2, 11, 0.733333, 0.663934, 0.888889, 0.533333, 0.666667, 0.620444, 0.624299
3, 3, 199, 0.850000, 0.581778, 0.956522, 0.733333, 0.830189, 0.587966, 0.593732
3, 4, 42, 0.783333, 0.600161, 1.000000, 0.566667, 0.723404, 0.587118, 0.593034
3, 5, 134, 0.833333, 0.571766, 0.916667, 0.733333, 0.814815, 0.583765, 0.586500
4, 1, 22, 0.733333, 0.648792, 0.823529, 0.518519, 0.636364, 0.649550, 0.652832
4, 2, 51, 0.783333, 0.648076, 1.000000, 0.518519, 0.682927, 0.608500, 0.610599
4, 3, 151, 0.800000, 0.614472, 0.941176, 0.592593, 0.727273, 0.595757, 0.596192
4, 4, 59, 0.816667, 0.622903, 0.944444, 0.629630, 0.755556, 0.585879, 0.586147
4, 5, 54, 0.816667, 0.622397, 0.900000, 0.666667, 0.765957, 0.585288, 0.587340
5, 1, 166, 0.550000, 0.729384, 0.520833, 0.862069, 0.649351, 0.689620, 0.694373
5, 2, 170, 0.666667, 0.673996, 0.695652, 0.551724, 0.615385, 0.611350, 0.611938
5, 3, 104, 0.683333, 0.662736, 0.727273, 0.551724, 0.627451, 0.609600, 0.611999
5, 4, 179, 0.750000, 0.637559, 1.000000, 0.482759, 0.651163, 0.599996, 0.602806
5, 5, 175, 0.833333, 0.613862, 0.952381, 0.689655, 0.800000, 0.581589, 0.582687
