# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 69, 0.750000, 0.646050, 1.000000, 0.531250, 0.693878, 0.630295, 0.630324
2, 2, 57, 0.716667, 0.647516, 1.000000, 0.468750, 0.638298, 0.626586, 0.627703
2, 3, 15, 0.783333, 0.652700, 0.731707, 0.937500, 0.821918, 0.603009, 0.603009
2, 4, 117, 0.766667, 0.632799, 1.000000, 0.562500, 0.720000, 0.597312, 0.600395
2, 5, 4, 0.850000, 0.661417, 0.780488, 1.000000, 0.876712, 0.594589, 0.602736
3, 1, 7, 0.766667, 0.624754, 0.900000, 0.600000, 0.720000, 0.623729, 0.626846
3, 2, 43, 0.816667, 0.590191, 0.913043, 0.700000, 0.792453, 0.597145, 0.598114
3, 3, 67, 0.833333, 0.583282, 0.916667, 0.733333, 0.814815, 0.584570, 0.586617
3, 4, 186, 0.850000, 0.577450, 0.920000, 0.766667, 0.836364, 0.578586, 0.583691
3, 5, 59, 0.833333, 0.569561, 0.916667, 0.733333, 0.814815, 0.576523, 0.576683
4, 1, 23, 0.683333, 0.650993, 0.722222, 0.481481, 0.577778, 0.617414, 0.617880
4, 2, 41, 0.816667, 0.616680, 1.000000, 0.592593, 0.744186, 0.586933, 0.592607
4, 3, 58, 0.800000, 0.606948, 0.941176, 0.592593, 0.727273, 0.585894, 0.590908
4, 4, 48, 0.816667, 0.621938, 0.900000, 0.666667, 0.765957, 0.582486, 0.584562
4, 5, 85, 0.833333, 0.615450, 0.947368, 0.666667, 0.782609, 0.582441, 0.595250
5, 1, 148, 0.666667, 0.675648, 0.736842, 0.482759, 0.583333, 0.610327, 0.612319
5, 2, 87, 0.716667, 0.651506, 0.875000, 0.482759, 0.622222, 0.600002, 0.604004
5, 3, 129, 0.750000, 0.644420, 0.791667, 0.655172, 0.716981, 0.589090, 0.608491
5, 4, 66, 0.766667, 0.633724, 0.758621, 0.758621, 0.758621, 0.584026, 0.585561
5, 5, 139, 0.766667, 0.624465, 0.826087, 0.655172, 0.730769, 0.581285, 0.592724
