# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 44, 0.600000, 0.686733, 0.568182, 0.833333, 0.675676, 0.663641, 0.664014
2, 2, 26, 0.533333, 0.700229, 0.666667, 0.133333, 0.222222, 0.691969, 0.698692
2, 3, 1, 0.583333, 0.689708, 0.857143, 0.200000, 0.324324, 0.662727, 0.666045
2, 4, 19, 0.533333, 0.691134, 0.520833, 0.833333, 0.641026, 0.695760, 0.704577
2, 5, 33, 0.600000, 0.710320, 0.750000, 0.300000, 0.428571, 0.662731, 0.662804
3, 1, 80, 0.583333, 0.688932, 0.520000, 0.500000, 0.509804, 0.691622, 0.695863
3, 2, 114, 0.633333, 0.679297, 0.750000, 0.230769, 0.352941, 0.690941, 0.695606
3, 3, 43, 0.583333, 0.684513, 0.666667, 0.076923, 0.137931, 0.691383, 0.709886
3, 4, 159, 0.583333, 0.682257, 0.521739, 0.461538, 0.489796, 0.691002, 0.692106
3, 5, 29, 0.583333, 0.685435, 0.571429, 0.153846, 0.242424, 0.691393, 0.717447
4, 1, 5, 0.600000, 0.690873, 1.000000, 0.200000, 0.333333, 0.652665, 0.656305
4, 2, 12, 0.600000, 0.691845, 0.750000, 0.300000, 0.428571, 0.688216, 0.699840
4, 3, 12, 0.550000, 0.708502, 0.636364, 0.233333, 0.341463, 0.651745, 0.652791
4, 4, 44, 0.600000, 0.694369, 0.875000, 0.233333, 0.368421, 0.695123, 0.702483
4, 5, 1, 0.600000, 0.692336, 1.000000, 0.200000, 0.333333, 0.651748, 0.652104
5, 1, 30, 0.666667, 0.683213, 0.764706, 0.448276, 0.565217, 0.661116, 0.661116
5, 2, 126, 0.600000, 0.691762, 0.553191, 0.896552, 0.684211, 0.692600, 0.698716
5, 3, 20, 0.666667, 0.687644, 0.764706, 0.448276, 0.565217, 0.660812, 0.665148
5, 4, 82, 0.516667, 0.701588, 0.000000, 0.000000, 0.000000, 0.694002, 0.697029
5, 5, 10, 0.666667, 0.684455, 0.764706, 0.448276, 0.565217, 0.660816, 0.662152
6, 1, 11, 0.683333, 0.689661, 0.642857, 0.870968, 0.739726, 0.656629, 0.656931
6, 2, 16, 0.733333, 0.647560, 0.777778, 0.677419, 0.724138, 0.688325, 0.689789
6, 3, 98, 0.583333, 0.682704, 0.650000, 0.419355, 0.509804, 0.656516, 0.658807
6, 4, 90, 0.733333, 0.659079, 0.758621, 0.709677, 0.733333, 0.688010, 0.692183
6, 5, 72, 0.583333, 0.682512, 0.650000, 0.419355, 0.509804, 0.656505, 0.657735
7, 1, 25, 0.650000, 0.685959, 1.000000, 0.045455, 0.086957, 0.690945, 0.692278
7, 2, 44, 0.616667, 0.696757, 0.476190, 0.454545, 0.465116, 0.683977, 0.686199
7, 3, 27, 0.700000, 0.665792, 1.000000, 0.181818, 0.307692, 0.690981, 0.696039
7, 4, 19, 0.633333, 0.686282, 0.000000, 0.000000, 0.000000, 0.683960, 0.687410
7, 5, 1, 0.650000, 0.678601, 1.000000, 0.045455, 0.086957, 0.690913, 0.696779
8, 1, 6, 0.716667, 0.650019, 0.833333, 0.238095, 0.370370, 0.643541, 0.655236
8, 2, 1, 0.650000, 0.654055, 0.000000, 0.000000, 0.000000, 0.687649, 0.699169
8, 3, 6, 0.716667, 0.667376, 0.833333, 0.238095, 0.370370, 0.643576, 0.649115
8, 4, 26, 0.650000, 0.687182, 0.000000, 0.000000, 0.000000, 0.691448, 0.698302
8, 5, 1, 0.716667, 0.666472, 0.642857, 0.428571, 0.514286, 0.643687, 0.643687
9, 1, 17, 0.866667, 0.631572, 0.916667, 0.785714, 0.846154, 0.614891, 0.615304
9, 2, 35, 0.716667, 0.664206, 0.823529, 0.500000, 0.622222, 0.667259, 0.670703
9, 3, 22, 0.866667, 0.565458, 0.954545, 0.750000, 0.840000, 0.614893, 0.615045
9, 4, 151, 0.716667, 0.683107, 0.866667, 0.464286, 0.604651, 0.678892, 0.687102
9, 5, 35, 0.866667, 0.563536, 0.954545, 0.750000, 0.840000, 0.614891, 0.615545
10, 1, 23, 0.700000, 0.668926, 0.823529, 0.482759, 0.608696, 0.644273, 0.653017
10, 2, 185, 0.600000, 0.697936, 0.567568, 0.724138, 0.636364, 0.668113, 0.668503
10, 3, 41, 0.700000, 0.651023, 0.866667, 0.448276, 0.590909, 0.644272, 0.647652
10, 4, 12, 0.600000, 0.695439, 0.567568, 0.724138, 0.636364, 0.666793, 0.672971
10, 5, 13, 0.700000, 0.678300, 0.823529, 0.482759, 0.608696, 0.644290, 0.644305
