# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 28, 0.533333, 0.690685, 0.522727, 0.766667, 0.621622, 0.697557, 0.702445
2, 2, 110, 0.566667, 0.697016, 1.000000, 0.133333, 0.235294, 0.680712, 0.682699
2, 3, 75, 0.566667, 0.689670, 1.000000, 0.133333, 0.235294, 0.678403, 0.680306
2, 4, 101, 0.566667, 0.689935, 1.000000, 0.133333, 0.235294, 0.681754, 0.681754
2, 5, 35, 0.583333, 0.696501, 0.551020, 0.900000, 0.683544, 0.684760, 0.693127
3, 1, 114, 0.650000, 0.682068, 0.727273, 0.307692, 0.432432, 0.690999, 0.695785
3, 2, 78, 0.650000, 0.678779, 0.692308, 0.346154, 0.461538, 0.686150, 0.697115
3, 3, 30, 0.583333, 0.687235, 0.511111, 0.884615, 0.647887, 0.678313, 0.684141
3, 4, 74, 0.600000, 0.689058, 0.538462, 0.538462, 0.538462, 0.679829, 0.685438
3, 5, 167, 0.616667, 0.719516, 0.571429, 0.461538, 0.510638, 0.680416, 0.690419
4, 1, 93, 0.616667, 0.695688, 0.769231, 0.333333, 0.465116, 0.698035, 0.699537
4, 2, 74, 0.600000, 0.696821, 0.875000, 0.233333, 0.368421, 0.682687, 0.682687
4, 3, 55, 0.766667, 0.677806, 1.000000, 0.533333, 0.695652, 0.640485, 0.640966
4, 4, 71, 0.783333, 0.667155, 1.000000, 0.566667, 0.723404, 0.640076, 0.648036
4, 5, 119, 0.766667, 0.682655, 0.833333, 0.666667, 0.740741, 0.642603, 0.651391
5, 1, 173, 0.516667, 0.703125, 0.000000, 0.000000, 0.000000, 0.692817, 0.707355
5, 2, 142, 0.533333, 0.720680, 0.533333, 0.275862, 0.363636, 0.661702, 0.664389
5, 3, 166, 0.533333, 0.718628, 0.533333, 0.275862, 0.363636, 0.659033, 0.671882
5, 4, 85, 0.533333, 0.723108, 0.538462, 0.241379, 0.333333, 0.660803, 0.670613
5, 5, 54, 0.533333, 0.763117, 0.508772, 1.000000, 0.674419, 0.658727, 0.667080
6, 1, 189, 0.716667, 0.679060, 0.750000, 0.677419, 0.711864, 0.690021, 0.694319
6, 2, 152, 0.683333, 0.667038, 0.928571, 0.419355, 0.577778, 0.677768, 0.678285
6, 3, 160, 0.666667, 0.660377, 0.761905, 0.516129, 0.615385, 0.641063, 0.642987
6, 4, 162, 0.716667, 0.657786, 0.791667, 0.612903, 0.690909, 0.638155, 0.658311
6, 5, 150, 0.666667, 0.666130, 0.761905, 0.516129, 0.615385, 0.638782, 0.662455
7, 1, 41, 0.700000, 0.684286, 0.833333, 0.227273, 0.357143, 0.684113, 0.703963
7, 2, 20, 0.716667, 0.673656, 0.727273, 0.363636, 0.484848, 0.653495, 0.663826
7, 3, 197, 0.800000, 0.658697, 0.916667, 0.500000, 0.647059, 0.651695, 0.651695
7, 4, 38, 0.683333, 0.671815, 0.588235, 0.454545, 0.512821, 0.640783, 0.640783
7, 5, 121, 0.733333, 0.647495, 1.000000, 0.272727, 0.428571, 0.631400, 0.637472
8, 1, 146, 0.650000, 0.691222, 0.000000, 0.000000, 0.000000, 0.693852, 0.700872
8, 2, 150, 0.750000, 0.682823, 0.800000, 0.380952, 0.516129, 0.681837, 0.690264
8, 3, 97, 0.683333, 0.666206, 0.535714, 0.714286, 0.612245, 0.645274, 0.648681
8, 4, 138, 0.800000, 0.607620, 0.764706, 0.619048, 0.684211, 0.606097, 0.606097
8, 5, 189, 0.816667, 0.629311, 0.916667, 0.523810, 0.666667, 0.627726, 0.627726
9, 1, 151, 0.666667, 0.692501, 0.833333, 0.357143, 0.500000, 0.688381, 0.688381
9, 2, 116, 0.750000, 0.650458, 0.760000, 0.678571, 0.716981, 0.685101, 0.695581
9, 3, 58, 0.733333, 0.648427, 0.772727, 0.607143, 0.680000, 0.666613, 0.666613
9, 4, 42, 0.800000, 0.633440, 0.863636, 0.678571, 0.760000, 0.640626, 0.640626
9, 5, 149, 0.783333, 0.609263, 0.941176, 0.571429, 0.711111, 0.633992, 0.634651
10, 1, 96, 0.600000, 0.699268, 0.567568, 0.724138, 0.636364, 0.666792, 0.671973
10, 2, 63, 0.666667, 0.679016, 0.628571, 0.758621, 0.687500, 0.651275, 0.653700
10, 3, 105, 0.733333, 0.653593, 0.740741, 0.689655, 0.714286, 0.621202, 0.624035
10, 4, 197, 0.766667, 0.608125, 1.000000, 0.517241, 0.681818, 0.598622, 0.598622
10, 5, 196, 0.833333, 0.608682, 1.000000, 0.655172, 0.791667, 0.587846, 0.593434
