# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 7, 0.600000, 0.691291, 0.568182, 0.833333, 0.675676, 0.662732, 0.663164
2, 2, 128, 0.666667, 0.700371, 0.666667, 0.666667, 0.666667, 0.692006, 0.693476
2, 3, 64, 0.600000, 0.689036, 0.568182, 0.833333, 0.675676, 0.662794, 0.664630
2, 4, 96, 0.533333, 0.690945, 0.521739, 0.800000, 0.631579, 0.694998, 0.697593
2, 5, 34, 0.616667, 0.688279, 0.577778, 0.866667, 0.693333, 0.662697, 0.696506
3, 1, 200, 0.566667, 0.688243, 0.500000, 0.538462, 0.518519, 0.691384, 0.692544
3, 2, 125, 0.550000, 0.710574, 0.489796, 0.923077, 0.640000, 0.691198, 0.693513
3, 3, 166, 0.583333, 0.683426, 0.520000, 0.500000, 0.509804, 0.691469, 0.694318
3, 4, 137, 0.666667, 0.681858, 0.750000, 0.346154, 0.473684, 0.690954, 0.697812
3, 5, 34, 0.583333, 0.685725, 0.518519, 0.538462, 0.528302, 0.691452, 0.708642
4, 1, 118, 0.583333, 0.727263, 0.666667, 0.333333, 0.444444, 0.680360, 0.680886
4, 2, 25, 0.616667, 0.694913, 0.818182, 0.300000, 0.439024, 0.696714, 0.716652
4, 3, 76, 0.583333, 0.703497, 0.666667, 0.333333, 0.444444, 0.680013, 0.689171
4, 4, 77, 0.566667, 0.694244, 0.562500, 0.600000, 0.580645, 0.695491, 0.696561
4, 5, 2, 0.583333, 0.733622, 0.666667, 0.333333, 0.444444, 0.680017, 0.684133
5, 1, 2, 0.566667, 0.730559, 1.000000, 0.103448, 0.187500, 0.680160, 0.682885
5, 2, 193, 0.600000, 0.691621, 0.553191, 0.896552, 0.684211, 0.692990, 0.700389
5, 3, 124, 0.600000, 0.700782, 0.564103, 0.758621, 0.647059, 0.680014, 0.680728
5, 4, 56, 0.566667, 0.689497, 0.636364, 0.241379, 0.350000, 0.692721, 0.695468
5, 5, 24, 0.600000, 0.692328, 0.564103, 0.758621, 0.647059, 0.680124, 0.690658
6, 1, 93, 0.650000, 0.681394, 0.600000, 0.967742, 0.740741, 0.665938, 0.666883
6, 2, 167, 0.733333, 0.667408, 0.741935, 0.741935, 0.741935, 0.688586, 0.713005
6, 3, 159, 0.650000, 0.682079, 0.600000, 0.967742, 0.740741, 0.665937, 0.665989
6, 4, 66, 0.733333, 0.657326, 0.777778, 0.677419, 0.724138, 0.687992, 0.690093
6, 5, 11, 0.650000, 0.683147, 0.600000, 0.967742, 0.740741, 0.665939, 0.665939
7, 1, 9, 0.650000, 0.681884, 0.571429, 0.181818, 0.275862, 0.662977, 0.663017
7, 2, 142, 0.616667, 0.697207, 0.476190, 0.454545, 0.465116, 0.683958, 0.685132
7, 3, 103, 0.633333, 0.683817, 0.500000, 0.227273, 0.312500, 0.662980, 0.665269
7, 4, 18, 0.700000, 0.679389, 0.833333, 0.227273, 0.357143, 0.683967, 0.686640
7, 5, 43, 0.650000, 0.681301, 0.571429, 0.181818, 0.275862, 0.662977, 0.663599
8, 1, 2, 0.683333, 0.689391, 0.571429, 0.380952, 0.457143, 0.657434, 0.658636
8, 2, 126, 0.750000, 0.689250, 0.687500, 0.523810, 0.594595, 0.686518, 0.686637
8, 3, 5, 0.683333, 0.684312, 0.571429, 0.380952, 0.457143, 0.656904, 0.657256
8, 4, 18, 0.650000, 0.682350, 0.000000, 0.000000, 0.000000, 0.692494, 0.702991
8, 5, 22, 0.683333, 0.682398, 0.562500, 0.428571, 0.486486, 0.656907, 0.659877
9, 1, 79, 0.883333, 0.609717, 0.956522, 0.785714, 0.862745, 0.627856, 0.632973
9, 2, 32, 0.716667, 0.656492, 0.866667, 0.464286, 0.604651, 0.667337, 0.671671
9, 3, 45, 0.883333, 0.609053, 0.956522, 0.785714, 0.862745, 0.627856, 0.627929
9, 4, 190, 0.716667, 0.657204, 0.823529, 0.500000, 0.622222, 0.667274, 0.668952
9, 5, 58, 0.883333, 0.602273, 0.956522, 0.785714, 0.862745, 0.627855, 0.627932
10, 1, 51, 0.733333, 0.631747, 0.782609, 0.620690, 0.692308, 0.641005, 0.641501
10, 2, 68, 0.583333, 0.694974, 0.543478, 0.862069, 0.666667, 0.671282, 0.672825
10, 3, 36, 0.733333, 0.640374, 0.782609, 0.620690, 0.692308, 0.641004, 0.641047
10, 4, 18, 0.583333, 0.700561, 0.540000, 0.931034, 0.683544, 0.666796, 0.667889
10, 5, 38, 0.733333, 0.627973, 0.782609, 0.620690, 0.692308, 0.641011, 0.643407
