# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 104, 0.550000, 0.690692, 0.534884, 0.766667, 0.630137, 0.699042, 0.699752
2, 2, 28, 0.566667, 0.692040, 0.833333, 0.166667, 0.277778, 0.681784, 0.687443
2, 3, 138, 0.616667, 0.690416, 0.594595, 0.733333, 0.656716, 0.685939, 0.708868
2, 4, 18, 0.600000, 0.693943, 0.562500, 0.900000, 0.692308, 0.680517, 0.680517
2, 5, 19, 0.600000, 0.698630, 0.562500, 0.900000, 0.692308, 0.677199, 0.686968
3, 1, 180, 0.650000, 0.685392, 0.727273, 0.307692, 0.432432, 0.691131, 0.692106
3, 2, 106, 0.650000, 0.682517, 0.600000, 0.576923, 0.588235, 0.683794, 0.687766
3, 3, 164, 0.650000, 0.685580, 0.592593, 0.615385, 0.603774, 0.677376, 0.681128
3, 4, 11, 0.616667, 0.684173, 0.551724, 0.615385, 0.581818, 0.682763, 0.701335
3, 5, 109, 0.616667, 0.660644, 0.571429, 0.461538, 0.510638, 0.678509, 0.691161
4, 1, 61, 0.616667, 0.695616, 0.769231, 0.333333, 0.465116, 0.697889, 0.697943
4, 2, 139, 0.583333, 0.696081, 1.000000, 0.166667, 0.285714, 0.689593, 0.690009
4, 3, 182, 0.733333, 0.659398, 0.733333, 0.733333, 0.733333, 0.665563, 0.670559
4, 4, 192, 0.750000, 0.656803, 0.857143, 0.600000, 0.705882, 0.664045, 0.665380
4, 5, 52, 0.750000, 0.661222, 0.777778, 0.700000, 0.736842, 0.662378, 0.669483
5, 1, 37, 0.516667, 0.720735, 0.000000, 0.000000, 0.000000, 0.695826, 0.695854
5, 2, 20, 0.500000, 0.735277, 0.487805, 0.689655, 0.571429, 0.676388, 0.680319
5, 3, 163, 0.500000, 0.726074, 0.466667, 0.241379, 0.318182, 0.681400, 0.688392
5, 4, 94, 0.566667, 0.715438, 0.666667, 0.206897, 0.315789, 0.677286, 0.678165
5, 5, 123, 0.550000, 0.719701, 0.600000, 0.206897, 0.307692, 0.677521, 0.686017
6, 1, 198, 0.566667, 0.678821, 1.000000, 0.161290, 0.277778, 0.693428, 0.694418
6, 2, 124, 0.716667, 0.654179, 0.718750, 0.741935, 0.730159, 0.668125, 0.672550
6, 3, 69, 0.733333, 0.666657, 0.941176, 0.516129, 0.666667, 0.667834, 0.672118
6, 4, 80, 0.750000, 0.675172, 0.833333, 0.645161, 0.727273, 0.663468, 0.672381
6, 5, 152, 0.716667, 0.642883, 0.694444, 0.806452, 0.746269, 0.665763, 0.665763
7, 1, 200, 0.533333, 0.699900, 0.384615, 0.454545, 0.416667, 0.683981, 0.687308
7, 2, 92, 0.650000, 0.675948, 1.000000, 0.045455, 0.086957, 0.688436, 0.698753
7, 3, 122, 0.683333, 0.674589, 0.615385, 0.363636, 0.457143, 0.649551, 0.649551
7, 4, 97, 0.716667, 0.659018, 0.666667, 0.454545, 0.540541, 0.649221, 0.649393
7, 5, 10, 0.700000, 0.661194, 0.750000, 0.272727, 0.400000, 0.649775, 0.649775
8, 1, 189, 0.533333, 0.691868, 0.230769, 0.142857, 0.176471, 0.693717, 0.695145
8, 2, 104, 0.750000, 0.678524, 0.666667, 0.571429, 0.615385, 0.680211, 0.680214
8, 3, 143, 0.666667, 0.676682, 0.523810, 0.523810, 0.523810, 0.676837, 0.685907
8, 4, 21, 0.750000, 0.674866, 0.750000, 0.428571, 0.545455, 0.679471, 0.680480
8, 5, 18, 0.766667, 0.666629, 1.000000, 0.333333, 0.500000, 0.675982, 0.699519
9, 1, 37, 0.533333, 0.717023, 0.000000, 0.000000, 0.000000, 0.692592, 0.693658
9, 2, 60, 0.616667, 0.678194, 0.647059, 0.392857, 0.488889, 0.662635, 0.670853
9, 3, 66, 0.700000, 0.675440, 0.916667, 0.392857, 0.550000, 0.662670, 0.663121
9, 4, 102, 0.716667, 0.671878, 0.923077, 0.428571, 0.585366, 0.662162, 0.662918
9, 5, 43, 0.683333, 0.678557, 1.000000, 0.321429, 0.486486, 0.662504, 0.668068
10, 1, 14, 0.600000, 0.698442, 0.567568, 0.724138, 0.636364, 0.666793, 0.666800
10, 2, 93, 0.750000, 0.652717, 0.705882, 0.827586, 0.761905, 0.630473, 0.638230
10, 3, 20, 0.700000, 0.673930, 0.666667, 0.758621, 0.709677, 0.631326, 0.636919
10, 4, 99, 0.733333, 0.648234, 0.724138, 0.724138, 0.724138, 0.631798, 0.634576
10, 5, 51, 0.750000, 0.653147, 0.937500, 0.517241, 0.666667, 0.630147, 0.630147
