# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 168, 0.616667, 0.698015, 0.577778, 0.866667, 0.693333, 0.662707, 0.662719
2, 2, 108, 0.650000, 0.701269, 0.628571, 0.733333, 0.676923, 0.691921, 0.693676
2, 3, 30, 0.583333, 0.700378, 0.692308, 0.300000, 0.418605, 0.662812, 0.666497
2, 4, 87, 0.550000, 0.691362, 0.533333, 0.800000, 0.640000, 0.694265, 0.696769
2, 5, 10, 0.566667, 0.687068, 0.625000, 0.333333, 0.434783, 0.662731, 0.669851
3, 1, 49, 0.583333, 0.691980, 0.518519, 0.538462, 0.528302, 0.691398, 0.691471
3, 2, 127, 0.650000, 0.680007, 0.727273, 0.307692, 0.432432, 0.691018, 0.692329
3, 3, 55, 0.566667, 0.692784, 0.000000, 0.000000, 0.000000, 0.691628, 0.692865
3, 4, 71, 0.633333, 0.685313, 0.750000, 0.230769, 0.352941, 0.691008, 0.691008
3, 5, 131, 0.566667, 0.688688, 0.500000, 0.538462, 0.518519, 0.691481, 0.693162
4, 1, 19, 0.600000, 0.692212, 1.000000, 0.200000, 0.333333, 0.653009, 0.653110
4, 2, 125, 0.616667, 0.691656, 0.888889, 0.266667, 0.410256, 0.688674, 0.688674
4, 3, 4, 0.600000, 0.700353, 1.000000, 0.200000, 0.333333, 0.651749, 0.652304
4, 4, 53, 0.600000, 0.693747, 0.800000, 0.266667, 0.400000, 0.694175, 0.697804
4, 5, 1, 0.600000, 0.692185, 1.000000, 0.200000, 0.333333, 0.651881, 0.675785
5, 1, 34, 0.666667, 0.682207, 0.736842, 0.482759, 0.583333, 0.661062, 0.679032
5, 2, 110, 0.583333, 0.691210, 0.543478, 0.862069, 0.666667, 0.693447, 0.697436
5, 3, 10, 0.666667, 0.684335, 0.764706, 0.448276, 0.565217, 0.660811, 0.669174
5, 4, 184, 0.566667, 0.692080, 0.636364, 0.241379, 0.350000, 0.692697, 0.698254
5, 5, 19, 0.666667, 0.683155, 0.764706, 0.448276, 0.565217, 0.660834, 0.670626
6, 1, 183, 0.683333, 0.682146, 0.687500, 0.709677, 0.698413, 0.656505, 0.663651
6, 2, 72, 0.733333, 0.646780, 0.777778, 0.677419, 0.724138, 0.688196, 0.704550
6, 3, 196, 0.650000, 0.681925, 0.666667, 0.645161, 0.655738, 0.656504, 0.662084
6, 4, 55, 0.733333, 0.660424, 0.758621, 0.709677, 0.733333, 0.688102, 0.692380
6, 5, 37, 0.516667, 0.703332, 0.625000, 0.161290, 0.256410, 0.656504, 0.656536
7, 1, 158, 0.683333, 0.679683, 1.000000, 0.136364, 0.240000, 0.691133, 0.692136
7, 2, 2, 0.616667, 0.696336, 0.476190, 0.454545, 0.465116, 0.683961, 0.689549
7, 3, 2, 0.700000, 0.677076, 1.000000, 0.181818, 0.307692, 0.690894, 0.692446
7, 4, 16, 0.683333, 0.687564, 0.666667, 0.272727, 0.387097, 0.683959, 0.686367
7, 5, 108, 0.700000, 0.669876, 1.000000, 0.181818, 0.307692, 0.690898, 0.699814
8, 1, 10, 0.716667, 0.680106, 0.611111, 0.523810, 0.564103, 0.643949, 0.660718
8, 2, 129, 0.683333, 0.691455, 0.550000, 0.523810, 0.536585, 0.688639, 0.693417
8, 3, 18, 0.716667, 0.635354, 0.625000, 0.476190, 0.540541, 0.643541, 0.654445
8, 4, 29, 0.650000, 0.686627, 0.000000, 0.000000, 0.000000, 0.692528, 0.707287
8, 5, 11, 0.716667, 0.611605, 0.642857, 0.428571, 0.514286, 0.643609, 0.645462
9, 1, 10, 0.866667, 0.646738, 0.857143, 0.857143, 0.857143, 0.614896, 0.615033
9, 2, 40, 0.716667, 0.658501, 0.866667, 0.464286, 0.604651, 0.667256, 0.667613
9, 3, 4, 0.866667, 0.657338, 0.857143, 0.857143, 0.857143, 0.614895, 0.615052
9, 4, 124, 0.716667, 0.656146, 0.866667, 0.464286, 0.604651, 0.667277, 0.674569
9, 5, 26, 0.866667, 0.603238, 0.916667, 0.785714, 0.846154, 0.614899, 0.615913
10, 1, 97, 0.700000, 0.649607, 0.823529, 0.482759, 0.608696, 0.644299, 0.644357
10, 2, 98, 0.583333, 0.693022, 0.571429, 0.551724, 0.561404, 0.676007, 0.679377
10, 3, 15, 0.700000, 0.670276, 0.823529, 0.482759, 0.608696, 0.644272, 0.644272
10, 4, 13, 0.583333, 0.694051, 0.571429, 0.551724, 0.561404, 0.666792, 0.673731
10, 5, 15, 0.700000, 0.652505, 0.866667, 0.448276, 0.590909, 0.644272, 0.644720
