# qvc TwoLocal incremental log
# combo: rotation_type=RX, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 60, 0.550000, 0.690657, 0.531915, 0.833333, 0.649351, 0.697942, 0.697985
2, 2, 92, 0.550000, 0.690925, 0.534884, 0.766667, 0.630137, 0.696676, 0.711399
2, 3, 20, 0.533333, 0.690860, 0.523810, 0.733333, 0.611111, 0.695119, 0.695201
2, 4, 75, 0.550000, 0.690752, 0.531915, 0.833333, 0.649351, 0.696892, 0.717313
2, 5, 97, 0.550000, 0.691477, 0.530612, 0.866667, 0.658228, 0.693691, 0.693691
3, 1, 70, 0.650000, 0.671775, 0.692308, 0.346154, 0.461538, 0.690984, 0.691340
3, 2, 54, 0.583333, 0.682867, 0.529412, 0.346154, 0.418605, 0.690933, 0.692910
3, 3, 48, 0.616667, 0.679991, 0.578947, 0.423077, 0.488889, 0.691434, 0.692747
3, 4, 18, 0.616667, 0.677029, 0.800000, 0.153846, 0.258065, 0.691072, 0.702729
3, 5, 166, 0.633333, 0.668046, 0.700000, 0.269231, 0.388889, 0.691038, 0.693670
4, 1, 21, 0.616667, 0.695492, 0.705882, 0.400000, 0.510638, 0.697982, 0.698738
4, 2, 26, 0.633333, 0.693788, 0.666667, 0.533333, 0.592593, 0.680245, 0.680377
4, 3, 125, 0.750000, 0.673070, 0.826087, 0.633333, 0.716981, 0.640681, 0.647697
4, 4, 78, 0.750000, 0.663607, 1.000000, 0.500000, 0.666667, 0.638897, 0.638958
4, 5, 45, 0.616667, 0.698793, 0.585366, 0.800000, 0.676056, 0.647067, 0.647067
5, 1, 94, 0.516667, 0.708088, 0.000000, 0.000000, 0.000000, 0.693030, 0.693896
5, 2, 131, 0.533333, 0.725918, 0.538462, 0.241379, 0.333333, 0.661733, 0.664405
5, 3, 76, 0.533333, 0.725417, 0.545455, 0.206897, 0.300000, 0.658733, 0.662233
5, 4, 19, 0.533333, 0.725369, 0.555556, 0.172414, 0.263158, 0.662194, 0.683776
5, 5, 12, 0.650000, 0.696270, 0.633333, 0.655172, 0.644068, 0.661008, 0.661008
6, 1, 165, 0.716667, 0.686396, 0.733333, 0.709677, 0.721311, 0.691486, 0.695198
6, 2, 105, 0.683333, 0.661441, 0.928571, 0.419355, 0.577778, 0.677610, 0.684476
6, 3, 197, 0.716667, 0.642585, 0.888889, 0.516129, 0.653061, 0.641894, 0.654832
6, 4, 172, 0.716667, 0.652938, 0.791667, 0.612903, 0.690909, 0.639671, 0.651178
6, 5, 102, 0.666667, 0.662443, 0.761905, 0.516129, 0.615385, 0.639278, 0.641274
7, 1, 16, 0.633333, 0.675797, 0.500000, 0.363636, 0.421053, 0.683959, 0.689734
7, 2, 49, 0.583333, 0.687878, 0.440000, 0.500000, 0.468085, 0.653079, 0.672484
7, 3, 160, 0.650000, 0.662189, 0.523810, 0.500000, 0.511628, 0.646059, 0.646059
7, 4, 162, 0.766667, 0.648714, 1.000000, 0.363636, 0.533333, 0.629589, 0.629748
7, 5, 58, 0.750000, 0.651883, 0.888889, 0.363636, 0.516129, 0.632083, 0.632083
8, 1, 55, 0.650000, 0.690257, 0.000000, 0.000000, 0.000000, 0.693687, 0.693865
8, 2, 105, 0.750000, 0.667992, 0.875000, 0.333333, 0.482759, 0.679179, 0.681657
8, 3, 138, 0.716667, 0.664921, 0.666667, 0.380952, 0.484848, 0.664951, 0.664951
8, 4, 94, 0.783333, 0.586965, 0.833333, 0.476190, 0.606061, 0.620479, 0.625597
8, 5, 60, 0.816667, 0.624994, 1.000000, 0.476190, 0.645161, 0.618806, 0.625751
9, 1, 120, 0.533333, 0.698006, 0.000000, 0.000000, 0.000000, 0.692369, 0.699598
9, 2, 185, 0.616667, 0.695639, 0.571429, 0.714286, 0.634921, 0.693800, 0.694333
9, 3, 174, 0.850000, 0.581250, 0.913043, 0.750000, 0.823529, 0.627531, 0.631957
9, 4, 176, 0.816667, 0.601758, 0.904762, 0.678571, 0.775510, 0.631280, 0.635979
9, 5, 134, 0.866667, 0.567492, 0.954545, 0.750000, 0.840000, 0.622650, 0.625918
10, 1, 28, 0.583333, 0.703465, 0.541667, 0.896552, 0.675325, 0.666793, 0.667979
10, 2, 72, 0.650000, 0.684611, 0.600000, 0.827586, 0.695652, 0.654048, 0.657530
10, 3, 170, 0.833333, 0.599343, 0.880000, 0.758621, 0.814815, 0.595582, 0.605744
10, 4, 147, 0.833333, 0.600343, 0.880000, 0.758621, 0.814815, 0.595542, 0.599693
10, 5, 81, 0.816667, 0.609189, 0.950000, 0.655172, 0.775510, 0.594988, 0.595915
