# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 56, 0.583333, 0.695571, 0.551020, 0.900000, 0.683544, 0.696246, 0.697031
2, 2, 158, 0.650000, 0.679127, 0.621622, 0.766667, 0.686567, 0.653689, 0.653689
2, 3, 110, 0.666667, 0.677337, 0.692308, 0.600000, 0.642857, 0.652993, 0.656311
2, 4, 15, 0.633333, 0.731126, 0.833333, 0.333333, 0.476190, 0.659730, 0.686382
2, 5, 27, 0.666667, 0.681462, 0.631579, 0.800000, 0.705882, 0.653031, 0.653031
3, 1, 15, 0.616667, 0.659364, 0.565217, 0.500000, 0.530612, 0.711874, 0.713791
3, 2, 99, 0.566667, 0.754843, 0.500000, 0.923077, 0.648649, 0.672792, 0.680120
3, 3, 149, 0.683333, 0.661972, 0.888889, 0.307692, 0.457143, 0.672043, 0.672221
3, 4, 198, 0.600000, 0.701167, 0.535714, 0.576923, 0.555556, 0.674419, 0.685315
3, 5, 83, 0.600000, 0.687326, 0.523810, 0.846154, 0.647059, 0.664426, 0.674721
4, 1, 200, 0.766667, 0.656636, 0.900000, 0.600000, 0.720000, 0.664202, 0.664439
4, 2, 37, 0.800000, 0.651360, 0.875000, 0.700000, 0.777778, 0.622928, 0.624241
4, 3, 109, 0.783333, 0.615812, 0.869565, 0.666667, 0.754717, 0.591886, 0.609280
4, 4, 91, 0.800000, 0.629801, 1.000000, 0.600000, 0.750000, 0.579919, 0.593694
4, 5, 68, 0.850000, 0.629829, 0.783784, 0.966667, 0.865672, 0.579944, 0.584559
5, 1, 193, 0.533333, 0.735405, 0.509434, 0.931034, 0.658537, 0.699946, 0.705024
5, 2, 58, 0.600000, 0.707089, 0.600000, 0.517241, 0.555556, 0.657328, 0.671264
5, 3, 177, 0.616667, 0.705368, 0.615385, 0.551724, 0.581818, 0.656608, 0.677660
5, 4, 110, 0.600000, 0.696087, 0.592593, 0.551724, 0.571429, 0.639812, 0.648642
5, 5, 189, 0.633333, 0.706716, 0.769231, 0.344828, 0.476190, 0.641779, 0.641931
6, 1, 179, 0.600000, 0.709051, 0.818182, 0.290323, 0.428571, 0.681615, 0.690164
6, 2, 128, 0.683333, 0.656376, 0.800000, 0.516129, 0.627451, 0.635890, 0.638718
6, 3, 116, 0.750000, 0.646076, 0.863636, 0.612903, 0.716981, 0.621426, 0.621876
6, 4, 198, 0.783333, 0.631010, 0.875000, 0.677419, 0.763636, 0.608763, 0.611373
6, 5, 101, 0.766667, 0.665864, 0.869565, 0.645161, 0.740741, 0.609158, 0.609158
7, 1, 125, 0.550000, 0.738383, 0.424242, 0.636364, 0.509091, 0.668639, 0.668639
7, 2, 91, 0.716667, 0.644202, 0.666667, 0.454545, 0.540541, 0.634118, 0.638319
7, 3, 172, 0.750000, 0.653831, 0.705882, 0.545455, 0.615385, 0.630833, 0.630833
7, 4, 151, 0.816667, 0.632684, 0.789474, 0.681818, 0.731707, 0.625297, 0.638925
7, 5, 187, 0.816667, 0.638689, 0.866667, 0.590909, 0.702703, 0.620445, 0.623409
8, 1, 22, 0.733333, 0.679643, 0.600000, 0.714286, 0.652174, 0.674454, 0.675060
8, 2, 55, 0.750000, 0.626356, 0.687500, 0.523810, 0.594595, 0.632980, 0.640728
8, 3, 21, 0.766667, 0.606179, 0.818182, 0.428571, 0.562500, 0.620787, 0.622973
8, 4, 107, 0.766667, 0.622109, 0.652174, 0.714286, 0.681818, 0.601697, 0.606404
8, 5, 137, 0.816667, 0.607079, 0.777778, 0.666667, 0.717949, 0.593830, 0.598556
9, 1, 157, 0.583333, 0.709088, 0.545455, 0.642857, 0.590164, 0.705673, 0.712645
9, 2, 93, 0.900000, 0.576850, 0.923077, 0.857143, 0.888889, 0.607493, 0.607493
9, 3, 86, 0.900000, 0.558061, 0.923077, 0.857143, 0.888889, 0.599628, 0.604044
9, 4, 180, 0.916667, 0.534089, 1.000000, 0.821429, 0.901961, 0.596368, 0.600125
9, 5, 153, 0.900000, 0.549780, 0.958333, 0.821429, 0.884615, 0.594707, 0.597750
10, 1, 130, 0.616667, 0.696789, 0.600000, 0.620690, 0.610169, 0.666183, 0.672117
10, 2, 170, 0.750000, 0.642915, 0.937500, 0.517241, 0.666667, 0.615022, 0.617248
10, 3, 41, 0.783333, 0.622799, 0.785714, 0.758621, 0.771930, 0.589704, 0.593141
10, 4, 26, 0.833333, 0.592295, 1.000000, 0.655172, 0.791667, 0.565859, 0.582826
10, 5, 28, 0.800000, 0.625182, 0.947368, 0.620690, 0.750000, 0.567900, 0.567900
