# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 7, 0.616667, 0.691017, 0.606061, 0.666667, 0.634921, 0.657891, 0.664747
2, 2, 23, 0.583333, 0.700254, 0.564103, 0.733333, 0.637681, 0.671674, 0.672375
2, 3, 105, 0.633333, 0.671517, 0.633333, 0.633333, 0.633333, 0.654413, 0.657748
2, 4, 108, 0.650000, 0.679535, 0.695652, 0.533333, 0.603774, 0.655717, 0.661513
2, 5, 87, 0.650000, 0.706872, 1.000000, 0.300000, 0.461538, 0.652213, 0.652213
3, 1, 1, 0.583333, 0.687314, 0.666667, 0.076923, 0.137931, 0.674067, 0.686641
3, 2, 113, 0.633333, 0.703614, 0.576923, 0.576923, 0.576923, 0.668059, 0.671359
3, 3, 11, 0.633333, 0.694870, 1.000000, 0.153846, 0.266667, 0.676947, 0.676947
3, 4, 122, 0.650000, 0.653763, 0.608696, 0.538462, 0.571429, 0.665062, 0.676536
3, 5, 117, 0.666667, 0.675214, 0.666667, 0.461538, 0.545455, 0.663979, 0.694851
4, 1, 20, 0.800000, 0.662349, 0.909091, 0.666667, 0.769231, 0.629392, 0.629678
4, 2, 136, 0.783333, 0.638029, 1.000000, 0.566667, 0.723404, 0.597167, 0.600983
4, 3, 35, 0.766667, 0.639392, 0.681818, 1.000000, 0.810811, 0.587205, 0.588339
4, 4, 192, 0.800000, 0.632440, 0.909091, 0.666667, 0.769231, 0.583679, 0.603012
4, 5, 142, 0.783333, 0.620569, 0.707317, 0.966667, 0.816901, 0.588303, 0.588303
5, 1, 122, 0.733333, 0.657359, 0.933333, 0.482759, 0.636364, 0.656838, 0.656838
5, 2, 19, 0.600000, 0.691937, 0.592593, 0.551724, 0.571429, 0.653290, 0.653290
5, 3, 50, 0.650000, 0.689471, 0.666667, 0.551724, 0.603774, 0.645751, 0.645751
5, 4, 149, 0.683333, 0.674792, 0.708333, 0.586207, 0.641509, 0.639329, 0.645343
5, 5, 198, 0.633333, 0.685758, 0.577778, 0.896552, 0.702703, 0.645197, 0.672503
6, 1, 99, 0.733333, 0.651517, 0.800000, 0.645161, 0.714286, 0.635368, 0.638046
6, 2, 41, 0.733333, 0.652768, 0.857143, 0.580645, 0.692308, 0.617683, 0.626939
6, 3, 9, 0.733333, 0.689728, 0.674419, 0.935484, 0.783784, 0.613244, 0.615271
6, 4, 115, 0.750000, 0.646786, 0.833333, 0.645161, 0.727273, 0.614175, 0.621158
6, 5, 137, 0.766667, 0.638749, 0.840000, 0.677419, 0.750000, 0.618749, 0.631284
7, 1, 200, 0.666667, 0.673488, 0.545455, 0.545455, 0.545455, 0.642966, 0.642966
7, 2, 57, 0.766667, 0.652866, 0.900000, 0.409091, 0.562500, 0.637009, 0.658792
7, 3, 103, 0.716667, 0.664162, 0.631579, 0.545455, 0.585366, 0.624633, 0.625933
7, 4, 129, 0.766667, 0.628352, 0.833333, 0.454545, 0.588235, 0.621009, 0.652599
7, 5, 116, 0.750000, 0.633072, 0.705882, 0.545455, 0.615385, 0.613678, 0.667126
8, 1, 34, 0.816667, 0.628984, 0.916667, 0.523810, 0.666667, 0.635958, 0.636804
8, 2, 49, 0.750000, 0.656930, 0.650000, 0.619048, 0.634146, 0.624775, 0.640814
8, 3, 4, 0.750000, 0.679688, 0.615385, 0.761905, 0.680851, 0.609405, 0.612414
8, 4, 95, 0.866667, 0.591538, 0.933333, 0.666667, 0.777778, 0.598878, 0.604976
8, 5, 143, 0.900000, 0.613374, 1.000000, 0.714286, 0.833333, 0.594409, 0.602826
9, 1, 77, 0.900000, 0.568524, 0.923077, 0.857143, 0.888889, 0.606718, 0.608398
9, 2, 114, 0.883333, 0.561845, 0.920000, 0.821429, 0.867925, 0.607874, 0.610766
9, 3, 46, 0.900000, 0.583290, 0.923077, 0.857143, 0.888889, 0.603625, 0.607673
9, 4, 112, 0.883333, 0.553326, 0.920000, 0.821429, 0.867925, 0.597504, 0.610654
9, 5, 21, 0.916667, 0.619759, 1.000000, 0.821429, 0.901961, 0.588658, 0.598895
10, 1, 12, 0.766667, 0.648049, 0.941176, 0.551724, 0.695652, 0.620344, 0.620894
10, 2, 72, 0.816667, 0.639605, 1.000000, 0.620690, 0.765957, 0.618501, 0.618501
10, 3, 165, 0.783333, 0.618958, 0.785714, 0.758621, 0.771930, 0.593177, 0.595556
10, 4, 50, 0.783333, 0.623703, 0.900000, 0.620690, 0.734694, 0.574406, 0.577948
10, 5, 104, 0.833333, 0.612963, 0.913043, 0.724138, 0.807692, 0.580886, 0.594741
