# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 26, 0.583333, 0.691910, 0.553191, 0.866667, 0.675325, 0.698107, 0.699924
2, 2, 178, 0.666667, 0.679288, 0.638889, 0.766667, 0.696970, 0.657301, 0.659855
2, 3, 177, 0.666667, 0.671450, 0.708333, 0.566667, 0.629630, 0.663465, 0.703650
2, 4, 75, 0.650000, 0.675499, 0.655172, 0.633333, 0.644068, 0.655673, 0.662178
2, 5, 96, 0.650000, 0.679211, 0.846154, 0.366667, 0.511628, 0.662860, 0.686615
3, 1, 76, 0.616667, 0.690397, 0.533333, 0.923077, 0.676056, 0.710687, 0.711625
3, 2, 43, 0.600000, 0.702650, 0.521739, 0.923077, 0.666667, 0.672025, 0.682163
3, 3, 136, 0.650000, 0.676583, 0.586207, 0.653846, 0.618182, 0.659776, 0.660229
3, 4, 183, 0.616667, 0.676270, 0.545455, 0.692308, 0.610169, 0.666226, 0.666226
3, 5, 79, 0.650000, 0.683441, 0.571429, 0.769231, 0.655738, 0.661293, 0.681887
4, 1, 75, 0.733333, 0.665432, 0.733333, 0.733333, 0.733333, 0.666432, 0.666567
4, 2, 140, 0.783333, 0.633894, 1.000000, 0.566667, 0.723404, 0.597024, 0.613683
4, 3, 140, 0.783333, 0.642954, 0.869565, 0.666667, 0.754717, 0.590368, 0.590654
4, 4, 22, 0.850000, 0.643471, 0.888889, 0.800000, 0.842105, 0.591001, 0.592730
4, 5, 130, 0.733333, 0.631811, 0.850000, 0.566667, 0.680000, 0.591888, 0.632547
5, 1, 105, 0.550000, 0.708703, 0.527778, 0.655172, 0.584615, 0.694870, 0.697338
5, 2, 109, 0.600000, 0.713243, 0.555556, 0.862069, 0.675676, 0.657539, 0.657834
5, 3, 128, 0.566667, 0.691127, 0.551724, 0.551724, 0.551724, 0.644829, 0.648610
5, 4, 71, 0.600000, 0.716172, 0.555556, 0.862069, 0.675676, 0.658492, 0.658791
5, 5, 83, 0.616667, 0.684712, 0.636364, 0.482759, 0.549020, 0.648587, 0.658255
6, 1, 177, 0.650000, 0.676654, 0.812500, 0.419355, 0.553191, 0.672623, 0.673766
6, 2, 135, 0.750000, 0.640994, 0.863636, 0.612903, 0.716981, 0.621285, 0.621603
6, 3, 74, 0.666667, 0.654476, 0.761905, 0.516129, 0.615385, 0.627767, 0.633839
6, 4, 190, 0.733333, 0.645257, 0.857143, 0.580645, 0.692308, 0.622739, 0.672730
6, 5, 125, 0.750000, 0.639124, 0.863636, 0.612903, 0.716981, 0.620563, 0.644148
7, 1, 31, 0.600000, 0.675244, 0.437500, 0.318182, 0.368421, 0.663401, 0.663401
7, 2, 9, 0.600000, 0.679677, 0.444444, 0.363636, 0.400000, 0.641819, 0.641819
7, 3, 125, 0.666667, 0.651514, 0.583333, 0.318182, 0.411765, 0.639462, 0.639462
7, 4, 99, 0.800000, 0.646726, 0.812500, 0.590909, 0.684211, 0.625936, 0.626052
7, 5, 163, 0.733333, 0.645816, 0.636364, 0.636364, 0.636364, 0.618444, 0.627206
8, 1, 72, 0.733333, 0.683371, 0.600000, 0.714286, 0.652174, 0.680085, 0.696125
8, 2, 190, 0.700000, 0.660192, 0.615385, 0.380952, 0.470588, 0.638287, 0.640879
8, 3, 134, 0.816667, 0.601919, 0.916667, 0.523810, 0.666667, 0.597526, 0.604089
8, 4, 122, 0.800000, 0.644246, 0.764706, 0.619048, 0.684211, 0.613305, 0.613516
8, 5, 133, 0.816667, 0.622441, 0.777778, 0.666667, 0.717949, 0.608807, 0.611743
9, 1, 187, 0.616667, 0.696972, 0.567568, 0.750000, 0.646154, 0.699798, 0.700570
9, 2, 181, 0.883333, 0.597280, 0.956522, 0.785714, 0.862745, 0.619388, 0.619870
9, 3, 169, 0.833333, 0.557360, 0.875000, 0.750000, 0.807692, 0.604724, 0.604724
9, 4, 199, 0.900000, 0.546818, 0.923077, 0.857143, 0.888889, 0.595605, 0.597614
9, 5, 107, 0.900000, 0.614677, 0.958333, 0.821429, 0.884615, 0.602579, 0.607483
10, 1, 49, 0.600000, 0.702108, 0.553191, 0.896552, 0.684211, 0.666189, 0.668267
10, 2, 199, 0.733333, 0.632225, 0.696970, 0.793103, 0.741935, 0.600836, 0.600836
10, 3, 197, 0.850000, 0.607309, 0.884615, 0.793103, 0.836364, 0.592986, 0.611551
10, 4, 144, 0.883333, 0.601346, 1.000000, 0.758621, 0.862745, 0.573829, 0.591747
10, 5, 90, 0.866667, 0.593719, 0.956522, 0.758621, 0.846154, 0.568869, 0.569923
