# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 71, 0.583333, 0.696663, 0.551020, 0.900000, 0.683544, 0.695813, 0.695917
2, 2, 190, 0.666667, 0.685301, 0.625000, 0.833333, 0.714286, 0.653340, 0.658222
2, 3, 96, 0.666667, 0.679395, 0.638889, 0.766667, 0.696970, 0.652896, 0.658462
2, 4, 11, 0.650000, 0.681583, 0.764706, 0.433333, 0.553191, 0.652725, 0.663115
2, 5, 10, 0.666667, 0.735799, 1.000000, 0.333333, 0.500000, 0.667291, 0.696605
3, 1, 155, 0.583333, 0.684427, 0.511628, 0.846154, 0.637681, 0.712105, 0.712442
3, 2, 98, 0.666667, 0.656246, 0.687500, 0.423077, 0.523810, 0.676740, 0.676740
3, 3, 110, 0.666667, 0.663728, 1.000000, 0.230769, 0.375000, 0.670820, 0.673595
3, 4, 41, 0.633333, 0.668506, 0.666667, 0.307692, 0.421053, 0.676840, 0.681846
3, 5, 78, 0.633333, 0.671513, 0.555556, 0.769231, 0.645161, 0.666399, 0.670062
4, 1, 105, 0.750000, 0.662210, 0.800000, 0.666667, 0.727273, 0.665155, 0.665155
4, 2, 17, 0.783333, 0.653928, 0.840000, 0.700000, 0.763636, 0.622908, 0.629823
4, 3, 48, 0.783333, 0.647569, 0.814815, 0.733333, 0.771930, 0.622211, 0.625936
4, 4, 9, 0.783333, 0.649589, 0.840000, 0.700000, 0.763636, 0.622213, 0.702853
4, 5, 23, 0.766667, 0.649845, 0.785714, 0.733333, 0.758621, 0.622523, 0.626979
5, 1, 35, 0.533333, 0.737156, 0.509434, 0.931034, 0.658537, 0.695238, 0.695472
5, 2, 124, 0.583333, 0.713768, 0.562500, 0.620690, 0.590164, 0.656507, 0.657978
5, 3, 199, 0.600000, 0.673346, 0.619048, 0.448276, 0.520000, 0.652942, 0.658252
5, 4, 200, 0.683333, 0.674195, 0.777778, 0.482759, 0.595745, 0.654997, 0.665326
5, 5, 132, 0.600000, 0.691087, 0.600000, 0.517241, 0.555556, 0.652136, 0.652719
6, 1, 200, 0.650000, 0.675599, 0.812500, 0.419355, 0.553191, 0.672913, 0.672913
6, 2, 175, 0.700000, 0.639912, 0.740741, 0.645161, 0.689655, 0.635247, 0.638651
6, 3, 86, 0.733333, 0.656074, 0.800000, 0.645161, 0.714286, 0.632667, 0.638146
6, 4, 128, 0.750000, 0.642636, 0.833333, 0.645161, 0.727273, 0.632127, 0.651283
6, 5, 133, 0.716667, 0.647844, 0.666667, 0.903226, 0.767123, 0.633560, 0.636065
7, 1, 149, 0.583333, 0.674535, 0.384615, 0.227273, 0.285714, 0.669375, 0.669375
7, 2, 72, 0.716667, 0.649164, 0.666667, 0.454545, 0.540541, 0.634615, 0.634615
7, 3, 128, 0.733333, 0.645328, 0.687500, 0.500000, 0.578947, 0.634431, 0.639122
7, 4, 49, 0.683333, 0.669194, 0.578947, 0.500000, 0.536585, 0.635724, 0.641066
7, 5, 123, 0.733333, 0.658653, 0.650000, 0.590909, 0.619048, 0.634070, 0.637395
8, 1, 85, 0.733333, 0.678714, 0.600000, 0.714286, 0.652174, 0.674887, 0.675847
8, 2, 19, 0.783333, 0.640026, 0.722222, 0.619048, 0.666667, 0.634791, 0.635600
8, 3, 14, 0.783333, 0.641450, 0.722222, 0.619048, 0.666667, 0.634962, 0.641162
8, 4, 11, 0.766667, 0.606410, 0.769231, 0.476190, 0.588235, 0.633652, 0.635894
8, 5, 10, 0.766667, 0.603738, 0.769231, 0.476190, 0.588235, 0.636588, 0.648408
9, 1, 185, 0.616667, 0.688927, 0.567568, 0.750000, 0.646154, 0.693676, 0.693676
9, 2, 130, 0.900000, 0.581691, 0.958333, 0.821429, 0.884615, 0.606762, 0.610988
9, 3, 105, 0.883333, 0.568409, 0.862069, 0.892857, 0.877193, 0.607131, 0.607131
9, 4, 144, 0.883333, 0.560053, 0.920000, 0.821429, 0.867925, 0.608033, 0.608482
9, 5, 107, 0.900000, 0.575585, 0.958333, 0.821429, 0.884615, 0.606301, 0.624361
10, 1, 102, 0.600000, 0.695772, 0.592593, 0.551724, 0.571429, 0.666182, 0.676033
10, 2, 45, 0.750000, 0.649959, 0.937500, 0.517241, 0.666667, 0.615312, 0.617333
10, 3, 176, 0.733333, 0.641934, 0.724138, 0.724138, 0.724138, 0.616205, 0.617282
10, 4, 27, 0.750000, 0.652996, 0.750000, 0.724138, 0.736842, 0.614655, 0.621342
10, 5, 82, 0.750000, 0.649560, 0.750000, 0.724138, 0.736842, 0.617285, 0.617880
