# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 124, 0.666667, 0.683036, 0.631579, 0.800000, 0.705882, 0.656720, 0.658069
2, 2, 79, 0.616667, 0.688525, 0.888889, 0.266667, 0.410256, 0.654018, 0.674776
2, 3, 120, 0.650000, 0.701441, 1.000000, 0.300000, 0.461538, 0.658633, 0.661876
2, 4, 34, 0.666667, 0.679554, 0.812500, 0.433333, 0.565217, 0.653443, 0.657446
2, 5, 46, 0.650000, 0.709220, 0.909091, 0.333333, 0.487805, 0.654192, 0.669898
3, 1, 74, 0.583333, 0.695944, 0.517241, 0.576923, 0.545455, 0.673177, 0.675137
3, 2, 139, 0.616667, 0.718781, 0.560000, 0.538462, 0.549020, 0.678193, 0.678923
3, 3, 116, 0.666667, 0.663056, 0.714286, 0.384615, 0.500000, 0.675426, 0.684183
3, 4, 199, 0.666667, 0.660360, 0.800000, 0.307692, 0.444444, 0.660438, 0.717616
3, 5, 103, 0.633333, 0.678727, 0.583333, 0.538462, 0.560000, 0.673711, 0.684302
4, 1, 3, 0.766667, 0.686642, 0.900000, 0.600000, 0.720000, 0.629612, 0.638001
4, 2, 19, 0.616667, 0.693820, 1.000000, 0.233333, 0.378378, 0.626936, 0.631239
4, 3, 5, 0.766667, 0.677245, 0.833333, 0.666667, 0.740741, 0.623866, 0.624932
4, 4, 26, 0.716667, 0.648874, 0.709677, 0.733333, 0.721311, 0.624491, 0.624982
4, 5, 18, 0.816667, 0.659957, 0.913043, 0.700000, 0.792453, 0.622981, 0.650340
5, 1, 15, 0.700000, 0.691527, 1.000000, 0.379310, 0.550000, 0.659316, 0.664991
5, 2, 200, 0.616667, 0.666643, 0.650000, 0.448276, 0.530612, 0.655760, 0.655921
5, 3, 197, 0.616667, 0.670125, 0.615385, 0.551724, 0.581818, 0.647232, 0.647793
5, 4, 64, 0.633333, 0.689064, 0.652174, 0.517241, 0.576923, 0.648257, 0.656390
5, 5, 190, 0.600000, 0.689196, 0.600000, 0.517241, 0.555556, 0.652396, 0.662775
6, 1, 121, 0.766667, 0.640821, 0.717949, 0.903226, 0.800000, 0.636507, 0.639278
6, 2, 147, 0.766667, 0.660306, 0.947368, 0.580645, 0.720000, 0.636155, 0.636195
6, 3, 140, 0.683333, 0.669312, 0.714286, 0.645161, 0.677966, 0.641494, 0.642978
6, 4, 169, 0.733333, 0.652296, 0.800000, 0.645161, 0.714286, 0.632735, 0.635623
6, 5, 73, 0.733333, 0.643790, 0.800000, 0.645161, 0.714286, 0.632707, 0.661125
7, 1, 155, 0.733333, 0.655027, 0.666667, 0.545455, 0.600000, 0.636292, 0.647749
7, 2, 74, 0.716667, 0.690386, 0.619048, 0.590909, 0.604651, 0.634939, 0.636939
7, 3, 34, 0.716667, 0.672603, 0.631579, 0.545455, 0.585366, 0.634371, 0.637764
7, 4, 99, 0.716667, 0.651371, 0.647059, 0.500000, 0.564103, 0.634381, 0.636337
7, 5, 79, 0.716667, 0.670455, 0.619048, 0.590909, 0.604651, 0.633850, 0.656369
8, 1, 7, 0.800000, 0.672024, 1.000000, 0.428571, 0.600000, 0.635973, 0.636971
8, 2, 47, 0.766667, 0.661591, 0.705882, 0.571429, 0.631579, 0.639627, 0.644523
8, 3, 157, 0.766667, 0.605327, 0.733333, 0.523810, 0.611111, 0.636914, 0.637456
8, 4, 98, 0.750000, 0.601570, 0.714286, 0.476190, 0.571429, 0.633669, 0.641843
8, 5, 10, 0.816667, 0.647043, 1.000000, 0.476190, 0.645161, 0.634275, 0.652960
9, 1, 60, 0.900000, 0.578015, 0.923077, 0.857143, 0.888889, 0.606599, 0.606639
9, 2, 61, 0.883333, 0.571603, 0.920000, 0.821429, 0.867925, 0.612278, 0.612423
9, 3, 71, 0.900000, 0.578726, 0.923077, 0.857143, 0.888889, 0.607276, 0.611605
9, 4, 56, 0.900000, 0.582532, 0.923077, 0.857143, 0.888889, 0.607364, 0.624202
9, 5, 54, 0.900000, 0.583374, 0.923077, 0.857143, 0.888889, 0.605807, 0.607915
10, 1, 41, 0.750000, 0.634581, 0.888889, 0.551724, 0.680851, 0.620868, 0.623481
10, 2, 104, 0.750000, 0.636300, 0.791667, 0.655172, 0.716981, 0.610475, 0.617289
10, 3, 74, 0.750000, 0.639701, 0.818182, 0.620690, 0.705882, 0.610465, 0.610475
10, 4, 11, 0.716667, 0.662462, 0.676471, 0.793103, 0.730159, 0.618402, 0.621305
10, 5, 4, 0.766667, 0.651458, 0.941176, 0.551724, 0.695652, 0.615890, 0.616420
