# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 97, 0.600000, 0.672875, 0.636364, 0.466667, 0.538462, 0.659225, 0.667481
2, 2, 158, 0.650000, 0.681346, 0.636364, 0.700000, 0.666667, 0.653479, 0.660254
2, 3, 175, 0.666667, 0.676815, 0.727273, 0.533333, 0.615385, 0.654821, 0.670647
2, 4, 95, 0.683333, 0.682465, 0.648649, 0.800000, 0.716418, 0.651811, 0.653982
2, 5, 150, 0.650000, 0.677780, 0.628571, 0.733333, 0.676923, 0.651989, 0.655595
3, 1, 75, 0.583333, 0.664142, 0.523810, 0.423077, 0.468085, 0.664475, 0.670982
3, 2, 23, 0.566667, 0.708079, 0.500000, 0.423077, 0.458333, 0.687619, 0.688191
3, 3, 33, 0.600000, 0.679218, 0.525000, 0.807692, 0.636364, 0.658625, 0.666418
3, 4, 30, 0.633333, 0.665702, 0.583333, 0.538462, 0.560000, 0.658322, 0.667894
3, 5, 194, 0.616667, 0.669452, 0.542857, 0.730769, 0.622951, 0.674634, 0.674826
4, 1, 130, 0.750000, 0.644171, 0.894737, 0.566667, 0.693878, 0.607682, 0.614535
4, 2, 85, 0.716667, 0.629578, 0.675676, 0.833333, 0.746269, 0.604422, 0.614025
4, 3, 45, 0.800000, 0.634708, 0.875000, 0.700000, 0.777778, 0.594700, 0.602207
4, 4, 71, 0.783333, 0.632323, 1.000000, 0.566667, 0.723404, 0.596113, 0.609136
4, 5, 121, 0.783333, 0.639996, 0.904762, 0.633333, 0.745098, 0.585394, 0.585584
5, 1, 176, 0.533333, 0.716362, 0.523810, 0.379310, 0.440000, 0.677734, 0.677734
5, 2, 46, 0.616667, 0.686693, 0.625000, 0.517241, 0.566038, 0.654751, 0.658395
5, 3, 176, 0.683333, 0.672650, 0.750000, 0.517241, 0.612245, 0.644568, 0.646633
5, 4, 54, 0.633333, 0.705654, 1.000000, 0.241379, 0.388889, 0.651279, 0.655605
5, 5, 190, 0.633333, 0.673088, 0.629630, 0.586207, 0.607143, 0.641742, 0.656551
6, 1, 89, 0.716667, 0.671649, 0.791667, 0.612903, 0.690909, 0.619873, 0.623413
6, 2, 89, 0.733333, 0.649512, 0.826087, 0.612903, 0.703704, 0.621819, 0.627649
6, 3, 132, 0.716667, 0.646618, 0.850000, 0.548387, 0.666667, 0.618324, 0.674662
6, 4, 181, 0.766667, 0.643851, 0.869565, 0.645161, 0.740741, 0.613644, 0.633539
6, 5, 137, 0.716667, 0.659363, 0.818182, 0.580645, 0.679245, 0.613154, 0.616798
7, 1, 146, 0.583333, 0.693144, 0.400000, 0.272727, 0.324324, 0.657420, 0.657420
7, 2, 30, 0.716667, 0.629181, 0.692308, 0.409091, 0.514286, 0.636087, 0.640999
7, 3, 115, 0.750000, 0.651557, 0.684211, 0.590909, 0.634146, 0.623120, 0.627965
7, 4, 166, 0.783333, 0.645366, 0.764706, 0.590909, 0.666667, 0.616535, 0.628037
7, 5, 59, 0.733333, 0.661765, 0.666667, 0.545455, 0.600000, 0.612905, 0.612905
8, 1, 2, 0.533333, 0.689044, 0.266667, 0.190476, 0.222222, 0.649440, 0.656988
8, 2, 193, 0.733333, 0.638972, 0.631579, 0.571429, 0.600000, 0.612849, 0.620871
8, 3, 28, 0.733333, 0.645577, 0.666667, 0.476190, 0.555556, 0.611864, 0.612000
8, 4, 89, 0.866667, 0.589605, 1.000000, 0.619048, 0.764706, 0.597826, 0.597883
8, 5, 153, 0.883333, 0.591958, 1.000000, 0.666667, 0.800000, 0.587648, 0.595340
9, 1, 187, 0.883333, 0.595432, 0.956522, 0.785714, 0.862745, 0.630330, 0.633080
9, 2, 184, 0.850000, 0.594082, 0.880000, 0.785714, 0.830189, 0.615005, 0.621712
9, 3, 50, 0.900000, 0.591889, 0.923077, 0.857143, 0.888889, 0.597051, 0.600918
9, 4, 150, 0.916667, 0.532842, 0.960000, 0.857143, 0.905660, 0.590337, 0.590337
9, 5, 67, 0.900000, 0.533604, 0.923077, 0.857143, 0.888889, 0.592072, 0.631363
10, 1, 2, 0.566667, 0.682654, 0.565217, 0.448276, 0.500000, 0.651196, 0.652298
10, 2, 130, 0.833333, 0.612214, 1.000000, 0.655172, 0.791667, 0.594689, 0.596590
10, 3, 73, 0.816667, 0.606979, 1.000000, 0.620690, 0.765957, 0.579233, 0.628198
10, 4, 52, 0.833333, 0.602673, 0.913043, 0.724138, 0.807692, 0.567030, 0.571853
10, 5, 193, 0.833333, 0.600139, 1.000000, 0.655172, 0.791667, 0.575470, 0.576728
