# qvc TwoLocal incremental log
# combo: rotation_type=RYRZ, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 145, 0.666667, 0.706117, 0.647059, 0.733333, 0.687500, 0.692659, 0.696658
2, 2, 15, 0.583333, 0.697793, 0.551020, 0.900000, 0.683544, 0.696245, 0.707187
2, 3, 124, 0.600000, 0.707320, 0.750000, 0.300000, 0.428571, 0.689890, 0.697142
2, 4, 6, 0.566667, 0.699559, 0.540000, 0.900000, 0.675000, 0.694662, 0.703568
2, 5, 5, 0.600000, 0.703821, 0.650000, 0.433333, 0.520000, 0.689371, 0.690628
3, 1, 152, 0.600000, 0.727928, 0.538462, 0.538462, 0.538462, 0.721253, 0.721918
3, 2, 30, 0.600000, 0.668710, 0.533333, 0.615385, 0.571429, 0.710247, 0.712214
3, 3, 110, 0.616667, 0.670213, 0.615385, 0.307692, 0.410256, 0.690513, 0.707778
3, 4, 11, 0.600000, 0.672950, 0.533333, 0.615385, 0.571429, 0.691514, 0.692636
3, 5, 176, 0.616667, 0.679127, 0.571429, 0.461538, 0.510638, 0.691392, 0.699915
4, 1, 166, 0.783333, 0.645739, 0.869565, 0.666667, 0.754717, 0.602692, 0.603484
4, 2, 95, 0.783333, 0.635902, 0.947368, 0.600000, 0.734694, 0.605750, 0.620862
4, 3, 51, 0.783333, 0.635063, 1.000000, 0.566667, 0.723404, 0.595139, 0.624382
4, 4, 157, 0.800000, 0.632675, 0.909091, 0.666667, 0.769231, 0.584374, 0.584374
4, 5, 172, 0.783333, 0.615123, 0.717949, 0.933333, 0.811594, 0.582624, 0.597574
5, 1, 15, 0.583333, 0.705657, 0.538462, 0.965517, 0.691358, 0.666416, 0.672183
5, 2, 72, 0.616667, 0.686058, 0.615385, 0.551724, 0.581818, 0.657122, 0.660528
5, 3, 26, 0.650000, 0.713244, 0.600000, 0.827586, 0.695652, 0.645058, 0.648841
5, 4, 7, 0.650000, 0.683978, 0.666667, 0.551724, 0.603774, 0.641229, 0.648544
5, 5, 105, 0.616667, 0.699267, 0.650000, 0.448276, 0.530612, 0.644393, 0.672317
6, 1, 19, 0.750000, 0.648091, 0.700000, 0.903226, 0.788732, 0.619761, 0.622600
6, 2, 86, 0.683333, 0.664172, 0.772727, 0.548387, 0.641509, 0.635581, 0.638021
6, 3, 70, 0.733333, 0.642644, 0.857143, 0.580645, 0.692308, 0.618199, 0.639508
6, 4, 72, 0.750000, 0.659833, 0.863636, 0.612903, 0.716981, 0.622335, 0.622516
6, 5, 148, 0.733333, 0.655348, 0.682927, 0.903226, 0.777778, 0.628684, 0.643443
7, 1, 56, 0.733333, 0.664296, 0.687500, 0.500000, 0.578947, 0.651747, 0.666452
7, 2, 129, 0.783333, 0.641538, 0.909091, 0.454545, 0.606061, 0.625388, 0.626440
7, 3, 86, 0.766667, 0.632159, 0.900000, 0.409091, 0.562500, 0.620323, 0.620323
7, 4, 91, 0.766667, 0.648367, 0.681818, 0.681818, 0.681818, 0.618996, 0.633551
7, 5, 129, 0.833333, 0.609697, 0.875000, 0.636364, 0.736842, 0.617968, 0.618827
8, 1, 71, 0.733333, 0.652726, 0.608696, 0.666667, 0.636364, 0.656488, 0.658417
8, 2, 27, 0.816667, 0.645815, 0.727273, 0.761905, 0.744186, 0.630487, 0.638410
8, 3, 200, 0.816667, 0.605839, 0.750000, 0.714286, 0.731707, 0.596705, 0.605827
8, 4, 82, 0.833333, 0.602370, 1.000000, 0.523810, 0.687500, 0.597607, 0.599132
8, 5, 93, 0.800000, 0.619544, 0.736842, 0.666667, 0.700000, 0.588313, 0.602755
9, 1, 5, 0.833333, 0.575040, 0.950000, 0.678571, 0.791667, 0.622069, 0.623081
9, 2, 185, 0.883333, 0.552832, 0.956522, 0.785714, 0.862745, 0.616534, 0.617525
9, 3, 6, 0.866667, 0.588836, 1.000000, 0.714286, 0.833333, 0.611741, 0.613318
9, 4, 116, 0.916667, 0.534529, 0.960000, 0.857143, 0.905660, 0.597095, 0.606137
9, 5, 185, 0.900000, 0.512146, 0.923077, 0.857143, 0.888889, 0.588762, 0.588762
10, 1, 38, 0.800000, 0.631926, 0.869565, 0.689655, 0.769231, 0.613557, 0.618652
10, 2, 178, 0.883333, 0.591997, 1.000000, 0.758621, 0.862745, 0.577403, 0.578200
10, 3, 159, 0.883333, 0.594666, 1.000000, 0.758621, 0.862745, 0.568718, 0.576588
10, 4, 39, 0.866667, 0.604215, 0.956522, 0.758621, 0.846154, 0.562289, 0.569884
10, 5, 44, 0.833333, 0.606804, 0.952381, 0.689655, 0.800000, 0.570241, 0.572070
