# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 67, 0.583333, 0.691177, 0.553191, 0.866667, 0.675325, 0.699699, 0.702551
2, 2, 67, 0.650000, 0.677742, 0.655172, 0.633333, 0.644068, 0.656883, 0.667241
2, 3, 17, 0.650000, 0.685085, 0.800000, 0.400000, 0.533333, 0.651776, 0.657674
2, 4, 115, 0.650000, 0.678062, 0.655172, 0.633333, 0.644068, 0.656341, 0.661665
2, 5, 124, 0.650000, 0.682857, 0.695652, 0.533333, 0.603774, 0.654618, 0.675581
3, 1, 177, 0.600000, 0.692956, 0.521739, 0.923077, 0.666667, 0.711552, 0.718743
3, 2, 145, 0.616667, 0.683221, 0.666667, 0.230769, 0.342857, 0.672006, 0.677333
3, 3, 152, 0.633333, 0.679806, 0.571429, 0.615385, 0.592593, 0.665290, 0.670224
3, 4, 192, 0.650000, 0.663874, 0.575758, 0.730769, 0.644068, 0.655573, 0.665764
3, 5, 148, 0.633333, 0.682249, 0.558824, 0.730769, 0.633333, 0.666920, 0.667074
4, 1, 89, 0.766667, 0.661951, 0.807692, 0.700000, 0.750000, 0.665016, 0.693667
4, 2, 197, 0.633333, 0.671386, 0.722222, 0.433333, 0.541667, 0.629266, 0.629266
4, 3, 135, 0.783333, 0.616189, 0.840000, 0.700000, 0.763636, 0.589093, 0.608738
4, 4, 166, 0.800000, 0.641961, 0.909091, 0.666667, 0.769231, 0.578056, 0.581225
4, 5, 76, 0.783333, 0.617921, 0.869565, 0.666667, 0.754717, 0.578462, 0.583421
5, 1, 122, 0.600000, 0.695829, 0.727273, 0.275862, 0.400000, 0.693707, 0.694233
5, 2, 86, 0.566667, 0.720677, 0.555556, 0.517241, 0.535714, 0.656909, 0.663088
5, 3, 195, 0.566667, 0.712406, 0.555556, 0.517241, 0.535714, 0.650261, 0.651836
5, 4, 89, 0.600000, 0.701337, 0.592593, 0.551724, 0.571429, 0.638085, 0.656139
5, 5, 92, 0.683333, 0.673851, 0.916667, 0.379310, 0.536585, 0.635738, 0.644396
6, 1, 168, 0.616667, 0.690987, 0.833333, 0.322581, 0.465116, 0.676700, 0.678599
6, 2, 148, 0.716667, 0.632054, 0.684211, 0.838710, 0.753623, 0.635312, 0.644684
6, 3, 148, 0.716667, 0.647279, 0.769231, 0.645161, 0.701754, 0.624345, 0.628691
6, 4, 44, 0.750000, 0.643734, 0.833333, 0.645161, 0.727273, 0.610559, 0.619448
6, 5, 198, 0.750000, 0.636545, 0.807692, 0.677419, 0.736842, 0.608709, 0.609324
7, 1, 38, 0.566667, 0.690730, 0.409091, 0.409091, 0.409091, 0.666127, 0.666127
7, 2, 103, 0.716667, 0.646992, 0.647059, 0.500000, 0.564103, 0.635148, 0.646111
7, 3, 197, 0.633333, 0.664539, 0.500000, 0.590909, 0.541667, 0.636228, 0.639400
7, 4, 6, 0.716667, 0.637962, 1.000000, 0.227273, 0.370370, 0.622521, 0.623148
7, 5, 186, 0.766667, 0.642415, 0.750000, 0.545455, 0.631579, 0.616625, 0.617372
8, 1, 32, 0.733333, 0.675328, 0.600000, 0.714286, 0.652174, 0.674303, 0.674518
8, 2, 26, 0.800000, 0.639139, 0.764706, 0.619048, 0.684211, 0.636364, 0.649858
8, 3, 20, 0.783333, 0.592613, 0.833333, 0.476190, 0.606061, 0.620818, 0.620996
8, 4, 200, 0.816667, 0.579828, 0.857143, 0.571429, 0.685714, 0.597083, 0.614132
8, 5, 196, 0.783333, 0.600130, 0.700000, 0.666667, 0.682927, 0.600073, 0.609406
9, 1, 154, 0.616667, 0.694515, 0.560976, 0.821429, 0.666667, 0.691369, 0.706166
9, 2, 158, 0.900000, 0.575022, 0.923077, 0.857143, 0.888889, 0.607503, 0.607724
9, 3, 86, 0.900000, 0.542735, 0.958333, 0.821429, 0.884615, 0.599115, 0.605099
9, 4, 56, 0.900000, 0.606788, 1.000000, 0.785714, 0.880000, 0.608252, 0.622684
9, 5, 164, 0.916667, 0.561159, 1.000000, 0.821429, 0.901961, 0.595903, 0.605656
10, 1, 23, 0.600000, 0.696763, 0.586207, 0.586207, 0.586207, 0.666207, 0.673387
10, 2, 154, 0.750000, 0.642991, 0.750000, 0.724138, 0.736842, 0.615780, 0.617524
10, 3, 169, 0.800000, 0.608273, 0.947368, 0.620690, 0.750000, 0.589183, 0.595806
10, 4, 23, 0.833333, 0.594826, 1.000000, 0.655172, 0.791667, 0.565952, 0.578488
10, 5, 30, 0.833333, 0.605184, 1.000000, 0.655172, 0.791667, 0.564003, 0.575827
