# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 57, 0.583333, 0.695025, 0.551020, 0.900000, 0.683544, 0.697127, 0.699685
2, 2, 182, 0.633333, 0.680459, 0.785714, 0.366667, 0.500000, 0.668080, 0.668080
2, 3, 143, 0.633333, 0.674398, 0.722222, 0.433333, 0.541667, 0.659005, 0.661778
2, 4, 160, 0.650000, 0.680061, 0.680000, 0.566667, 0.618182, 0.654465, 0.655004
2, 5, 135, 0.666667, 0.671692, 0.692308, 0.600000, 0.642857, 0.656917, 0.656917
3, 1, 153, 0.600000, 0.657854, 0.550000, 0.423077, 0.478261, 0.710816, 0.710816
3, 2, 23, 0.616667, 0.690728, 0.533333, 0.923077, 0.676056, 0.671842, 0.683040
3, 3, 142, 0.616667, 0.708582, 0.538462, 0.807692, 0.646154, 0.680150, 0.680452
3, 4, 171, 0.633333, 0.684451, 0.566667, 0.653846, 0.607143, 0.662278, 0.676936
3, 5, 18, 0.700000, 0.656484, 0.750000, 0.461538, 0.571429, 0.657442, 0.664369
4, 1, 124, 0.750000, 0.660428, 0.800000, 0.666667, 0.727273, 0.664742, 0.678965
4, 2, 86, 0.800000, 0.621258, 0.875000, 0.700000, 0.777778, 0.597170, 0.597196
4, 3, 110, 0.783333, 0.638593, 0.869565, 0.666667, 0.754717, 0.590753, 0.609333
4, 4, 47, 0.766667, 0.629994, 1.000000, 0.533333, 0.695652, 0.589976, 0.599397
4, 5, 41, 0.800000, 0.637168, 0.736842, 0.933333, 0.823529, 0.587824, 0.587824
5, 1, 199, 0.533333, 0.703510, 0.515152, 0.586207, 0.548387, 0.697576, 0.699905
5, 2, 192, 0.550000, 0.718408, 0.545455, 0.413793, 0.470588, 0.657411, 0.657432
5, 3, 39, 0.633333, 0.684322, 0.666667, 0.482759, 0.560000, 0.647345, 0.649732
5, 4, 113, 0.600000, 0.694728, 0.608696, 0.482759, 0.538462, 0.647700, 0.647700
5, 5, 44, 0.650000, 0.689524, 0.666667, 0.551724, 0.603774, 0.647870, 0.660605
6, 1, 162, 0.633333, 0.683130, 0.800000, 0.387097, 0.521739, 0.674311, 0.678775
6, 2, 91, 0.683333, 0.649051, 0.833333, 0.483871, 0.612245, 0.620380, 0.623095
6, 3, 71, 0.750000, 0.652043, 0.807692, 0.677419, 0.736842, 0.618339, 0.634421
6, 4, 81, 0.700000, 0.654716, 0.842105, 0.516129, 0.640000, 0.621544, 0.651763
6, 5, 65, 0.733333, 0.654380, 0.826087, 0.612903, 0.703704, 0.617434, 0.627322
7, 1, 38, 0.633333, 0.672071, 0.500000, 0.318182, 0.388889, 0.667187, 0.669726
7, 2, 12, 0.583333, 0.679237, 0.421053, 0.363636, 0.390244, 0.644117, 0.644117
7, 3, 57, 0.650000, 0.679397, 0.538462, 0.318182, 0.400000, 0.644356, 0.644356
7, 4, 39, 0.683333, 0.643844, 1.000000, 0.136364, 0.240000, 0.621488, 0.637372
7, 5, 178, 0.733333, 0.636726, 0.650000, 0.590909, 0.619048, 0.615489, 0.621628
8, 1, 130, 0.733333, 0.675475, 0.600000, 0.714286, 0.652174, 0.675098, 0.675098
8, 2, 52, 0.700000, 0.672683, 0.548387, 0.809524, 0.653846, 0.639087, 0.643259
8, 3, 38, 0.850000, 0.615991, 1.000000, 0.571429, 0.727273, 0.597386, 0.603794
8, 4, 130, 0.750000, 0.639225, 0.666667, 0.571429, 0.615385, 0.614622, 0.619288
8, 5, 91, 0.783333, 0.611092, 0.900000, 0.428571, 0.580645, 0.599965, 0.602691
9, 1, 178, 0.616667, 0.687370, 0.567568, 0.750000, 0.646154, 0.692426, 0.692426
9, 2, 183, 0.766667, 0.624213, 0.937500, 0.535714, 0.681818, 0.639709, 0.643095
9, 3, 166, 0.916667, 0.544316, 0.960000, 0.857143, 0.905660, 0.607844, 0.611340
9, 4, 191, 0.866667, 0.565779, 0.954545, 0.750000, 0.840000, 0.612122, 0.619322
9, 5, 133, 0.900000, 0.539176, 0.923077, 0.857143, 0.888889, 0.595554, 0.597840
10, 1, 75, 0.600000, 0.696379, 0.586207, 0.586207, 0.586207, 0.666187, 0.667109
10, 2, 154, 0.716667, 0.646038, 0.657895, 0.862069, 0.746269, 0.602839, 0.604473
10, 3, 197, 0.716667, 0.615800, 0.687500, 0.758621, 0.721311, 0.585012, 0.586859
10, 4, 104, 0.816667, 0.610005, 0.875000, 0.724138, 0.792453, 0.579365, 0.579997
10, 5, 132, 0.883333, 0.598979, 1.000000, 0.758621, 0.862745, 0.573481, 0.574994
