# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=full, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 1, 0.500000, 0.693460, 0.500000, 1.000000, 0.666667, 0.693147, 0.699663
2, 2, 22, 0.583333, 0.701333, 0.619048, 0.433333, 0.509804, 0.694710, 0.695297
2, 3, 3, 0.566667, 0.693105, 0.750000, 0.200000, 0.315789, 0.690451, 0.692622
2, 4, 9, 0.583333, 0.695467, 0.551020, 0.900000, 0.683544, 0.694528, 0.708041
2, 5, 3, 0.583333, 0.693741, 0.631579, 0.400000, 0.489796, 0.692219, 0.698394
3, 1, 25, 0.566667, 0.693092, 0.000000, 0.000000, 0.000000, 0.692592, 0.694149
3, 2, 93, 0.566667, 0.687955, 0.500000, 0.192308, 0.277778, 0.692733, 0.700575
3, 3, 45, 0.600000, 0.689973, 0.525000, 0.807692, 0.636364, 0.692218, 0.702923
3, 4, 162, 0.616667, 0.687185, 0.565217, 0.500000, 0.530612, 0.690449, 0.702525
3, 5, 88, 0.650000, 0.687252, 0.647059, 0.423077, 0.511628, 0.690164, 0.691564
4, 1, 19, 0.783333, 0.637484, 0.840000, 0.700000, 0.763636, 0.602489, 0.609785
4, 2, 13, 0.850000, 0.643194, 0.888889, 0.800000, 0.842105, 0.592430, 0.593871
4, 3, 49, 0.783333, 0.625767, 0.840000, 0.700000, 0.763636, 0.593574, 0.597241
4, 4, 55, 0.783333, 0.663273, 0.947368, 0.600000, 0.734694, 0.584204, 0.584204
4, 5, 13, 0.766667, 0.632345, 0.833333, 0.666667, 0.740741, 0.590882, 0.598777
5, 1, 189, 0.633333, 0.722863, 0.571429, 0.965517, 0.717949, 0.665553, 0.679039
5, 2, 14, 0.600000, 0.699277, 0.592593, 0.551724, 0.571429, 0.643579, 0.644556
5, 3, 57, 0.583333, 0.708232, 0.600000, 0.413793, 0.489796, 0.645271, 0.652223
5, 4, 162, 0.666667, 0.697124, 0.680000, 0.586207, 0.629630, 0.650699, 0.673435
5, 5, 143, 0.716667, 0.671705, 1.000000, 0.413793, 0.585366, 0.642659, 0.644389
6, 1, 21, 0.750000, 0.648471, 0.700000, 0.903226, 0.788732, 0.621804, 0.644520
6, 2, 187, 0.700000, 0.654729, 0.740741, 0.645161, 0.689655, 0.620125, 0.628207
6, 3, 40, 0.733333, 0.642780, 0.826087, 0.612903, 0.703704, 0.615225, 0.629444
6, 4, 53, 0.716667, 0.648755, 0.791667, 0.612903, 0.690909, 0.619527, 0.622238
6, 5, 71, 0.733333, 0.663974, 0.826087, 0.612903, 0.703704, 0.618252, 0.642895
7, 1, 65, 0.700000, 0.657201, 0.642857, 0.409091, 0.500000, 0.647287, 0.652183
7, 2, 135, 0.800000, 0.611436, 0.857143, 0.545455, 0.666667, 0.632051, 0.632896
7, 3, 101, 0.750000, 0.618708, 0.705882, 0.545455, 0.615385, 0.622337, 0.632378
7, 4, 162, 0.733333, 0.666718, 0.615385, 0.727273, 0.666667, 0.622555, 0.623916
7, 5, 106, 0.750000, 0.650599, 0.705882, 0.545455, 0.615385, 0.639683, 0.641775
8, 1, 1, 0.650000, 0.685960, 0.000000, 0.000000, 0.000000, 0.690332, 0.692157
8, 2, 18, 0.666667, 0.677067, 0.533333, 0.380952, 0.444444, 0.664147, 0.675094
8, 3, 35, 0.716667, 0.678058, 0.833333, 0.238095, 0.370370, 0.648142, 0.650584
8, 4, 26, 0.733333, 0.654489, 0.777778, 0.333333, 0.466667, 0.656881, 0.676059
8, 5, 19, 0.683333, 0.667367, 1.000000, 0.095238, 0.173913, 0.647865, 0.649846
9, 1, 5, 0.533333, 0.692504, 0.000000, 0.000000, 0.000000, 0.693008, 0.693961
9, 2, 97, 0.750000, 0.656514, 1.000000, 0.464286, 0.634146, 0.667015, 0.667055
9, 3, 198, 0.783333, 0.649144, 0.741935, 0.821429, 0.779661, 0.660219, 0.661515
9, 4, 179, 0.750000, 0.647184, 1.000000, 0.464286, 0.634146, 0.658681, 0.660592
9, 5, 121, 0.816667, 0.649821, 0.793103, 0.821429, 0.807018, 0.658239, 0.658239
10, 1, 1, 0.516667, 0.692626, 0.000000, 0.000000, 0.000000, 0.693118, 0.693123
10, 2, 133, 0.666667, 0.685737, 0.736842, 0.482759, 0.583333, 0.662172, 0.663995
10, 3, 115, 0.700000, 0.674938, 0.648649, 0.827586, 0.727273, 0.636538, 0.640416
10, 4, 32, 0.683333, 0.688076, 0.619048, 0.896552, 0.732394, 0.635155, 0.636427
10, 5, 160, 0.733333, 0.664797, 0.882353, 0.517241, 0.652174, 0.633961, 0.637844
