# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=pairwise, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 106, 0.583333, 0.694829, 0.551020, 0.900000, 0.683544, 0.697652, 0.705479
2, 2, 184, 0.616667, 0.677617, 0.640000, 0.533333, 0.581818, 0.663401, 0.681057
2, 3, 141, 0.616667, 0.677183, 0.600000, 0.700000, 0.646154, 0.660767, 0.681960
2, 4, 116, 0.650000, 0.675209, 0.714286, 0.500000, 0.588235, 0.652751, 0.652751
2, 5, 66, 0.666667, 0.671385, 0.656250, 0.700000, 0.677419, 0.653119, 0.666635
3, 1, 78, 0.600000, 0.685721, 0.522727, 0.884615, 0.657143, 0.711242, 0.711677
3, 2, 157, 0.616667, 0.693350, 0.548387, 0.653846, 0.596491, 0.671545, 0.671566
3, 3, 38, 0.600000, 0.682696, 0.531250, 0.653846, 0.586207, 0.663432, 0.672911
3, 4, 106, 0.650000, 0.664401, 0.631579, 0.461538, 0.533333, 0.664711, 0.692290
3, 5, 23, 0.633333, 0.691526, 0.552632, 0.807692, 0.656250, 0.655824, 0.685962
4, 1, 64, 0.750000, 0.661016, 0.800000, 0.666667, 0.727273, 0.663730, 0.663730
4, 2, 54, 0.783333, 0.648556, 0.840000, 0.700000, 0.763636, 0.622627, 0.632436
4, 3, 16, 0.816667, 0.657475, 0.913043, 0.700000, 0.792453, 0.624290, 0.628242
4, 4, 22, 0.800000, 0.656754, 0.909091, 0.666667, 0.769231, 0.622958, 0.659095
4, 5, 83, 0.766667, 0.646960, 0.785714, 0.733333, 0.758621, 0.622792, 0.626930
5, 1, 173, 0.550000, 0.706687, 0.527778, 0.655172, 0.584615, 0.697687, 0.697687
5, 2, 87, 0.583333, 0.704539, 0.562500, 0.620690, 0.590164, 0.656886, 0.657356
5, 3, 142, 0.600000, 0.688412, 0.600000, 0.517241, 0.555556, 0.648755, 0.654865
5, 4, 62, 0.633333, 0.690838, 0.888889, 0.275862, 0.421053, 0.647442, 0.658178
5, 5, 36, 0.616667, 0.732740, 0.875000, 0.241379, 0.378378, 0.650472, 0.666848
6, 1, 199, 0.650000, 0.675305, 0.812500, 0.419355, 0.553191, 0.672735, 0.672735
6, 2, 126, 0.716667, 0.650186, 0.769231, 0.645161, 0.701754, 0.637082, 0.639643
6, 3, 139, 0.716667, 0.635282, 0.818182, 0.580645, 0.679245, 0.632170, 0.636926
6, 4, 58, 0.750000, 0.635013, 0.710526, 0.870968, 0.782609, 0.631737, 0.637322
6, 5, 192, 0.766667, 0.645253, 0.869565, 0.645161, 0.740741, 0.631872, 0.634134
7, 1, 17, 0.566667, 0.682904, 0.400000, 0.363636, 0.380952, 0.664027, 0.666212
7, 2, 161, 0.766667, 0.654692, 0.750000, 0.545455, 0.631579, 0.634374, 0.638745
7, 3, 124, 0.716667, 0.654670, 0.647059, 0.500000, 0.564103, 0.634130, 0.644223
7, 4, 114, 0.700000, 0.662474, 0.590909, 0.590909, 0.590909, 0.633518, 0.645136
7, 5, 183, 0.700000, 0.661935, 0.611111, 0.500000, 0.550000, 0.634382, 0.637316
8, 1, 19, 0.733333, 0.680376, 0.600000, 0.714286, 0.652174, 0.675909, 0.676620
8, 2, 34, 0.816667, 0.641272, 0.812500, 0.619048, 0.702703, 0.636710, 0.645059
8, 3, 44, 0.783333, 0.634444, 0.750000, 0.571429, 0.648649, 0.634658, 0.637954
8, 4, 16, 0.800000, 0.642261, 0.764706, 0.619048, 0.684211, 0.633497, 0.633497
8, 5, 61, 0.750000, 0.601650, 0.714286, 0.476190, 0.571429, 0.633502, 0.651361
9, 1, 187, 0.616667, 0.686156, 0.564103, 0.785714, 0.656716, 0.691906, 0.691906
9, 2, 181, 0.900000, 0.569284, 0.923077, 0.857143, 0.888889, 0.607183, 0.618303
9, 3, 105, 0.900000, 0.567502, 0.958333, 0.821429, 0.884615, 0.607244, 0.609224
9, 4, 45, 0.883333, 0.551808, 0.956522, 0.785714, 0.862745, 0.606859, 0.614714
9, 5, 184, 0.900000, 0.560562, 0.923077, 0.857143, 0.888889, 0.606384, 0.608480
10, 1, 107, 0.600000, 0.696178, 0.586207, 0.586207, 0.586207, 0.666259, 0.673616
10, 2, 132, 0.750000, 0.642241, 0.750000, 0.724138, 0.736842, 0.615408, 0.615437
10, 3, 159, 0.750000, 0.645573, 0.937500, 0.517241, 0.666667, 0.619954, 0.627274
10, 4, 35, 0.750000, 0.644583, 0.937500, 0.517241, 0.666667, 0.612514, 0.612514
10, 5, 107, 0.750000, 0.645200, 0.750000, 0.724138, 0.736842, 0.614185, 0.614977
