# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 137, 0.600000, 0.680612, 0.714286, 0.333333, 0.454545, 0.661478, 0.666437
2, 2, 116, 0.633333, 0.684362, 0.625000, 0.666667, 0.645161, 0.654766, 0.656223
2, 3, 152, 0.616667, 0.681379, 0.594595, 0.733333, 0.656716, 0.670467, 0.672199
2, 4, 139, 0.683333, 0.684467, 0.627907, 0.900000, 0.739726, 0.651343, 0.659842
2, 5, 111, 0.650000, 0.679156, 0.628571, 0.733333, 0.676923, 0.652555, 0.668541
3, 1, 62, 0.566667, 0.680056, 0.500000, 0.807692, 0.617647, 0.664304, 0.664718
3, 2, 160, 0.566667, 0.694307, 0.500000, 0.807692, 0.617647, 0.685389, 0.694147
3, 3, 152, 0.700000, 0.671911, 1.000000, 0.307692, 0.470588, 0.658858, 0.697942
3, 4, 23, 0.650000, 0.660827, 0.647059, 0.423077, 0.511628, 0.657557, 0.662838
3, 5, 59, 0.633333, 0.687540, 0.583333, 0.538462, 0.560000, 0.662736, 0.662736
4, 1, 167, 0.750000, 0.645318, 0.894737, 0.566667, 0.693878, 0.608099, 0.617514
4, 2, 24, 0.750000, 0.658989, 0.941176, 0.533333, 0.680851, 0.628669, 0.634821
4, 3, 132, 0.750000, 0.619564, 0.941176, 0.533333, 0.680851, 0.590372, 0.590881
4, 4, 74, 0.766667, 0.639047, 0.833333, 0.666667, 0.740741, 0.584314, 0.584314
4, 5, 112, 0.783333, 0.660745, 0.869565, 0.666667, 0.754717, 0.591819, 0.591819
5, 1, 155, 0.616667, 0.708379, 0.800000, 0.275862, 0.410256, 0.674003, 0.680335
5, 2, 20, 0.600000, 0.682826, 0.600000, 0.517241, 0.555556, 0.647489, 0.650404
5, 3, 67, 0.600000, 0.707102, 0.567568, 0.724138, 0.636364, 0.656862, 0.664912
5, 4, 30, 0.600000, 0.679363, 0.619048, 0.448276, 0.520000, 0.645159, 0.663119
5, 5, 107, 0.666667, 0.671839, 0.800000, 0.413793, 0.545455, 0.641668, 0.642675
6, 1, 119, 0.683333, 0.677903, 0.833333, 0.483871, 0.612245, 0.619313, 0.622111
6, 2, 93, 0.700000, 0.675677, 0.782609, 0.580645, 0.666667, 0.659471, 0.662107
6, 3, 192, 0.733333, 0.645899, 0.826087, 0.612903, 0.703704, 0.621734, 0.622608
6, 4, 92, 0.716667, 0.653711, 0.791667, 0.612903, 0.690909, 0.613912, 0.621540
6, 5, 80, 0.750000, 0.634361, 0.807692, 0.677419, 0.736842, 0.611502, 0.624169
7, 1, 109, 0.600000, 0.690969, 0.450000, 0.409091, 0.428571, 0.648613, 0.648613
7, 2, 104, 0.733333, 0.641079, 0.666667, 0.545455, 0.600000, 0.636369, 0.636369
7, 3, 90, 0.700000, 0.616833, 0.642857, 0.409091, 0.500000, 0.631294, 0.651921
7, 4, 96, 0.716667, 0.642353, 0.692308, 0.409091, 0.514286, 0.621389, 0.627449
7, 5, 139, 0.800000, 0.650897, 0.857143, 0.545455, 0.666667, 0.621067, 0.631433
8, 1, 104, 0.600000, 0.715663, 0.451613, 0.666667, 0.538462, 0.659021, 0.660054
8, 2, 1, 0.566667, 0.697371, 0.307692, 0.190476, 0.235294, 0.627680, 0.633321
8, 3, 191, 0.833333, 0.639069, 0.789474, 0.714286, 0.750000, 0.622257, 0.627205
8, 4, 62, 0.800000, 0.612796, 0.736842, 0.666667, 0.700000, 0.592685, 0.599293
8, 5, 17, 0.766667, 0.617430, 0.769231, 0.476190, 0.588235, 0.590928, 0.590928
9, 1, 145, 0.850000, 0.597133, 0.952381, 0.714286, 0.816327, 0.635396, 0.647810
9, 2, 153, 0.883333, 0.574074, 0.888889, 0.857143, 0.872727, 0.621682, 0.623235
9, 3, 153, 0.933333, 0.562371, 1.000000, 0.857143, 0.923077, 0.601837, 0.604993
9, 4, 60, 0.916667, 0.544174, 0.960000, 0.857143, 0.905660, 0.589579, 0.605509
9, 5, 70, 0.883333, 0.540392, 0.888889, 0.857143, 0.872727, 0.590951, 0.590951
10, 1, 126, 0.616667, 0.709763, 0.687500, 0.379310, 0.488889, 0.653150, 0.654548
10, 2, 129, 0.833333, 0.613581, 1.000000, 0.655172, 0.791667, 0.589477, 0.590219
10, 3, 160, 0.766667, 0.638019, 0.777778, 0.724138, 0.750000, 0.600708, 0.611019
10, 4, 130, 0.816667, 0.620973, 0.950000, 0.655172, 0.775510, 0.581633, 0.582517
10, 5, 119, 0.833333, 0.594080, 1.000000, 0.655172, 0.791667, 0.571396, 0.591577
