# qvc TwoLocal incremental log
# combo: rotation_type=RY, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 110, 0.600000, 0.707729, 0.750000, 0.300000, 0.428571, 0.689896, 0.691136
2, 2, 17, 0.583333, 0.696203, 0.551020, 0.900000, 0.683544, 0.695610, 0.708039
2, 3, 104, 0.616667, 0.713033, 0.566038, 1.000000, 0.722892, 0.689712, 0.708363
2, 4, 89, 0.583333, 0.704013, 0.631579, 0.400000, 0.489796, 0.710227, 0.722290
2, 5, 144, 0.616667, 0.706998, 0.769231, 0.333333, 0.465116, 0.689624, 0.690937
3, 1, 166, 0.616667, 0.690070, 0.578947, 0.423077, 0.488889, 0.714012, 0.718276
3, 2, 26, 0.600000, 0.687352, 0.522727, 0.884615, 0.657143, 0.710452, 0.711122
3, 3, 80, 0.616667, 0.678574, 0.578947, 0.423077, 0.488889, 0.710427, 0.712419
3, 4, 152, 0.683333, 0.662245, 0.733333, 0.423077, 0.536585, 0.711999, 0.728035
3, 5, 46, 0.600000, 0.689939, 0.545455, 0.461538, 0.500000, 0.712748, 0.713260
4, 1, 13, 0.766667, 0.645311, 0.807692, 0.700000, 0.750000, 0.603002, 0.605791
4, 2, 40, 0.800000, 0.622992, 0.750000, 0.900000, 0.818182, 0.592093, 0.618306
4, 3, 105, 0.800000, 0.629574, 0.909091, 0.666667, 0.769231, 0.592729, 0.597206
4, 4, 9, 0.800000, 0.623344, 0.750000, 0.900000, 0.818182, 0.588112, 0.593065
4, 5, 42, 0.800000, 0.630056, 0.736842, 0.933333, 0.823529, 0.582840, 0.591761
5, 1, 13, 0.566667, 0.691924, 0.636364, 0.241379, 0.350000, 0.666245, 0.675315
5, 2, 102, 0.650000, 0.673444, 0.681818, 0.517241, 0.588235, 0.654973, 0.661080
5, 3, 1, 0.566667, 0.723003, 1.000000, 0.103448, 0.187500, 0.645511, 0.648770
5, 4, 70, 0.716667, 0.685023, 0.875000, 0.482759, 0.622222, 0.649760, 0.654294
5, 5, 189, 0.700000, 0.666271, 0.866667, 0.448276, 0.590909, 0.639483, 0.657981
6, 1, 68, 0.750000, 0.639843, 0.833333, 0.645161, 0.727273, 0.620282, 0.623995
6, 2, 119, 0.750000, 0.626144, 0.833333, 0.645161, 0.727273, 0.622715, 0.636314
6, 3, 61, 0.733333, 0.655069, 0.777778, 0.677419, 0.724138, 0.615574, 0.627555
6, 4, 40, 0.716667, 0.665347, 0.791667, 0.612903, 0.690909, 0.617078, 0.621191
6, 5, 180, 0.733333, 0.652923, 0.800000, 0.645161, 0.714286, 0.616262, 0.619697
7, 1, 5, 0.733333, 0.670449, 0.666667, 0.545455, 0.600000, 0.645847, 0.648547
7, 2, 109, 0.783333, 0.623665, 0.800000, 0.545455, 0.648649, 0.634420, 0.634420
7, 3, 59, 0.683333, 0.667023, 0.578947, 0.500000, 0.536585, 0.635109, 0.637407
7, 4, 73, 0.766667, 0.622190, 0.833333, 0.454545, 0.588235, 0.621894, 0.624886
7, 5, 173, 0.750000, 0.647259, 0.733333, 0.500000, 0.594595, 0.622233, 0.647230
8, 1, 84, 0.700000, 0.650669, 0.571429, 0.571429, 0.571429, 0.652208, 0.655364
8, 2, 26, 0.733333, 0.641187, 0.631579, 0.571429, 0.600000, 0.629266, 0.636455
8, 3, 4, 0.733333, 0.641052, 0.631579, 0.571429, 0.600000, 0.622678, 0.630855
8, 4, 104, 0.716667, 0.653737, 0.583333, 0.666667, 0.622222, 0.626593, 0.626593
8, 5, 3, 0.700000, 0.643756, 0.588235, 0.476190, 0.526316, 0.621369, 0.642885
9, 1, 9, 0.866667, 0.559070, 0.916667, 0.785714, 0.846154, 0.622307, 0.627951
9, 2, 138, 0.866667, 0.563475, 0.916667, 0.785714, 0.846154, 0.611433, 0.612354
9, 3, 152, 0.883333, 0.558277, 0.920000, 0.821429, 0.867925, 0.617123, 0.626889
9, 4, 69, 0.866667, 0.576854, 0.916667, 0.785714, 0.846154, 0.600006, 0.602853
9, 5, 199, 0.883333, 0.550737, 0.920000, 0.821429, 0.867925, 0.603713, 0.605057
10, 1, 176, 0.816667, 0.628392, 0.875000, 0.724138, 0.792453, 0.613422, 0.616428
10, 2, 98, 0.833333, 0.617021, 0.952381, 0.689655, 0.800000, 0.590882, 0.594436
10, 3, 124, 0.800000, 0.629789, 1.000000, 0.586207, 0.739130, 0.602834, 0.604778
10, 4, 40, 0.866667, 0.620437, 1.000000, 0.724138, 0.840000, 0.581578, 0.591080
10, 5, 37, 0.833333, 0.609580, 0.880000, 0.758621, 0.814815, 0.584391, 0.599104
