# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 61, 0.550000, 0.691064, 0.533333, 0.800000, 0.640000, 0.703001, 0.703031
2, 2, 78, 0.550000, 0.691064, 0.533333, 0.800000, 0.640000, 0.703001, 0.703547
2, 3, 34, 0.533333, 0.691089, 0.520833, 0.833333, 0.641026, 0.703012, 0.706848
2, 4, 28, 0.550000, 0.691147, 0.534884, 0.766667, 0.630137, 0.703001, 0.708450
2, 5, 54, 0.550000, 0.691142, 0.534884, 0.766667, 0.630137, 0.703001, 0.713657
3, 1, 38, 0.550000, 0.679144, 0.488372, 0.807692, 0.608696, 0.714869, 0.715234
3, 2, 14, 0.550000, 0.677500, 0.487805, 0.769231, 0.597015, 0.714869, 0.715333
3, 3, 47, 0.550000, 0.678970, 0.488372, 0.807692, 0.608696, 0.714869, 0.716569
3, 4, 10, 0.550000, 0.679794, 0.488372, 0.807692, 0.608696, 0.714869, 0.715697
3, 5, 65, 0.550000, 0.677270, 0.487805, 0.769231, 0.597015, 0.714869, 0.718168
4, 1, 166, 0.616667, 0.696553, 0.769231, 0.333333, 0.465116, 0.699685, 0.700384
4, 2, 59, 0.616667, 0.696718, 0.888889, 0.266667, 0.410256, 0.699685, 0.702044
4, 3, 75, 0.616667, 0.696718, 0.888889, 0.266667, 0.410256, 0.699685, 0.700350
4, 4, 52, 0.616667, 0.696513, 0.705882, 0.400000, 0.510638, 0.699685, 0.699702
4, 5, 100, 0.616667, 0.696588, 0.818182, 0.300000, 0.439024, 0.699685, 0.700516
5, 1, 28, 0.500000, 0.737127, 0.488372, 0.724138, 0.583333, 0.709372, 0.710425
5, 2, 8, 0.500000, 0.788604, 0.491228, 0.965517, 0.651163, 0.709372, 0.711788
5, 3, 48, 0.500000, 0.737358, 0.488372, 0.724138, 0.583333, 0.709373, 0.711114
5, 4, 11, 0.500000, 0.736743, 0.488372, 0.724138, 0.583333, 0.709372, 0.709730
5, 5, 2, 0.500000, 0.790496, 0.491228, 0.965517, 0.651163, 0.709372, 0.712840
6, 1, 91, 0.516667, 0.775007, 0.600000, 0.193548, 0.292683, 0.716229, 0.721352
6, 2, 96, 0.450000, 0.766098, 0.444444, 0.258065, 0.326531, 0.716230, 0.719281
6, 3, 22, 0.516667, 0.774596, 0.600000, 0.193548, 0.292683, 0.716229, 0.716891
6, 4, 67, 0.516667, 0.774689, 0.600000, 0.193548, 0.292683, 0.716229, 0.717401
6, 5, 48, 0.383333, 0.763813, 0.363636, 0.258065, 0.301887, 0.716229, 0.720272
7, 1, 137, 0.600000, 0.680231, 0.444444, 0.363636, 0.400000, 0.716320, 0.720998
7, 2, 143, 0.533333, 0.690234, 0.375000, 0.409091, 0.391304, 0.716321, 0.716840
7, 3, 133, 0.600000, 0.679185, 0.444444, 0.363636, 0.400000, 0.716318, 0.716809
7, 4, 149, 0.700000, 0.669049, 0.750000, 0.272727, 0.400000, 0.716318, 0.717711
7, 5, 118, 0.666667, 0.671120, 0.600000, 0.272727, 0.375000, 0.716322, 0.717105
8, 1, 80, 0.400000, 0.701387, 0.363636, 0.952381, 0.526316, 0.694413, 0.696956
8, 2, 43, 0.650000, 0.689798, 0.000000, 0.000000, 0.000000, 0.694414, 0.694432
8, 3, 198, 0.650000, 0.689218, 0.000000, 0.000000, 0.000000, 0.694413, 0.700616
8, 4, 133, 0.650000, 0.688092, 0.000000, 0.000000, 0.000000, 0.694414, 0.694963
8, 5, 74, 0.400000, 0.702266, 0.363636, 0.952381, 0.526316, 0.694413, 0.694608
9, 1, 86, 0.533333, 0.733060, 0.000000, 0.000000, 0.000000, 0.727344, 0.733366
9, 2, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.728526
9, 3, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.727348
9, 4, 39, 0.533333, 0.733132, 0.000000, 0.000000, 0.000000, 0.727344, 0.727629
9, 5, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.730631
10, 1, 9, 0.583333, 0.701871, 0.543478, 0.862069, 0.666667, 0.666792, 0.669652
10, 2, 23, 0.583333, 0.703626, 0.541667, 0.896552, 0.675325, 0.666798, 0.668836
10, 3, 51, 0.600000, 0.699223, 0.567568, 0.724138, 0.636364, 0.666792, 0.671100
10, 4, 33, 0.600000, 0.699242, 0.567568, 0.724138, 0.636364, 0.666792, 0.668578
10, 5, 11, 0.583333, 0.701791, 0.543478, 0.862069, 0.666667, 0.666792, 0.669720
