# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=chain, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 10, 0.566667, 0.692285, 1.000000, 0.133333, 0.235294, 0.677770, 0.677770
2, 2, 75, 0.583333, 0.696703, 0.545455, 1.000000, 0.705882, 0.679517, 0.699991
2, 3, 41, 0.600000, 0.690809, 1.000000, 0.200000, 0.333333, 0.675044, 0.696158
2, 4, 29, 0.566667, 0.685935, 0.552632, 0.700000, 0.617647, 0.678786, 0.682805
2, 5, 151, 0.600000, 0.687406, 0.583333, 0.700000, 0.636364, 0.675280, 0.675280
3, 1, 2, 0.583333, 0.690723, 1.000000, 0.038462, 0.074074, 0.680918, 0.683873
3, 2, 79, 0.566667, 0.722759, 0.500000, 0.076923, 0.133333, 0.679503, 0.686657
3, 3, 156, 0.650000, 0.675099, 0.777778, 0.269231, 0.400000, 0.678501, 0.679700
3, 4, 126, 0.583333, 0.697901, 0.518519, 0.538462, 0.528302, 0.678793, 0.691997
3, 5, 117, 0.600000, 0.691075, 0.521739, 0.923077, 0.666667, 0.678492, 0.698450
4, 1, 38, 0.833333, 0.656777, 0.916667, 0.733333, 0.814815, 0.661405, 0.665257
4, 2, 39, 0.650000, 0.679175, 0.909091, 0.333333, 0.487805, 0.659191, 0.661105
4, 3, 177, 0.850000, 0.651753, 0.862069, 0.833333, 0.847458, 0.654198, 0.654198
4, 4, 70, 0.816667, 0.656618, 0.787879, 0.866667, 0.825397, 0.650387, 0.651509
4, 5, 184, 0.816667, 0.666335, 0.787879, 0.866667, 0.825397, 0.650571, 0.650571
5, 1, 164, 0.500000, 0.747756, 0.454545, 0.172414, 0.250000, 0.676060, 0.695232
5, 2, 71, 0.583333, 0.702081, 0.552632, 0.724138, 0.626866, 0.685318, 0.685318
5, 3, 5, 0.583333, 0.681129, 0.545455, 0.827586, 0.657534, 0.670930, 0.675970
5, 4, 187, 0.516667, 0.730921, 0.500000, 0.172414, 0.256410, 0.677354, 0.677354
5, 5, 31, 0.566667, 0.715966, 0.555556, 0.517241, 0.535714, 0.671185, 0.673276
6, 1, 4, 0.533333, 0.695486, 0.636364, 0.225806, 0.333333, 0.685978, 0.697718
6, 2, 6, 0.750000, 0.643259, 0.785714, 0.709677, 0.745763, 0.641900, 0.649266
6, 3, 135, 0.700000, 0.662168, 0.782609, 0.580645, 0.666667, 0.639210, 0.640888
6, 4, 189, 0.683333, 0.638668, 0.750000, 0.580645, 0.654545, 0.630647, 0.651153
6, 5, 155, 0.766667, 0.639949, 0.840000, 0.677419, 0.750000, 0.632706, 0.668234
7, 1, 119, 0.700000, 0.659231, 0.600000, 0.545455, 0.571429, 0.652966, 0.659232
7, 2, 159, 0.750000, 0.654180, 0.818182, 0.409091, 0.545455, 0.646921, 0.653190
7, 3, 32, 0.700000, 0.645237, 0.666667, 0.363636, 0.470588, 0.640302, 0.643706
7, 4, 34, 0.766667, 0.664247, 0.750000, 0.545455, 0.631579, 0.638156, 0.638156
7, 5, 153, 0.766667, 0.659034, 0.750000, 0.545455, 0.631579, 0.636577, 0.641834
8, 1, 195, 0.766667, 0.660456, 0.769231, 0.476190, 0.588235, 0.671280, 0.680378
8, 2, 19, 0.750000, 0.656367, 0.875000, 0.333333, 0.482759, 0.639487, 0.640903
8, 3, 169, 0.866667, 0.614885, 0.933333, 0.666667, 0.777778, 0.613897, 0.621672
8, 4, 98, 0.783333, 0.626157, 0.785714, 0.523810, 0.628571, 0.617119, 0.620843
8, 5, 28, 0.833333, 0.663588, 1.000000, 0.523810, 0.687500, 0.616888, 0.616888
9, 1, 18, 0.683333, 0.680856, 0.736842, 0.500000, 0.595745, 0.679271, 0.680157
9, 2, 19, 0.716667, 0.651129, 0.866667, 0.464286, 0.604651, 0.652272, 0.658234
9, 3, 143, 0.783333, 0.612599, 0.857143, 0.642857, 0.734694, 0.643522, 0.643946
9, 4, 189, 0.766667, 0.615788, 0.850000, 0.607143, 0.708333, 0.641231, 0.641231
9, 5, 153, 0.800000, 0.617315, 0.833333, 0.714286, 0.769231, 0.636584, 0.636584
10, 1, 19, 0.766667, 0.647801, 0.941176, 0.551724, 0.695652, 0.635754, 0.649978
10, 2, 98, 0.800000, 0.614976, 0.947368, 0.620690, 0.750000, 0.602567, 0.607928
10, 3, 109, 0.816667, 0.621730, 1.000000, 0.620690, 0.765957, 0.598521, 0.608059
10, 4, 58, 0.816667, 0.623353, 0.950000, 0.655172, 0.775510, 0.594431, 0.594831
10, 5, 151, 0.766667, 0.616586, 0.826087, 0.655172, 0.730769, 0.590239, 0.593323
