# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=full, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 37, 0.533333, 0.691113, 0.520833, 0.833333, 0.641026, 0.703008, 0.704087
2, 2, 81, 0.550000, 0.691141, 0.530612, 0.866667, 0.658228, 0.703002, 0.705205
2, 3, 111, 0.550000, 0.691145, 0.534884, 0.766667, 0.630137, 0.703002, 0.704552
2, 4, 97, 0.550000, 0.691132, 0.534884, 0.766667, 0.630137, 0.703002, 0.703286
2, 5, 120, 0.550000, 0.691064, 0.533333, 0.800000, 0.640000, 0.703002, 0.707175
3, 1, 88, 0.550000, 0.680004, 0.488372, 0.807692, 0.608696, 0.714869, 0.721832
3, 2, 9, 0.550000, 0.754027, 0.489796, 0.923077, 0.640000, 0.714869, 0.714911
3, 3, 31, 0.550000, 0.679385, 0.488372, 0.807692, 0.608696, 0.714869, 0.718653
3, 4, 83, 0.550000, 0.679828, 0.488372, 0.807692, 0.608696, 0.714869, 0.714955
3, 5, 170, 0.583333, 0.667510, 0.518519, 0.538462, 0.528302, 0.714871, 0.717755
4, 1, 111, 0.616667, 0.696558, 0.769231, 0.333333, 0.465116, 0.699686, 0.701960
4, 2, 69, 0.616667, 0.696599, 0.818182, 0.300000, 0.439024, 0.699685, 0.699760
4, 3, 94, 0.616667, 0.696547, 0.769231, 0.333333, 0.465116, 0.699685, 0.699693
4, 4, 76, 0.616667, 0.696514, 0.705882, 0.400000, 0.510638, 0.699685, 0.705364
4, 5, 52, 0.616667, 0.696591, 0.818182, 0.300000, 0.439024, 0.699685, 0.703602
5, 1, 57, 0.500000, 0.736964, 0.488372, 0.724138, 0.583333, 0.709372, 0.710945
5, 2, 12, 0.500000, 0.737115, 0.488372, 0.724138, 0.583333, 0.709372, 0.717227
5, 3, 33, 0.500000, 0.736424, 0.488372, 0.724138, 0.583333, 0.709373, 0.717344
5, 4, 16, 0.500000, 0.736341, 0.488372, 0.724138, 0.583333, 0.709372, 0.711036
5, 5, 2, 0.500000, 0.790806, 0.491228, 0.965517, 0.651163, 0.709372, 0.714005
6, 1, 94, 0.483333, 0.768852, 0.500000, 0.258065, 0.340426, 0.716229, 0.718188
6, 2, 138, 0.500000, 0.769217, 0.533333, 0.258065, 0.347826, 0.716231, 0.725765
6, 3, 132, 0.500000, 0.769252, 0.533333, 0.258065, 0.347826, 0.716229, 0.716267
6, 4, 183, 0.500000, 0.770331, 0.533333, 0.258065, 0.347826, 0.716229, 0.716400
6, 5, 23, 0.500000, 0.769915, 0.533333, 0.258065, 0.347826, 0.716229, 0.718660
7, 1, 41, 0.550000, 0.688130, 0.391304, 0.409091, 0.400000, 0.716318, 0.717169
7, 2, 108, 0.616667, 0.676756, 0.470588, 0.363636, 0.410256, 0.716318, 0.717560
7, 3, 40, 0.516667, 0.697378, 0.379310, 0.500000, 0.431373, 0.716318, 0.717263
7, 4, 80, 0.516667, 0.696900, 0.379310, 0.500000, 0.431373, 0.716318, 0.717835
7, 5, 199, 0.533333, 0.691133, 0.375000, 0.409091, 0.391304, 0.716318, 0.721444
8, 1, 114, 0.650000, 0.686353, 0.000000, 0.000000, 0.000000, 0.694413, 0.698755
8, 2, 48, 0.650000, 0.690247, 0.000000, 0.000000, 0.000000, 0.694413, 0.697511
8, 3, 31, 0.650000, 0.690752, 0.000000, 0.000000, 0.000000, 0.694414, 0.695320
8, 4, 144, 0.400000, 0.701580, 0.363636, 0.952381, 0.526316, 0.694416, 0.695326
8, 5, 56, 0.650000, 0.689732, 0.000000, 0.000000, 0.000000, 0.694413, 0.697281
9, 1, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.727413
9, 2, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.728686
9, 3, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.728566
9, 4, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.731655
9, 5, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.727394
10, 1, 67, 0.600000, 0.699237, 0.567568, 0.724138, 0.636364, 0.666792, 0.675354
10, 2, 10, 0.583333, 0.703105, 0.541667, 0.896552, 0.675325, 0.666792, 0.669828
10, 3, 12, 0.583333, 0.699452, 0.552632, 0.724138, 0.626866, 0.666793, 0.668664
10, 4, 85, 0.600000, 0.699269, 0.567568, 0.724138, 0.636364, 0.666792, 0.666838
10, 5, 65, 0.600000, 0.699218, 0.567568, 0.724138, 0.636364, 0.666792, 0.668629
