# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 4, 0.600000, 0.691615, 1.000000, 0.200000, 0.333333, 0.677864, 0.693577
2, 2, 82, 0.566667, 0.697717, 0.562500, 0.600000, 0.580645, 0.677791, 0.677915
2, 3, 109, 0.600000, 0.689585, 0.875000, 0.233333, 0.368421, 0.675897, 0.678272
2, 4, 107, 0.616667, 0.690282, 0.571429, 0.933333, 0.708861, 0.678862, 0.694107
2, 5, 19, 0.566667, 0.695199, 0.535714, 1.000000, 0.697674, 0.676012, 0.676012
3, 1, 12, 0.583333, 0.683202, 1.000000, 0.038462, 0.074074, 0.678788, 0.687167
3, 2, 129, 0.600000, 0.695018, 0.555556, 0.384615, 0.454545, 0.677518, 0.684939
3, 3, 168, 0.633333, 0.670810, 0.700000, 0.269231, 0.388889, 0.677671, 0.691547
3, 4, 47, 0.633333, 0.668557, 0.576923, 0.576923, 0.576923, 0.678515, 0.688769
3, 5, 103, 0.633333, 0.675283, 0.642857, 0.346154, 0.450000, 0.677812, 0.677873
4, 1, 109, 0.800000, 0.654328, 0.909091, 0.666667, 0.769231, 0.661403, 0.663579
4, 2, 25, 0.800000, 0.660444, 0.846154, 0.733333, 0.785714, 0.657000, 0.658452
4, 3, 15, 0.816667, 0.663807, 0.913043, 0.700000, 0.792453, 0.656995, 0.660353
4, 4, 62, 0.733333, 0.657422, 0.769231, 0.666667, 0.714286, 0.659350, 0.659350
4, 5, 142, 0.816667, 0.658537, 0.913043, 0.700000, 0.792453, 0.659574, 0.667571
5, 1, 47, 0.533333, 0.700782, 0.538462, 0.241379, 0.333333, 0.675891, 0.676056
5, 2, 1, 0.533333, 0.716372, 0.555556, 0.172414, 0.263158, 0.678581, 0.678583
5, 3, 27, 0.516667, 0.750728, 0.500000, 0.206897, 0.292683, 0.675493, 0.675809
5, 4, 135, 0.566667, 0.715359, 0.666667, 0.206897, 0.315789, 0.679005, 0.705694
5, 5, 1, 0.600000, 0.682094, 0.571429, 0.689655, 0.625000, 0.675637, 0.732543
6, 1, 8, 0.633333, 0.690934, 0.655172, 0.612903, 0.633333, 0.686862, 0.699150
6, 2, 57, 0.733333, 0.645177, 0.758621, 0.709677, 0.733333, 0.657118, 0.658019
6, 3, 191, 0.616667, 0.699165, 1.000000, 0.258065, 0.410256, 0.663433, 0.664583
6, 4, 62, 0.550000, 0.745586, 1.000000, 0.129032, 0.228571, 0.660107, 0.660107
6, 5, 99, 0.716667, 0.668777, 0.791667, 0.612903, 0.690909, 0.657637, 0.666063
7, 1, 66, 0.666667, 0.684023, 0.535714, 0.681818, 0.600000, 0.652719, 0.658205
7, 2, 109, 0.716667, 0.656166, 0.619048, 0.590909, 0.604651, 0.649887, 0.654317
7, 3, 134, 0.716667, 0.647951, 0.727273, 0.363636, 0.484848, 0.649827, 0.649827
7, 4, 199, 0.750000, 0.652397, 0.684211, 0.590909, 0.634146, 0.649882, 0.653831
7, 5, 157, 0.750000, 0.646565, 0.733333, 0.500000, 0.594595, 0.649316, 0.651577
8, 1, 144, 0.733333, 0.668716, 0.600000, 0.714286, 0.652174, 0.670749, 0.674440
8, 2, 129, 0.833333, 0.656040, 1.000000, 0.523810, 0.687500, 0.668097, 0.668111
8, 3, 64, 0.733333, 0.658889, 0.608696, 0.666667, 0.636364, 0.671105, 0.672099
8, 4, 157, 0.700000, 0.667068, 0.800000, 0.190476, 0.307692, 0.678897, 0.686987
8, 5, 3, 0.750000, 0.664806, 1.000000, 0.285714, 0.444444, 0.670029, 0.671336
9, 1, 43, 0.633333, 0.689828, 0.571429, 0.857143, 0.685714, 0.679816, 0.681280
9, 2, 45, 0.716667, 0.650262, 0.789474, 0.535714, 0.638298, 0.661980, 0.665425
9, 3, 31, 0.683333, 0.667219, 0.846154, 0.392857, 0.536585, 0.663079, 0.671026
9, 4, 122, 0.683333, 0.661165, 0.800000, 0.428571, 0.558140, 0.666459, 0.673091
9, 5, 112, 0.683333, 0.658385, 0.800000, 0.428571, 0.558140, 0.663861, 0.677094
10, 1, 10, 0.766667, 0.660534, 0.941176, 0.551724, 0.695652, 0.635940, 0.659997
10, 2, 19, 0.733333, 0.643219, 1.000000, 0.448276, 0.619048, 0.625650, 0.633842
10, 3, 9, 0.733333, 0.675505, 1.000000, 0.448276, 0.619048, 0.625613, 0.626612
10, 4, 68, 0.750000, 0.654145, 0.850000, 0.586207, 0.693878, 0.626901, 0.630173
10, 5, 10, 0.733333, 0.660660, 0.809524, 0.586207, 0.680000, 0.625176, 0.630077
