# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=CNOT
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 4, 0.583333, 0.740287, 0.564103, 0.733333, 0.637681, 0.746007, 0.747474
2, 2, 13, 0.583333, 0.740282, 0.564103, 0.733333, 0.637681, 0.746007, 0.747516
2, 3, 163, 0.550000, 0.691142, 0.534884, 0.766667, 0.630137, 0.703001, 0.705900
2, 4, 10, 0.583333, 0.740483, 0.564103, 0.733333, 0.637681, 0.746008, 0.755975
2, 5, 20, 0.583333, 0.740383, 0.564103, 0.733333, 0.637681, 0.746008, 0.749559
3, 1, 1, 0.500000, 0.767738, 0.447368, 0.653846, 0.531250, 0.734061, 0.736670
3, 2, 2, 0.550000, 0.711972, 0.470588, 0.307692, 0.372093, 0.740860, 0.740990
3, 3, 62, 0.550000, 0.679858, 0.488372, 0.807692, 0.608696, 0.714869, 0.719334
3, 4, 1, 0.500000, 0.782862, 0.450000, 0.692308, 0.545455, 0.734055, 0.741314
3, 5, 5, 0.566667, 0.713858, 0.500000, 0.269231, 0.350000, 0.740860, 0.741689
4, 1, 41, 0.516667, 0.704703, 0.523810, 0.366667, 0.431373, 0.716014, 0.716639
4, 2, 103, 0.683333, 0.642640, 0.666667, 0.733333, 0.698413, 0.677575, 0.677863
4, 3, 94, 0.533333, 0.704821, 0.550000, 0.366667, 0.440000, 0.716014, 0.716271
4, 4, 166, 0.616667, 0.716265, 0.574468, 0.900000, 0.701299, 0.730878, 0.735491
4, 5, 28, 0.566667, 0.706919, 0.547619, 0.766667, 0.638889, 0.730877, 0.731070
5, 1, 15, 0.483333, 0.755721, 0.470588, 0.551724, 0.507937, 0.708309, 0.711277
5, 2, 53, 0.716667, 0.684006, 0.833333, 0.517241, 0.638298, 0.707419, 0.709965
5, 3, 16, 0.566667, 0.779014, 0.542857, 0.655172, 0.593750, 0.696077, 0.702761
5, 4, 68, 0.600000, 0.693189, 0.666667, 0.344828, 0.454545, 0.710139, 0.710776
5, 5, 32, 0.566667, 0.711079, 0.538462, 0.724138, 0.617647, 0.693305, 0.695964
6, 1, 68, 0.433333, 0.773958, 0.451613, 0.451613, 0.451613, 0.727743, 0.729061
6, 2, 25, 0.450000, 0.793008, 0.461538, 0.387097, 0.421053, 0.728274, 0.741144
6, 3, 170, 0.583333, 0.689546, 0.636364, 0.451613, 0.528302, 0.688282, 0.694260
6, 4, 9, 0.566667, 0.716141, 0.571429, 0.645161, 0.606061, 0.740190, 0.743504
6, 5, 170, 0.433333, 0.771462, 0.465116, 0.645161, 0.540541, 0.747035, 0.747395
7, 1, 160, 0.600000, 0.698816, 0.400000, 0.181818, 0.250000, 0.693873, 0.702808
7, 2, 109, 0.516667, 0.710557, 0.379310, 0.500000, 0.431373, 0.698567, 0.698613
7, 3, 167, 0.533333, 0.711635, 0.375000, 0.409091, 0.391304, 0.731289, 0.733875
7, 4, 130, 0.650000, 0.716399, 0.533333, 0.363636, 0.432432, 0.709657, 0.709657
7, 5, 6, 0.566667, 0.702444, 0.437500, 0.636364, 0.518519, 0.706884, 0.710303
8, 1, 1, 0.550000, 0.695229, 0.350000, 0.333333, 0.341463, 0.711579, 0.712843
8, 2, 200, 0.566667, 0.708423, 0.391304, 0.428571, 0.409091, 0.709081, 0.718230
8, 3, 85, 0.483333, 0.713255, 0.291667, 0.333333, 0.311111, 0.712671, 0.716310
8, 4, 2, 0.450000, 0.732395, 0.312500, 0.476190, 0.377358, 0.712670, 0.712671
8, 5, 57, 0.683333, 0.666124, 0.555556, 0.476190, 0.512821, 0.665711, 0.665943
9, 1, 53, 0.450000, 0.778149, 0.450980, 0.821429, 0.582278, 0.692333, 0.692378
9, 2, 29, 0.550000, 0.699298, 0.511628, 0.785714, 0.619718, 0.696808, 0.697206
9, 3, 22, 0.583333, 0.718591, 0.529412, 0.964286, 0.683544, 0.714816, 0.715781
9, 4, 11, 0.550000, 0.730791, 0.516129, 0.571429, 0.542373, 0.741686, 0.741892
9, 5, 12, 0.483333, 0.734678, 0.457143, 0.571429, 0.507937, 0.714791, 0.715289
10, 1, 59, 0.600000, 0.686268, 0.586207, 0.586207, 0.586207, 0.717286, 0.717291
10, 2, 2, 0.583333, 0.701653, 0.576923, 0.517241, 0.545455, 0.712063, 0.714884
10, 3, 105, 0.516667, 0.728189, 0.500000, 0.689655, 0.579710, 0.756873, 0.759785
10, 4, 1, 0.550000, 0.712267, 0.625000, 0.172414, 0.270270, 0.708992, 0.709496
10, 5, 84, 0.616667, 0.691635, 0.650000, 0.448276, 0.530612, 0.706555, 0.709361
