# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 66, 0.550000, 0.691064, 0.533333, 0.800000, 0.640000, 0.703002, 0.704216
2, 2, 45, 0.550000, 0.691147, 0.534884, 0.766667, 0.630137, 0.703001, 0.703137
2, 3, 27, 0.550000, 0.691138, 0.530612, 0.866667, 0.658228, 0.703001, 0.703001
2, 4, 190, 0.550000, 0.691140, 0.530612, 0.866667, 0.658228, 0.703001, 0.703954
2, 5, 102, 0.550000, 0.691139, 0.534884, 0.766667, 0.630137, 0.703001, 0.704399
3, 1, 143, 0.616667, 0.665371, 0.578947, 0.423077, 0.488889, 0.714869, 0.741645
3, 2, 72, 0.583333, 0.667497, 0.518519, 0.538462, 0.528302, 0.714871, 0.719806
3, 3, 9, 0.550000, 0.677226, 0.487805, 0.769231, 0.597015, 0.714869, 0.715661
3, 4, 6, 0.550000, 0.679077, 0.488372, 0.807692, 0.608696, 0.714869, 0.722291
3, 5, 66, 0.583333, 0.667663, 0.518519, 0.538462, 0.528302, 0.714869, 0.718728
4, 1, 112, 0.616667, 0.696708, 0.888889, 0.266667, 0.410256, 0.699685, 0.699931
4, 2, 93, 0.616667, 0.696515, 0.705882, 0.400000, 0.510638, 0.699686, 0.703602
4, 3, 118, 0.616667, 0.696705, 0.888889, 0.266667, 0.410256, 0.699685, 0.708989
4, 4, 43, 0.616667, 0.696615, 0.818182, 0.300000, 0.439024, 0.699685, 0.704729
4, 5, 60, 0.616667, 0.696696, 0.888889, 0.266667, 0.410256, 0.699688, 0.700401
5, 1, 30, 0.500000, 0.736651, 0.488372, 0.724138, 0.583333, 0.709374, 0.711425
5, 2, 27, 0.500000, 0.736880, 0.488372, 0.724138, 0.583333, 0.709372, 0.711848
5, 3, 15, 0.500000, 0.736467, 0.488372, 0.724138, 0.583333, 0.709372, 0.709948
5, 4, 72, 0.500000, 0.736313, 0.488372, 0.724138, 0.583333, 0.709378, 0.722819
5, 5, 27, 0.500000, 0.736873, 0.488372, 0.724138, 0.583333, 0.709373, 0.710152
6, 1, 71, 0.516667, 0.774229, 0.583333, 0.225806, 0.325581, 0.716229, 0.716606
6, 2, 80, 0.466667, 0.766974, 0.470588, 0.258065, 0.333333, 0.716230, 0.718272
6, 3, 100, 0.516667, 0.774279, 0.583333, 0.225806, 0.325581, 0.716229, 0.725653
6, 4, 129, 0.533333, 0.774378, 0.636364, 0.225806, 0.333333, 0.716229, 0.716963
6, 5, 134, 0.516667, 0.774214, 0.583333, 0.225806, 0.325581, 0.716229, 0.719405
7, 1, 15, 0.533333, 0.691702, 0.384615, 0.454545, 0.416667, 0.716321, 0.717754
7, 2, 102, 0.550000, 0.688117, 0.391304, 0.409091, 0.400000, 0.716319, 0.716667
7, 3, 11, 0.466667, 0.704453, 0.352941, 0.545455, 0.428571, 0.716318, 0.716408
7, 4, 132, 0.533333, 0.691633, 0.384615, 0.454545, 0.416667, 0.716318, 0.716323
7, 5, 25, 0.533333, 0.691719, 0.384615, 0.454545, 0.416667, 0.716319, 0.725215
8, 1, 84, 0.650000, 0.690796, 0.000000, 0.000000, 0.000000, 0.694414, 0.699364
8, 2, 54, 0.650000, 0.689674, 0.000000, 0.000000, 0.000000, 0.694413, 0.699216
8, 3, 58, 0.650000, 0.689700, 0.000000, 0.000000, 0.000000, 0.694413, 0.695158
8, 4, 50, 0.650000, 0.690857, 0.000000, 0.000000, 0.000000, 0.694413, 0.695502
8, 5, 63, 0.650000, 0.690604, 0.000000, 0.000000, 0.000000, 0.694413, 0.695103
9, 1, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.727484
9, 2, 49, 0.533333, 0.733204, 0.000000, 0.000000, 0.000000, 0.727344, 0.728935
9, 3, 1, 0.466667, 0.842106, 0.466667, 1.000000, 0.636364, 0.727344, 0.728207
9, 4, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.727620
9, 5, 1, 0.466667, 0.820631, 0.466667, 1.000000, 0.636364, 0.727344, 0.728667
10, 1, 37, 0.600000, 0.699206, 0.567568, 0.724138, 0.636364, 0.666792, 0.671711
10, 2, 16, 0.583333, 0.703085, 0.541667, 0.896552, 0.675325, 0.666792, 0.667314
10, 3, 181, 0.600000, 0.699201, 0.567568, 0.724138, 0.636364, 0.666792, 0.667452
10, 4, 15, 0.583333, 0.705250, 0.540000, 0.931034, 0.683544, 0.666792, 0.677478
10, 5, 11, 0.583333, 0.703087, 0.541667, 0.896552, 0.675325, 0.666792, 0.667021
