# qvc TwoLocal incremental log
# combo: rotation_type=RZ, entanglement=ring, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 144, 0.683333, 0.706234, 0.677419, 0.700000, 0.688525, 0.692988, 0.697032
2, 2, 75, 0.550000, 0.691073, 0.531915, 0.833333, 0.649351, 0.703001, 0.719343
2, 3, 133, 0.683333, 0.706231, 0.677419, 0.700000, 0.688525, 0.692988, 0.693905
2, 4, 137, 0.550000, 0.691065, 0.533333, 0.800000, 0.640000, 0.703001, 0.703305
2, 5, 91, 0.666667, 0.706225, 0.666667, 0.666667, 0.666667, 0.692988, 0.692989
3, 1, 15, 0.533333, 0.782052, 0.458333, 0.423077, 0.440000, 0.746936, 0.748821
3, 2, 50, 0.550000, 0.679493, 0.488372, 0.807692, 0.608696, 0.714869, 0.716300
3, 3, 93, 0.533333, 0.782182, 0.458333, 0.423077, 0.440000, 0.746937, 0.747785
3, 4, 95, 0.550000, 0.679192, 0.488372, 0.807692, 0.608696, 0.714870, 0.714903
3, 5, 9, 0.533333, 0.782250, 0.458333, 0.423077, 0.440000, 0.746936, 0.747118
4, 1, 2, 0.583333, 0.740549, 0.666667, 0.333333, 0.444444, 0.680892, 0.680916
4, 2, 168, 0.616667, 0.705544, 0.705882, 0.400000, 0.510638, 0.663440, 0.666896
4, 3, 156, 0.716667, 0.676013, 0.809524, 0.566667, 0.666667, 0.639172, 0.641295
4, 4, 76, 0.766667, 0.659815, 1.000000, 0.533333, 0.695652, 0.639553, 0.645176
4, 5, 64, 0.716667, 0.679810, 0.809524, 0.566667, 0.666667, 0.639363, 0.665988
5, 1, 109, 0.583333, 0.701000, 0.550000, 0.758621, 0.637681, 0.679555, 0.683955
5, 2, 66, 0.550000, 0.724194, 0.571429, 0.275862, 0.372093, 0.656809, 0.657813
5, 3, 1, 0.566667, 0.722600, 1.000000, 0.103448, 0.187500, 0.656349, 0.656818
5, 4, 68, 0.533333, 0.732128, 0.545455, 0.206897, 0.300000, 0.659055, 0.661607
5, 5, 8, 0.583333, 0.704982, 0.642857, 0.310345, 0.418605, 0.656293, 0.671019
6, 1, 59, 0.616667, 0.681251, 0.666667, 0.516129, 0.581818, 0.664355, 0.668407
6, 2, 31, 0.566667, 0.717558, 0.727273, 0.258065, 0.380952, 0.648575, 0.648575
6, 3, 166, 0.700000, 0.658342, 0.933333, 0.451613, 0.608696, 0.636027, 0.647086
6, 4, 83, 0.683333, 0.655238, 0.750000, 0.580645, 0.654545, 0.640051, 0.647886
6, 5, 54, 0.666667, 0.653648, 0.720000, 0.580645, 0.642857, 0.644997, 0.650825
7, 1, 83, 0.716667, 0.663578, 0.692308, 0.409091, 0.514286, 0.653954, 0.654040
7, 2, 140, 0.800000, 0.655681, 0.812500, 0.590909, 0.684211, 0.635946, 0.636694
7, 3, 185, 0.700000, 0.661611, 0.590909, 0.590909, 0.590909, 0.636724, 0.637718
7, 4, 190, 0.650000, 0.670174, 0.523810, 0.500000, 0.511628, 0.631274, 0.631274
7, 5, 167, 0.766667, 0.655394, 0.833333, 0.454545, 0.588235, 0.634076, 0.634076
8, 1, 1, 0.666667, 0.646617, 0.533333, 0.380952, 0.444444, 0.673614, 0.680663
8, 2, 141, 0.700000, 0.656698, 1.000000, 0.142857, 0.250000, 0.679600, 0.680215
8, 3, 114, 0.700000, 0.647669, 0.578947, 0.523810, 0.550000, 0.638172, 0.641996
8, 4, 181, 0.700000, 0.657535, 1.000000, 0.142857, 0.250000, 0.677498, 0.680300
8, 5, 1, 0.666667, 0.652341, 0.529412, 0.428571, 0.473684, 0.635841, 0.639741
9, 1, 8, 0.833333, 0.570278, 0.950000, 0.678571, 0.791667, 0.623062, 0.623130
9, 2, 195, 0.666667, 0.681579, 0.750000, 0.428571, 0.545455, 0.676776, 0.676776
9, 3, 14, 0.850000, 0.567196, 0.913043, 0.750000, 0.823529, 0.619598, 0.621135
9, 4, 171, 0.750000, 0.660698, 0.842105, 0.571429, 0.680851, 0.659596, 0.669638
9, 5, 148, 0.866667, 0.561801, 0.954545, 0.750000, 0.840000, 0.619067, 0.621714
10, 1, 17, 0.800000, 0.624567, 0.840000, 0.724138, 0.777778, 0.629384, 0.635386
10, 2, 102, 0.816667, 0.634909, 0.846154, 0.758621, 0.800000, 0.624740, 0.626039
10, 3, 10, 0.816667, 0.626286, 0.875000, 0.724138, 0.792453, 0.600748, 0.601964
10, 4, 52, 0.783333, 0.634922, 0.785714, 0.758621, 0.771930, 0.622591, 0.622591
10, 5, 14, 0.783333, 0.620559, 0.863636, 0.655172, 0.745098, 0.598755, 0.603167
