# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=chain, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 31, 0.583333, 0.695443, 0.551020, 0.900000, 0.683544, 0.696366, 0.699392
2, 2, 179, 0.650000, 0.677919, 0.628571, 0.733333, 0.676923, 0.657131, 0.666468
2, 3, 172, 0.650000, 0.678947, 0.736842, 0.466667, 0.571429, 0.658488, 0.662728
2, 4, 57, 0.650000, 0.680367, 0.800000, 0.400000, 0.533333, 0.656114, 0.665037
2, 5, 83, 0.633333, 0.676098, 0.681818, 0.500000, 0.576923, 0.654487, 0.659895
3, 1, 196, 0.666667, 0.664513, 0.750000, 0.346154, 0.473684, 0.700617, 0.708853
3, 2, 147, 0.633333, 0.686499, 0.566667, 0.653846, 0.607143, 0.671636, 0.671642
3, 3, 87, 0.650000, 0.679939, 0.608696, 0.538462, 0.571429, 0.678184, 0.686898
3, 4, 17, 0.616667, 0.654226, 0.555556, 0.576923, 0.566038, 0.673590, 0.686330
3, 5, 195, 0.633333, 0.658637, 0.833333, 0.192308, 0.312500, 0.667482, 0.678045
4, 1, 91, 0.750000, 0.660756, 0.777778, 0.700000, 0.736842, 0.663693, 0.663693
4, 2, 55, 0.800000, 0.653914, 0.909091, 0.666667, 0.769231, 0.623841, 0.640914
4, 3, 41, 0.833333, 0.653344, 0.833333, 0.833333, 0.833333, 0.593469, 0.597885
4, 4, 39, 0.816667, 0.650395, 0.880000, 0.733333, 0.800000, 0.606085, 0.611672
4, 5, 24, 0.816667, 0.663607, 0.913043, 0.700000, 0.792453, 0.589938, 0.593613
5, 1, 197, 0.616667, 0.687731, 0.714286, 0.344828, 0.465116, 0.688743, 0.688743
5, 2, 92, 0.583333, 0.706622, 0.583333, 0.482759, 0.528302, 0.656511, 0.659994
5, 3, 60, 0.583333, 0.691926, 0.571429, 0.551724, 0.561404, 0.650671, 0.659292
5, 4, 108, 0.616667, 0.690672, 0.636364, 0.482759, 0.549020, 0.655637, 0.665018
5, 5, 39, 0.633333, 0.695557, 0.652174, 0.517241, 0.576923, 0.648946, 0.648946
6, 1, 193, 0.616667, 0.691553, 0.833333, 0.322581, 0.465116, 0.676429, 0.676891
6, 2, 119, 0.633333, 0.662757, 0.846154, 0.354839, 0.500000, 0.638110, 0.638110
6, 3, 142, 0.733333, 0.643236, 0.800000, 0.645161, 0.714286, 0.634576, 0.641612
6, 4, 100, 0.716667, 0.634005, 0.675000, 0.870968, 0.760563, 0.634965, 0.639033
6, 5, 144, 0.700000, 0.643527, 0.760000, 0.612903, 0.678571, 0.631141, 0.642914
7, 1, 172, 0.666667, 0.675576, 0.625000, 0.227273, 0.333333, 0.663645, 0.667078
7, 2, 125, 0.733333, 0.638049, 0.800000, 0.363636, 0.500000, 0.635697, 0.645945
7, 3, 160, 0.716667, 0.633646, 0.727273, 0.363636, 0.484848, 0.638081, 0.638081
7, 4, 143, 0.700000, 0.671715, 0.611111, 0.500000, 0.550000, 0.633549, 0.636351
7, 5, 145, 0.716667, 0.675508, 0.608696, 0.636364, 0.622222, 0.627578, 0.630433
8, 1, 19, 0.733333, 0.677796, 0.600000, 0.714286, 0.652174, 0.675629, 0.712538
8, 2, 26, 0.816667, 0.642027, 0.777778, 0.666667, 0.717949, 0.635654, 0.635654
8, 3, 23, 0.800000, 0.640058, 0.736842, 0.666667, 0.700000, 0.628666, 0.630531
8, 4, 55, 0.783333, 0.622394, 0.785714, 0.523810, 0.628571, 0.622608, 0.625279
8, 5, 92, 0.783333, 0.601395, 0.785714, 0.523810, 0.628571, 0.608262, 0.609017
9, 1, 193, 0.533333, 0.709307, 0.500000, 0.857143, 0.631579, 0.704924, 0.704924
9, 2, 144, 0.900000, 0.572140, 0.923077, 0.857143, 0.888889, 0.607919, 0.609680
9, 3, 126, 0.900000, 0.573048, 0.923077, 0.857143, 0.888889, 0.606826, 0.610778
9, 4, 113, 0.883333, 0.549340, 0.920000, 0.821429, 0.867925, 0.597184, 0.638590
9, 5, 143, 0.883333, 0.550907, 0.920000, 0.821429, 0.867925, 0.599939, 0.607248
10, 1, 28, 0.600000, 0.696211, 0.586207, 0.586207, 0.586207, 0.666202, 0.668536
10, 2, 67, 0.750000, 0.647735, 0.750000, 0.724138, 0.736842, 0.615488, 0.615826
10, 3, 168, 0.766667, 0.627259, 1.000000, 0.517241, 0.681818, 0.597658, 0.604801
10, 4, 163, 0.816667, 0.604344, 0.950000, 0.655172, 0.775510, 0.574589, 0.575041
10, 5, 183, 0.833333, 0.601089, 1.000000, 0.655172, 0.791667, 0.573911, 0.579006
11, 1, 38, 0.666667, 0.674497, 0.609756, 0.862069, 0.714286, 0.688542, 0.690907
11, 2, 157, 0.716667, 0.649570, 0.772727, 0.586207, 0.666667, 0.644884, 0.645551
11, 3, 141, 0.783333, 0.633913, 0.863636, 0.655172, 0.745098, 0.612883, 0.616862
11, 4, 128, 0.783333, 0.643161, 0.807692, 0.724138, 0.763636, 0.613247, 0.615527
11, 5, 103, 0.900000, 0.592029, 1.000000, 0.793103, 0.884615, 0.578540, 0.578540
12, 1, 80, 0.733333, 0.646256, 0.875000, 0.500000, 0.636364, 0.682359, 0.683288
12, 2, 137, 0.800000, 0.631536, 0.833333, 0.714286, 0.769231, 0.651880, 0.656505
12, 3, 117, 0.850000, 0.618683, 0.851852, 0.821429, 0.836364, 0.635901, 0.635944
12, 4, 59, 0.866667, 0.629524, 0.857143, 0.857143, 0.857143, 0.636243, 0.638198
