# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=pairwise, ent_gate=IsingXX
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 101, 0.650000, 0.681599, 0.645161, 0.666667, 0.655738, 0.657483, 0.663669
2, 2, 33, 0.616667, 0.679755, 0.666667, 0.466667, 0.549020, 0.654270, 0.660257
2, 3, 37, 0.633333, 0.698199, 0.785714, 0.366667, 0.500000, 0.651922, 0.661251
2, 4, 38, 0.666667, 0.676679, 0.625000, 0.833333, 0.714286, 0.653444, 0.658919
2, 5, 160, 0.666667, 0.682968, 0.604167, 0.966667, 0.743590, 0.656054, 0.660062
3, 1, 10, 0.583333, 0.687603, 1.000000, 0.038462, 0.074074, 0.673499, 0.675676
3, 2, 156, 0.616667, 0.670794, 0.534884, 0.884615, 0.666667, 0.661375, 0.665226
3, 3, 50, 0.666667, 0.666535, 0.666667, 0.461538, 0.545455, 0.667422, 0.669926
3, 4, 25, 0.716667, 0.662942, 0.736842, 0.538462, 0.622222, 0.658897, 0.688824
3, 5, 99, 0.683333, 0.652117, 0.705882, 0.461538, 0.558140, 0.658905, 0.677597
4, 1, 24, 0.816667, 0.665658, 0.913043, 0.700000, 0.792453, 0.629460, 0.630272
4, 2, 113, 0.700000, 0.662429, 0.687500, 0.733333, 0.709677, 0.634504, 0.642357
4, 3, 12, 0.816667, 0.653685, 0.913043, 0.700000, 0.792453, 0.624693, 0.625158
4, 4, 90, 0.750000, 0.652705, 0.758621, 0.733333, 0.745763, 0.625185, 0.628567
4, 5, 116, 0.650000, 0.653317, 0.695652, 0.533333, 0.603774, 0.623293, 0.626576
5, 1, 109, 0.583333, 0.700201, 0.562500, 0.620690, 0.590164, 0.661475, 0.662017
5, 2, 127, 0.666667, 0.676613, 0.764706, 0.448276, 0.565217, 0.645469, 0.656755
5, 3, 145, 0.600000, 0.681078, 0.619048, 0.448276, 0.520000, 0.649323, 0.662451
5, 4, 145, 0.750000, 0.685933, 1.000000, 0.482759, 0.651163, 0.645158, 0.670488
5, 5, 200, 0.733333, 0.665487, 0.882353, 0.517241, 0.652174, 0.649251, 0.661500
6, 1, 168, 0.733333, 0.678325, 0.666667, 0.967742, 0.789474, 0.652284, 0.652284
6, 2, 115, 0.733333, 0.667127, 0.826087, 0.612903, 0.703704, 0.633883, 0.633883
6, 3, 167, 0.733333, 0.660205, 0.857143, 0.580645, 0.692308, 0.634238, 0.634238
6, 4, 200, 0.733333, 0.636013, 0.800000, 0.645161, 0.714286, 0.632772, 0.634437
6, 5, 83, 0.750000, 0.653090, 0.863636, 0.612903, 0.716981, 0.632530, 0.635687
7, 1, 87, 0.733333, 0.643314, 0.687500, 0.500000, 0.578947, 0.635814, 0.644395
7, 2, 61, 0.733333, 0.634627, 0.800000, 0.363636, 0.500000, 0.633383, 0.635209
7, 3, 5, 0.716667, 0.673510, 0.777778, 0.318182, 0.451613, 0.634181, 0.657754
7, 4, 23, 0.716667, 0.651157, 0.727273, 0.363636, 0.484848, 0.634621, 0.640259
7, 5, 19, 0.700000, 0.673882, 0.642857, 0.409091, 0.500000, 0.634383, 0.638297
8, 1, 13, 0.783333, 0.670998, 0.617647, 1.000000, 0.763636, 0.636128, 0.639434
8, 2, 91, 0.733333, 0.627878, 0.619048, 0.619048, 0.619048, 0.637034, 0.642818
8, 3, 23, 0.800000, 0.649045, 1.000000, 0.428571, 0.600000, 0.633522, 0.635440
8, 4, 29, 0.816667, 0.614823, 1.000000, 0.476190, 0.645161, 0.634928, 0.638393
8, 5, 10, 0.766667, 0.647486, 0.888889, 0.380952, 0.533333, 0.633686, 0.650281
9, 1, 75, 0.900000, 0.572639, 0.923077, 0.857143, 0.888889, 0.606601, 0.607772
9, 2, 150, 0.900000, 0.569759, 0.923077, 0.857143, 0.888889, 0.613284, 0.621647
9, 3, 36, 0.900000, 0.580407, 0.923077, 0.857143, 0.888889, 0.606400, 0.607466
9, 4, 21, 0.900000, 0.593660, 1.000000, 0.785714, 0.880000, 0.605800, 0.614853
9, 5, 72, 0.900000, 0.573795, 0.923077, 0.857143, 0.888889, 0.606416, 0.644519
10, 1, 10, 0.766667, 0.642194, 0.941176, 0.551724, 0.695652, 0.620143, 0.625868
10, 2, 11, 0.733333, 0.641199, 1.000000, 0.448276, 0.619048, 0.611582, 0.614248
10, 3, 3, 0.766667, 0.642935, 0.941176, 0.551724, 0.695652, 0.614158, 0.618864
10, 4, 155, 0.733333, 0.645271, 0.740741, 0.689655, 0.714286, 0.617758, 0.618742
10, 5, 66, 0.750000, 0.635269, 0.888889, 0.551724, 0.680851, 0.612599, 0.620496
