# qvc TwoLocal incremental log
# combo: rotation_type=Rot, entanglement=ring, ent_gate=CZ
# Columns: dim, num_layers, best_it, val_acc, val_loss, val_prec, val_rec, val_f1, lowest train loss, final train loss
2, 1, 49, 0.583333, 0.700476, 0.857143, 0.200000, 0.324324, 0.697152, 0.698389
2, 2, 33, 0.583333, 0.693722, 0.551020, 0.900000, 0.683544, 0.696091, 0.700110
2, 3, 28, 0.583333, 0.697541, 0.551020, 0.900000, 0.683544, 0.694519, 0.695724
2, 4, 47, 0.583333, 0.693744, 0.551020, 0.900000, 0.683544, 0.694919, 0.703440
2, 5, 5, 0.566667, 0.701986, 0.540000, 0.900000, 0.675000, 0.693972, 0.722250
3, 1, 194, 0.600000, 0.672612, 0.533333, 0.615385, 0.571429, 0.705322, 0.705743
3, 2, 186, 0.666667, 0.670859, 0.750000, 0.346154, 0.473684, 0.692269, 0.692664
3, 3, 182, 0.633333, 0.666516, 0.611111, 0.423077, 0.500000, 0.691901, 0.704098
3, 4, 6, 0.650000, 0.666726, 0.692308, 0.346154, 0.461538, 0.693420, 0.696975
3, 5, 89, 0.616667, 0.667703, 0.578947, 0.423077, 0.488889, 0.691787, 0.719696
4, 1, 141, 0.750000, 0.662189, 0.800000, 0.666667, 0.727273, 0.667007, 0.681269
4, 2, 68, 0.783333, 0.620609, 0.904762, 0.633333, 0.745098, 0.596295, 0.608906
4, 3, 42, 0.800000, 0.629962, 0.750000, 0.900000, 0.818182, 0.595579, 0.618593
4, 4, 53, 0.833333, 0.641967, 0.794118, 0.900000, 0.843750, 0.594213, 0.605512
4, 5, 71, 0.783333, 0.634727, 1.000000, 0.566667, 0.723404, 0.594433, 0.600063
5, 1, 106, 0.633333, 0.694700, 0.769231, 0.344828, 0.476190, 0.689413, 0.699356
5, 2, 121, 0.583333, 0.712531, 0.600000, 0.413793, 0.489796, 0.653919, 0.656728
5, 3, 164, 0.600000, 0.744266, 0.555556, 0.862069, 0.675676, 0.646678, 0.676571
5, 4, 22, 0.616667, 0.693422, 0.571429, 0.827586, 0.676056, 0.645997, 0.652561
5, 5, 132, 0.666667, 0.674090, 0.714286, 0.517241, 0.600000, 0.647378, 0.662174
6, 1, 164, 0.616667, 0.691070, 0.833333, 0.322581, 0.465116, 0.676744, 0.678258
6, 2, 185, 0.716667, 0.645429, 0.750000, 0.677419, 0.711864, 0.619972, 0.626375
6, 3, 121, 0.766667, 0.640260, 0.869565, 0.645161, 0.740741, 0.620989, 0.620989
6, 4, 159, 0.733333, 0.632692, 0.800000, 0.645161, 0.714286, 0.625649, 0.640622
6, 5, 63, 0.750000, 0.636972, 0.863636, 0.612903, 0.716981, 0.618164, 0.632291
7, 1, 21, 0.633333, 0.669951, 0.500000, 0.318182, 0.388889, 0.665203, 0.666726
7, 2, 12, 0.550000, 0.691667, 0.391304, 0.409091, 0.400000, 0.642379, 0.651260
7, 3, 200, 0.733333, 0.624904, 0.687500, 0.500000, 0.578947, 0.626469, 0.638226
7, 4, 125, 0.733333, 0.636086, 0.800000, 0.363636, 0.500000, 0.618846, 0.621656
7, 5, 133, 0.783333, 0.628301, 1.000000, 0.409091, 0.580645, 0.615485, 0.618341
8, 1, 26, 0.733333, 0.676621, 0.600000, 0.714286, 0.652174, 0.675967, 0.677528
8, 2, 61, 0.783333, 0.628254, 0.900000, 0.428571, 0.580645, 0.652752, 0.670154
8, 3, 142, 0.716667, 0.628587, 0.700000, 0.333333, 0.451613, 0.641864, 0.650534
8, 4, 49, 0.733333, 0.658027, 0.647059, 0.523810, 0.578947, 0.610311, 0.614403
8, 5, 161, 0.816667, 0.602095, 0.777778, 0.666667, 0.717949, 0.605536, 0.607499
9, 1, 172, 0.650000, 0.674017, 0.620690, 0.642857, 0.631579, 0.684307, 0.691823
9, 2, 97, 0.883333, 0.593543, 0.956522, 0.785714, 0.862745, 0.623218, 0.623218
9, 3, 121, 0.866667, 0.565779, 0.954545, 0.750000, 0.840000, 0.606433, 0.608573
9, 4, 132, 0.900000, 0.552006, 0.923077, 0.857143, 0.888889, 0.596258, 0.596396
9, 5, 122, 0.900000, 0.555697, 0.923077, 0.857143, 0.888889, 0.599829, 0.601345
10, 1, 15, 0.600000, 0.696417, 0.586207, 0.586207, 0.586207, 0.666192, 0.669130
10, 2, 166, 0.750000, 0.640259, 0.769231, 0.689655, 0.727273, 0.612600, 0.616653
10, 3, 177, 0.866667, 0.596934, 0.956522, 0.758621, 0.846154, 0.584650, 0.584868
10, 4, 71, 0.833333, 0.601892, 1.000000, 0.655172, 0.791667, 0.570952, 0.579421
10, 5, 153, 0.866667, 0.598697, 0.956522, 0.758621, 0.846154, 0.571154, 0.582454
